type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T141004.000Z,,54000016,Master II,72000007,Friendly,,collection,#2VPR0U0U,星絆✪むぎ‪ஐ,6723,0,#PYGQQC2P,Divine Saga,16000043,Fire Spirit,11,14,Firecracker,11,14,Hog Rider,9,12,Lightning,6,9,Skeletons,11,14,Tesla,11,14,The Log,3,6,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQJ08GGR,SͥAIͣNͫT✨くちー✨,6442,2,,,,Electro Spirit,11,14,Giant Snowball,11,14,Royal Ghost,3,6,Bandit,3,6,Archer Queen,1,4,Ram Rider,3,6,Lightning,6,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T140631.000Z,,54000016,Master II,72000007,Friendly,,collection,#2VPR0U0U,星絆✪むぎ‪ஐ,6723,2,#PYGQQC2P,Divine Saga,16000043,Archer Queen,1,4,Baby Dragon,6,9,Barbarian Barrel,6,9,Dark Prince,6,9,Electro Giant,6,9,Goblin Cage,9,12,Lightning,6,9,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQJ08GGR,SͥAIͣNͫT✨くちー✨,6442,0,,,,Zap,11,14,Tombstone,9,12,Guards,6,9,Mega Minion,9,12,Fireball,9,12,Inferno Dragon,3,6,Balloon,6,9,Lava Hound,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T140302.000Z,,54000016,Master II,72000007,Friendly,,collection,#2VPR0U0U,星絆✪むぎ‪ஐ,6723,0,#PYGQQC2P,Divine Saga,16000043,Archer Queen,1,4,Baby Dragon,6,9,Barbarian Barrel,6,9,Graveyard,3,6,Poison,6,9,Tombstone,9,12,Tornado,6,9,Knight,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQJ08GGR,SͥAIͣNͫT✨くちー✨,6442,1,,,,Fire Spirit,11,14,The Log,3,6,Ice Golem,9,12,Bats,11,14,Princess,3,6,Hog Rider,9,12,Mini P.E.K.K.A,9,12,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T122626.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VPR0U0U,星絆✪むぎ‪ஐ,6694,3,#PYGQQC2P,Divine Saga,16000043,Golem,9,9,Lumberjack,6,6,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQQVC2UJ,Curtis,6685,1,#28CP80Y,51區台灣分部,16000026,Giant,12,12,Golden Knight,4,4,Dark Prince,9,9,Prince,9,9,Mega Minion,12,12,Electro Wizard,6,6,Zap,14,14,Rage,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T122205.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VPR0U0U,星絆✪むぎ‪ஐ,6666,3,#PYGQQC2P,Divine Saga,16000043,Golem,9,9,Lumberjack,6,6,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89CVJ2CVC,亚索Guga™✨,6652,0,#9YJGVCPQ,LimiT eSports,16000142,Minion Horde,14,14,Fireball,12,12,Bats,14,14,Hog Rider,12,12,Spear Goblins,14,14,Guards,9,9,Mortar,14,14,Zap,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T063958.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VPR0U0U,星絆✪むぎ‪ஐ,6633,3,#PYGQQC2P,Divine Saga,16000043,Golem,9,9,Lumberjack,6,6,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LGYYV9G,Eragon,6674,2,#L0YJ02YL,硬中华,16000014,Ice Golem,12,12,Skeletons,14,14,The Log,6,6,Electro Spirit,14,14,Archer Queen,4,4,Earthquake,12,12,Tesla,14,14,Hog Rider,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T062630.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VPR0U0U,星絆✪むぎ‪ஐ,6605,1,#PYGQQC2P,Divine Saga,16000043,Golem,9,9,Lumberjack,6,6,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C992CJUV,TGT 0-5丨LJQ飞桶✨,6584,0,#Y28CYYJC,黎明,16000122,Skeleton Army,9,9,Prince,9,9,Mega Knight,6,6,Princess,6,6,Goblin Barrel,9,9,Royal Giant,14,14,Dart Goblin,12,12,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T062320.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VPR0U0U,星絆✪むぎ‪ஐ,6632,0,#PYGQQC2P,Divine Saga,16000043,Golem,9,9,Lumberjack,6,6,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VRRYRUJU,HardCounTeRRR,6658,3,#YGL9PU80,Troops Of War,16000032,Inferno Tower,12,12,Electro Spirit,14,14,Guards,9,9,Princess,6,6,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T062004.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VPR0U0U,星絆✪むぎ‪ஐ,6662,0,#PYGQQC2P,Divine Saga,16000043,Golem,9,9,Lumberjack,6,6,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LY9PPCU80,Leap l Kei,6658,1,#P928CPLC,愛犬の肉球でクラロワ☆,16000038,Royal Ghost,6,6,Lumberjack,6,6,Ram Rider,6,6,Barbarian Barrel,9,9,Inferno Dragon,6,6,Bandit,6,6,Fireball,12,12,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T061510.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VPR0U0U,星絆✪むぎ‪ஐ,6630,2,#PYGQQC2P,Divine Saga,16000043,Golem,9,9,Lumberjack,6,6,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Night Witch,6,6,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UV898PGP,❤DARK NOE❤,6660,1,,,,Archer Queen,4,4,Goblin Cage,12,12,Earthquake,12,12,Fire Spirit,14,14,Skeletons,14,14,Royal Delivery,14,14,Royal Hogs,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
