type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T130951.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VRR8YJL,獅子神,6803,3,#2YY09QJ8,今夜は乾坤一擲,16000097,Elite Barbarians,14,14,Wizard,12,12,Elixir Golem,12,12,Night Witch,6,6,Arrows,14,14,Rage,9,9,Golem,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9UG92LR,こめっこ,6882,0,,,,Electro Wizard,6,6,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Lightning,9,9,Goblin Cage,12,12,Golden Knight,4,4,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T130606.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VRR8YJL,獅子神,6828,0,#2YY09QJ8,今夜は乾坤一擲,16000097,Elite Barbarians,14,14,Wizard,12,12,Elixir Golem,12,12,Night Witch,6,6,Arrows,14,14,Rage,9,9,Golem,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0VC8PJR,AGoodName✨,6880,1,,,,Tornado,9,9,Skeletons,14,14,Tesla,14,14,The Log,6,6,Magic Archer,6,6,Wall Breakers,9,9,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T125011.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VRR8YJL,獅子神,6856,0,#2YY09QJ8,今夜は乾坤一擲,16000097,Elite Barbarians,14,14,Wizard,12,12,Elixir Golem,12,12,Night Witch,6,6,Arrows,14,14,Rage,9,9,Golem,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YLC8YL8J,⛔⛔Emre⛔⛔WARRİOR,6878,3,#2JG9CJYV,DİRİLİŞ TÜRKİYE,16000030,P.E.K.K.A,9,9,Electro Wizard,6,6,Bandit,6,6,Elite Barbarians,14,14,Wizard,12,12,Poison,9,9,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T121244.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VRR8YJL,獅子神,6830,3,#2YY09QJ8,今夜は乾坤一擲,16000097,Elite Barbarians,14,14,Wizard,12,12,Elixir Golem,12,12,Night Witch,6,6,Arrows,14,14,Rage,9,9,Golem,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G92C9J988,｢OLR™｣ ᴇʀɪᴄᴋ,6788,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Giant,12,12,Graveyard,6,6,Musketeer,12,12,Mini P.E.K.K.A,12,12,Skeleton Army,9,9,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T100833.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VRR8YJL,獅子神,6807,3,#2YY09QJ8,今夜は乾坤一擲,16000097,Elite Barbarians,14,14,Wizard,12,12,Elixir Golem,12,12,Night Witch,6,6,Arrows,14,14,Rage,9,9,Golem,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YRYLQVJQ,RF❄Timmy,6726,1,#9PYU0ULU,4ZOGmbH,16000142,Elixir Golem,12,12,Battle Healer,12,12,Inferno Dragon,6,6,Heal Spirit,12,12,Electro Dragon,9,9,Elite Barbarians,14,14,Rage,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T094552.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VRR8YJL,獅子神,6837,0,#2YY09QJ8,今夜は乾坤一擲,16000097,Elite Barbarians,14,14,Wizard,12,12,Elixir Golem,12,12,Night Witch,6,6,Arrows,14,14,Rage,9,9,Golem,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q88YUVLG,❄️ Polar ☃️,6830,1,,,,Goblin Cage,12,12,Fireball,12,12,Royal Recruits,14,14,Zappies,12,12,Royal Hogs,12,12,Arrows,14,14,Flying Machine,12,12,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T093655.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VRR8YJL,獅子神,6812,3,#2YY09QJ8,今夜は乾坤一擲,16000097,Elite Barbarians,14,14,Wizard,12,12,Elixir Golem,12,12,Night Witch,6,6,Arrows,14,14,Rage,9,9,Golem,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UJJULGCG,门神Soloman,6759,2,#Q9UG8RJP,抖音B站:门神soloman,16000128,Mega Knight,6,6,Bandit,6,6,Royal Ghost,6,6,Ram Rider,6,6,Archer Queen,4,4,Electro Spirit,14,14,Giant Snowball,14,14,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T093153.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VRR8YJL,獅子神,6783,3,#2YY09QJ8,今夜は乾坤一擲,16000097,Elite Barbarians,14,14,Wizard,12,12,Elixir Golem,12,12,Night Witch,6,6,Arrows,14,14,Rage,9,9,Golem,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UJCYVJVL,⭐️清歌;CC⭐️,6775,1,#Q98CPC8Q,大会,16000029,Princess,6,6,Dark Prince,9,9,Rocket,12,12,Goblin Barrel,9,9,Rascals,14,14,Cannon Cart,9,9,Giant Snowball,14,14,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T092824.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VRR8YJL,獅子神,6812,1,#2YY09QJ8,今夜は乾坤一擲,16000097,Elite Barbarians,14,14,Wizard,12,12,Elixir Golem,12,12,Night Witch,6,6,Arrows,14,14,Rage,9,9,Golem,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PURLJVQYP,⚡⚡Kid Buu⚡⚡,6823,3,#LQ2QJ9GJ,☠☠☠EMO☠☠☠,16000029,Electro Wizard,6,6,Zap,14,14,Balloon,9,9,Inferno Dragon,6,6,Mega Knight,6,6,Fireball,12,12,Bandit,6,6,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T092620.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VRR8YJL,獅子神,6842,0,#2YY09QJ8,今夜は乾坤一擲,16000097,Elite Barbarians,14,14,Wizard,12,12,Elixir Golem,12,12,Night Witch,6,6,Arrows,14,14,Rage,9,9,Golem,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QLJPC2R0,DEAD MAN,6837,1,#LJ0U898U,golden brothers,16000012,Mega Minion,12,12,Graveyard,6,6,Inferno Tower,12,12,Freeze,9,9,Archers,14,14,Bowler,9,9,Valkyrie,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
