type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T153947.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VYJYJ09,みかん坊や,6811,1,,,,The Log,6,6,Electro Spirit,14,14,Royal Giant,14,14,Lightning,9,9,Fisherman,6,6,Skeletons,14,14,Archer Queen,4,4,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89J8QGPP,|⚡️Chamar⚡️™️,6811,0,#9JJRCUUY,PDF Origins,16000029,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Inferno Tower,12,12,Princess,6,6,The Log,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T235555.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VYJYJ09,みかん坊や,6778,1,,,,The Log,6,6,Electro Spirit,14,14,Royal Giant,14,14,Lightning,9,9,Fisherman,6,6,Skeletons,14,14,Archer Queen,4,4,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YPPJJYLV,WaaaaWaaaa,6818,0,#LL9QPGG2,ClashClowns,16000046,The Log,6,6,Skeletons,14,14,Fire Spirit,14,14,Firecracker,14,14,Inferno Tower,12,12,Valkyrie,12,12,Goblin Barrel,9,9,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T233544.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VYJYJ09,みかん坊や,6747,3,,,,The Log,6,6,Electro Spirit,14,14,Royal Giant,14,14,Lightning,9,9,Fisherman,6,6,Skeletons,14,14,Archer Queen,4,4,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22Q8LLU8J,Kodigoⓒʀ,6761,1,#YGRV2CVG,Twitch Kodigo,16000040,Electro Giant,9,9,Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bomber,14,14,Tornado,9,9,Tombstone,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T231850.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VYJYJ09,みかん坊や,6716,2,,,,The Log,6,6,Electro Spirit,14,14,Royal Giant,14,14,Lightning,9,9,Fisherman,6,6,Skeletons,14,14,Archer Queen,4,4,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VCVGP8J8,kabuki,6730,1,#8RUVGCLJ,Hispania Royale,16000172,Elixir Golem,12,12,Battle Healer,12,12,Arrows,14,14,Bowler,9,9,Rage,9,9,Inferno Dragon,6,6,Electro Dragon,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T144056.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VYJYJ09,みかん坊や,6686,1,,,,The Log,6,6,Electro Spirit,14,14,Royal Giant,14,14,Lightning,9,9,Fisherman,6,6,Skeletons,14,14,Archer Queen,4,4,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29LUUPLYP,Ruby,6693,0,#YQ2P9CPR,Syko-Club,16000131,Poison,9,9,Giant Snowball,14,14,Knight,14,14,Archers,14,14,Rascals,14,14,Dark Prince,9,9,Graveyard,6,6,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T143137.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VYJYJ09,みかん坊や,6658,1,,,,The Log,6,6,Electro Spirit,14,14,Royal Giant,14,14,Lightning,9,9,Fisherman,6,6,Skeletons,14,14,Archer Queen,4,4,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQQYJ9QYR,NS｜黎明,6635,0,#9JGP2P2R,女✨神✨的✨世✨界,16000111,Lumberjack,6,6,Ram Rider,6,6,Bandit,6,6,Inferno Dragon,6,6,Magic Archer,6,6,Barbarian Barrel,9,9,Ice Golem,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T142816.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VYJYJ09,みかん坊や,6687,0,,,,The Log,6,6,Electro Spirit,14,14,Royal Giant,14,14,Lightning,9,9,Fisherman,6,6,Skeletons,14,14,Archer Queen,4,4,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9P2GL8,❤Andres❤,6694,1,#L2PCC899,Ice Army,16000110,Mega Minion,12,12,Golem,9,9,Lightning,9,9,Arrows,14,14,Electro Wizard,6,6,Tombstone,12,12,Prince,9,9,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T141225.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VYJYJ09,みかん坊や,6658,1,,,,The Log,6,6,Electro Spirit,14,14,Royal Giant,14,14,Lightning,9,9,Fisherman,6,6,Skeletons,14,14,Archer Queen,4,4,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G0QUGLU,天GOD,6657,0,#L9R0CC2C,predator,16000002,Royal Giant,14,14,Dark Prince,9,9,Archer Queen,4,4,Mega Minion,12,12,Fisherman,6,6,The Log,6,6,Lightning,9,9,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T100820.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VYJYJ09,みかん坊や,6627,1,,,,The Log,6,6,Electro Spirit,14,14,Royal Giant,14,14,Lightning,9,9,Fisherman,6,6,Skeletons,14,14,Archer Queen,4,4,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J2C2C2QR,⚡JuJuclash374⚡,6645,0,#9JJRCUUY,PDF Origins,16000029,Royal Ghost,6,6,Zap,14,14,Lumberjack,6,6,Hog Rider,12,12,Minion Horde,14,14,Prince,9,9,Dark Prince,9,9,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T094739.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2VYJYJ09,みかん坊や,6600,3,,,,The Log,6,6,Electro Spirit,14,14,Royal Giant,14,14,Lightning,9,9,Fisherman,6,6,Skeletons,14,14,Archer Queen,4,4,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q9YLPRYJ,T-KooP™️,6570,1,#9JJRCUUY,PDF Origins,16000029,Goblin Giant,9,9,Sparky,6,6,Elite Barbarians,14,14,Dark Prince,9,9,Electro Wizard,6,6,Heal Spirit,12,12,Zap,14,14,Rage,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
