type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T072609.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YGV0UG0,ɇđᵾȺɍđø,6763,1,#RLLYCQ,Power's,16000010,P.E.K.K.A,9,9,Tornado,9,9,Lightning,9,9,Ram Rider,6,6,Golden Knight,4,4,Hunter,9,9,Electro Spirit,14,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GRPYJVL,YoSoyRick_YT,6809,0,#Q8P2YQC0,Champion Army,16000012,Skeletons,14,14,Fireball,12,12,Musketeer,12,12,Fire Spirit,14,14,Cannon,14,14,The Log,6,6,Hog Rider,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T071806.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YGV0UG0,ɇđᵾȺɍđø,6794,0,#RLLYCQ,Power's,16000010,P.E.K.K.A,9,9,Tornado,9,9,Lightning,9,9,Ram Rider,6,6,Golden Knight,4,4,Hunter,9,9,Electro Spirit,14,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQ0RU8P,Brian.❤️,6776,1,#YQUVR29U,Vatra Gaming,16000032,Magic Archer,6,6,P.E.K.K.A,9,9,Ram Rider,6,6,Fireball,12,12,Dark Prince,9,9,Zap,14,14,Electro Wizard,6,6,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T071232.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YGV0UG0,ɇđᵾȺɍđø,6770,1,#RLLYCQ,Power's,16000010,P.E.K.K.A,9,9,Tornado,9,9,Lightning,9,9,Ram Rider,6,6,Golden Knight,4,4,Hunter,9,9,Electro Spirit,14,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98PJRPC,るんるん大佐,6706,0,#P8YVYGVY,お邪魔！,16000107,Skeleton Army,9,9,Inferno Dragon,6,6,Graveyard,6,6,Witch,9,9,Skeleton King,4,4,Fireball,12,12,Arrows,14,14,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T062009.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YGV0UG0,ɇđᵾȺɍđø,6799,1,#RLLYCQ,Power's,16000010,P.E.K.K.A,9,9,Tornado,9,9,Lightning,9,9,Ram Rider,6,6,Golden Knight,4,4,Hunter,9,9,Electro Spirit,14,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L29R29V8,A҉s҉o҉s҉1҉1҉❤️,6805,3,#LQGQUJRU,Friends❤️,16000168,Goblin Cage,12,12,Barbarian Barrel,9,9,Zappies,12,12,Fireball,12,12,Royal Recruits,14,14,Royal Hogs,12,12,Flying Machine,12,12,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T061403.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YGV0UG0,ɇđᵾȺɍđø,6774,1,#RLLYCQ,Power's,16000010,P.E.K.K.A,9,9,Tornado,9,9,Lightning,9,9,Ram Rider,6,6,Golden Knight,4,4,Hunter,9,9,Electro Spirit,14,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY2CJCV98,Samy46,6722,0,#LUQ98UPV,Team_Diamond,16000045,Bandit,6,6,Ram Rider,6,6,Fireball,12,12,Barbarian Barrel,9,9,Fisherman,6,6,Mega Knight,6,6,Inferno Dragon,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T060856.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YGV0UG0,ɇđᵾȺɍđø,6742,1,#RLLYCQ,Power's,16000010,P.E.K.K.A,9,9,Tornado,9,9,Lightning,9,9,Ram Rider,6,6,Golden Knight,4,4,Hunter,9,9,Electro Spirit,14,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYQ8PY90J,chicopercebe,6772,0,#YV2JRC0Q,CRL NOVA I MEX5,16000111,Mega Knight,6,6,Balloon,9,9,Electro Spirit,14,14,Minions,14,14,Ice Golem,12,12,Hunter,9,9,Giant Snowball,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T060138.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YGV0UG0,ɇđᵾȺɍđø,6756,0,#RLLYCQ,Power's,16000010,P.E.K.K.A,9,9,Tornado,9,9,Lightning,9,9,Ram Rider,6,6,Golden Knight,4,4,Hunter,9,9,Electro Spirit,14,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LU8RU02U,Taha,6951,1,#QVQ99R0U,haydi 12J,16000047,Rocket,12,12,The Log,6,6,Tornado,9,9,Executioner,9,9,Valkyrie,12,12,Hog Rider,12,12,Electro Spirit,14,14,Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T055604.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YGV0UG0,ɇđᵾȺɍđø,6786,1,#RLLYCQ,Power's,16000010,P.E.K.K.A,9,9,Tornado,9,9,Lightning,9,9,Ram Rider,6,6,Golden Knight,4,4,Hunter,9,9,Electro Spirit,14,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,6784,3,#8UL8V0Q0,CLASHwithINDIAN,16000059,Lava Hound,6,6,Mega Minion,12,12,Tombstone,12,12,Barbarians,14,14,Lightning,9,9,Zap,14,14,Skeleton Dragons,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T055058.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YGV0UG0,ɇđᵾȺɍđø,6761,1,#RLLYCQ,Power's,16000010,P.E.K.K.A,9,9,Tornado,9,9,Lightning,9,9,Ram Rider,6,6,Golden Knight,4,4,Hunter,9,9,Electro Spirit,14,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y0P2UJJV2,CMC Eppel™,6703,0,#YUGJCLGU,SK Free2Play,16000044,Baby Dragon,9,9,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Tombstone,12,12,Poison,9,9,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T053510.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YGV0UG0,ɇđᵾȺɍđø,6733,1,#RLLYCQ,Power's,16000010,P.E.K.K.A,9,9,Tornado,9,9,Lightning,9,9,Ram Rider,6,6,Golden Knight,4,4,Hunter,9,9,Electro Spirit,14,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LJRGLJPL,<c3>Daaniiel™,6715,0,#LVG8C8Q8,Team Alpha MX,16000029,Electro Giant,9,9,Baby Dragon,9,9,Lightning,9,9,Tornado,9,9,Goblin Cage,12,12,Archer Queen,4,4,Barbarian Barrel,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
