type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T174139.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#2YL9JPR20,UriUri14,6806,1,#8LV9PV82,Swiss Allstars,16000038,Graveyard,6,6,Archer Queen,4,4,Baby Dragon,9,9,Valkyrie,12,12,Bomb Tower,12,12,Barbarian Barrel,9,9,Tornado,8,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UJG88LY,Jxcob,5110,0,#298CLR8,Royale w/Cheese,16000028,Skeleton Army,9,9,Bandit,6,6,Executioner,9,9,The Log,6,6,Clone,9,9,Elite Barbarians,14,14,Rocket,12,12,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T173825.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#2YL9JPR20,UriUri14,6806,1,#8LV9PV82,Swiss Allstars,16000038,Graveyard,6,6,Archer Queen,4,4,Baby Dragon,9,9,Valkyrie,12,12,Bomb Tower,12,12,Barbarian Barrel,9,9,Tornado,8,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LC2VQVUU,Nimaz,6023,0,#YVPGGC2Q,I.C.R,16000020,Golden Knight,4,4,Zap,14,14,Mirror,9,9,Electro Wizard,6,6,Hog Rider,12,12,Fireball,12,12,P.E.K.K.A,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173144.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YL9JPR20,UriUri14,6781,1,#8LV9PV82,Swiss Allstars,16000038,Graveyard,6,6,Archer Queen,4,4,Baby Dragon,9,9,Valkyrie,12,12,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,8,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JPCRVGLY,すずかもね？,6730,0,,,,Archer Queen,4,4,Royal Hogs,12,12,Skeletons,14,14,Lightning,9,9,Royal Delivery,14,14,Goblin Cage,12,12,Fire Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172119.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YL9JPR20,UriUri14,6811,0,#8LV9PV82,Swiss Allstars,16000038,Graveyard,6,6,Archer Queen,4,4,Baby Dragon,9,9,Valkyrie,12,12,Bomb Tower,12,12,Barbarian Barrel,9,9,Tornado,8,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R09228V,SK Morten,6808,1,#YUGJCLGU,SK Free2Play,16000044,Archer Queen,4,4,The Log,6,6,Earthquake,12,12,Mini P.E.K.K.A,12,12,Skeletons,14,14,Bats,14,14,Hog Rider,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171720.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YL9JPR20,UriUri14,6840,1,#8LV9PV82,Swiss Allstars,16000038,Graveyard,6,6,Archer Queen,4,4,Baby Dragon,9,9,Valkyrie,12,12,Bomb Tower,12,12,Barbarian Barrel,9,9,Tornado,8,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28VUJLPYJ,CHN丨小孩Matt Mx ❤,6845,2,#G90YLCQ8,Dark Dinasty,16000110,Bandit,6,6,Mega Knight,6,6,Royal Ghost,5,6,Electro Spirit,13,14,Giant Snowball,14,14,Ram Rider,6,6,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171239.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YL9JPR20,UriUri14,6809,1,#8LV9PV82,Swiss Allstars,16000038,Graveyard,6,6,Archer Queen,4,4,Baby Dragon,9,9,Valkyrie,12,12,Bomb Tower,12,12,Barbarian Barrel,9,9,Tornado,8,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRRQUVG9,⭐️King⭐️Texas⚡️,6822,0,#P0LLG9RG,QLASH Eclipse,16000077,Mega Minion,12,12,Dark Prince,9,9,Tornado,9,9,Freeze,9,9,Executioner,9,9,Bowler,9,9,Graveyard,6,6,Royal Delivery,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T140442.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#2YL9JPR20,UriUri14,6809,1,#8LV9PV82,Swiss Allstars,16000038,Royal Hogs,12,12,Royal Recruits,14,14,Zappies,12,12,Flying Machine,12,12,Fireball,12,12,Goblin Cage,12,12,Golden Knight,4,4,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92Y08C0,<===Marco===>,5756,0,#L2RU9L0,Amici del Cane,16000153,Royal Hogs,12,12,Royal Recruits,14,14,Zappies,12,12,Flying Machine,12,12,Fireball,12,12,Zap,13,14,Goblin Cage,11,12,Barbarian Barrel,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T135933.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#2YL9JPR20,UriUri14,6809,1,#8LV9PV82,Swiss Allstars,16000038,Royal Hogs,12,12,Royal Recruits,14,14,Zappies,12,12,Flying Machine,12,12,Fireball,12,12,Goblin Cage,12,12,Golden Knight,4,4,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P20PYUG0Y,bk,5968,0,#PRUCVJUP,Dynasty Gods,16000061,Hog Rider,12,12,Skeletons,14,14,The Log,6,6,Tesla,14,14,Royal Delivery,12,14,Archer Queen,4,4,Lightning,8,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T135532.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#2YL9JPR20,UriUri14,6809,1,#8LV9PV82,Swiss Allstars,16000038,Royal Hogs,12,12,Royal Recruits,14,14,Zappies,12,12,Flying Machine,12,12,Fireball,12,12,Goblin Cage,12,12,Golden Knight,4,4,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YPRRUYVJ,врунгель,5435,2,#PYCQQPVR,Authentic Army,16000164,Electro Wizard,6,6,Wizard,12,12,Mega Knight,6,6,Lumberjack,6,6,Furnace,12,12,Golden Knight,4,4,Goblin Drill,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T135206.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#2YL9JPR20,UriUri14,6809,3,#8LV9PV82,Swiss Allstars,16000038,Royal Hogs,12,12,Royal Recruits,14,14,Zappies,12,12,Flying Machine,12,12,Fireball,12,12,Goblin Cage,12,12,Golden Knight,4,4,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GURYCPY08,GEOVANY 502,5500,0,#PY0UPPPL,Universo 7 GT,16000124,Inferno Tower,11,12,Electro Wizard,6,6,Zap,14,14,Prince,9,9,Fireball,11,12,Skeleton Army,9,9,Valkyrie,11,12,Wizard,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
