type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T083959.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YQVYQQ0,kirito,6791,1,#PPGP2LJ9,新鮮水果,16000140,Elixir Collector,12,12,Elite Barbarians,14,14,Three Musketeers,12,12,Golden Knight,4,4,Heal Spirit,12,12,Royal Ghost,6,6,Barbarian Barrel,9,9,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QGVCPUG8,氷firegod,6718,0,#LCQRV2JY,frog,16000135,X-Bow,9,9,Rocket,12,12,Musketeer,12,12,Skeletons,14,14,The Log,6,6,Knight,14,14,Electro Spirit,14,14,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T025921.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YQVYQQ0,kirito,6764,1,#PPGP2LJ9,新鮮水果,16000140,Elixir Collector,12,12,Elite Barbarians,14,14,Three Musketeers,12,12,Golden Knight,4,4,Heal Spirit,12,12,Royal Ghost,6,6,Barbarian Barrel,9,9,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VJQVPVR,出泥DaJuicyOne,6731,0,#LLULVYRR,Island Boys,16000133,Lightning,9,9,Night Witch,6,6,Flying Machine,12,12,Mega Minion,12,12,Golem,9,9,Skeleton King,4,4,Tombstone,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T024744.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#2YQVYQQ0,kirito,6764,3,#PPGP2LJ9,新鮮水果,16000140,Elixir Collector,12,12,Three Musketeers,12,12,Royal Ghost,6,6,Elite Barbarians,14,14,Golden Knight,4,4,Ice Golem,12,12,Heal Spirit,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y09P0PCG,Oualid Menendez,5718,0,#P2GVLGCQ,! Alliance Fr3,16000078,P.E.K.K.A,9,9,Barbarian Barrel,8,9,Royal Ghost,6,6,Electro Wizard,5,6,Fireball,11,12,Ram Rider,6,6,Bandit,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T024607.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#2YQVYQQ0,kirito,6764,3,#PPGP2LJ9,新鮮水果,16000140,Electro Giant,8,9,Lightning,9,9,Bomber,13,14,Tornado,8,9,Inferno Dragon,5,6,Goblin Cage,11,12,Dark Prince,8,9,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P9JCU0P9,Rockdrigo,5707,2,#2J0CYPU9,50 Kings Gt 2.0,16000146,Knight,13,14,The Log,5,6,Princess,4,6,Inferno Tower,11,12,Skeleton Army,8,9,Goblin Barrel,8,9,Ice Spirit,13,14,Rocket,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T014720.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YQVYQQ0,kirito,6738,1,#PPGP2LJ9,新鮮水果,16000140,Elixir Collector,12,12,Elite Barbarians,14,14,Three Musketeers,12,12,Golden Knight,4,4,Heal Spirit,12,12,Royal Ghost,6,6,Barbarian Barrel,9,9,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PGU0R8JR,Ouahleouff❤️,6698,0,#LVQUJQG2,GOTAGANG,16000097,Mega Knight,6,6,Electro Wizard,6,6,Arrows,14,14,Inferno Dragon,6,6,The Log,6,6,Miner,6,6,Bandit,6,6,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T014141.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YQVYQQ0,kirito,6708,3,#PPGP2LJ9,新鮮水果,16000140,Elixir Collector,12,12,Elite Barbarians,14,14,Three Musketeers,12,12,Golden Knight,4,4,Heal Spirit,12,12,Royal Ghost,6,6,Barbarian Barrel,9,9,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28Y0UVGCV,Adripc04,6709,0,#9P9Y8VPL,TeamExigence,16000162,Royal Giant,14,14,Royal Recruits,14,14,Electro Wizard,6,6,Valkyrie,12,12,Fisherman,6,6,The Log,6,6,Goblin Hut,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T013819.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YQVYQQ0,kirito,6679,2,#PPGP2LJ9,新鮮水果,16000140,Elixir Collector,12,12,Elite Barbarians,14,14,Three Musketeers,12,12,Golden Knight,4,4,Heal Spirit,12,12,Royal Ghost,6,6,Barbarian Barrel,9,9,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L29R29V8,A҉s҉o҉s҉1҉1҉❤️,6672,1,#LQGQUJRU,Friends❤️,16000168,Bats,14,14,Arrows,14,14,Skeleton Army,9,9,Ice Wizard,6,6,Freeze,9,9,Inferno Dragon,6,6,Balloon,9,9,Giant Skeleton,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T013435.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YQVYQQ0,kirito,6708,0,#PPGP2LJ9,新鮮水果,16000140,Elixir Collector,12,12,Elite Barbarians,14,14,Three Musketeers,12,12,Golden Knight,4,4,Heal Spirit,12,12,Royal Ghost,6,6,Barbarian Barrel,9,9,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CJRGGCC8,JUNIOR,6710,1,#P828R2G2,CRG eSports,16000162,Prince,9,9,Spear Goblins,14,14,Fireball,12,12,Goblin Giant,9,9,Bandit,6,6,Dark Prince,9,9,Bats,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T012508.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YQVYQQ0,kirito,6679,2,#PPGP2LJ9,新鮮水果,16000140,Elixir Collector,12,12,Elite Barbarians,14,14,Three Musketeers,12,12,Golden Knight,4,4,Heal Spirit,12,12,Royal Ghost,6,6,Barbarian Barrel,9,9,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PP9J9UQU,Gazelle,6672,0,#YCQQYPVY,クラン,16000120,Archer Queen,4,4,Royal Hogs,12,12,Skeletons,14,14,Royal Delivery,14,14,Earthquake,12,12,Goblin Cage,12,12,Fire Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T012106.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#2YQVYQQ0,kirito,6649,1,#PPGP2LJ9,新鮮水果,16000140,Elixir Collector,12,12,Elite Barbarians,14,14,Three Musketeers,12,12,Golden Knight,4,4,Heal Spirit,12,12,Royal Ghost,6,6,Barbarian Barrel,9,9,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q80CVYYP,kay,6657,0,#PY8UP2V0,ハナバーリキルク❤️,16000160,Mortar,14,14,The Log,6,6,Minion Horde,14,14,Guards,9,9,Cannon Cart,9,9,Miner,6,6,Fireball,12,12,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
