type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T042847.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#80GYYCV,Ceski,6914,2,#Y9PYCP0U,Germany Elite,16000144,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Barbarian Barrel,6,9,Royal Ghost,3,6,Fisherman,3,6,Electro Spirit,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RQ0G2Y,帅气哒mzz✨,5715,1,#9GLVUR,华哥好嘢！,16000146,Ram Rider,3,6,The Log,3,6,Mirror,6,9,Knight,11,14,Electro Spirit,11,14,Lightning,6,9,Tesla,11,14,Flying Machine,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T042534.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#80GYYCV,Ceski,6914,3,#Y9PYCP0U,Germany Elite,16000144,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Barbarian Barrel,6,9,Royal Ghost,3,6,Fisherman,3,6,Electro Spirit,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99LQ22YG9,伟大的伟,5603,0,#Y9QUL0VP,B站六部,16000139,Ram Rider,3,6,Mega Knight,3,6,Witch,6,9,Executioner,6,9,Mini P.E.K.K.A,9,12,Hog Rider,9,12,Wizard,9,12,Minion Horde,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T042229.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,2,eventDeck,#80GYYCV,Ceski,6914,2,#Y9PYCP0U,Germany Elite,16000144,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Barbarian Barrel,6,9,Royal Ghost,3,6,Fisherman,3,6,Electro Spirit,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C0U2UVYLV,志涵dad,5159,1,#L8JR20GC,摘星阁,16000040,Ram Rider,3,6,Bandit,3,6,Royal Ghost,3,6,Electro Wizard,3,6,Earthquake,9,12,P.E.K.K.A,6,9,Zap,11,14,Cannon,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T041916.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,1,eventDeck,#80GYYCV,Ceski,6914,3,#Y9PYCP0U,Germany Elite,16000144,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Barbarian Barrel,6,9,Royal Ghost,3,6,Fisherman,3,6,Electro Spirit,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CLVRYUGQ,piña,5082,0,#YPCR9YRL,Genesis,16000003,Ram Rider,3,6,The Log,3,6,Rage,6,9,Arrows,11,14,Poison,6,9,Tesla,11,14,Archer Queen,1,4,Royal Delivery,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T041714.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,1,eventDeck,#80GYYCV,Ceski,6914,1,#Y9PYCP0U,Germany Elite,16000144,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Barbarian Barrel,6,9,Royal Ghost,3,6,Fisherman,3,6,Electro Spirit,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80G00UJVC,SIR⚡,5436,2,#28P28029,皇室村落,16000170,Ram Rider,3,6,Inferno Dragon,3,6,Mega Knight,3,6,Rage,6,9,Wizard,9,12,Minion Horde,11,14,Prince,6,9,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T041326.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#80GYYCV,Ceski,6914,3,#Y9PYCP0U,Germany Elite,16000144,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Barbarian Barrel,6,9,Royal Ghost,3,6,Fisherman,3,6,Electro Spirit,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PPYLGYG,Blendo,5190,1,#LUYJGPLQ,CARTEL MEDDELIN,16000073,Ram Rider,3,6,Archer Queen,1,4,P.E.K.K.A,6,9,Wizard,9,12,Lumberjack,3,6,Valkyrie,9,12,Minions,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T035622.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80GYYCV,Ceski,6879,1,,,,Skeleton King,4,4,Fireball,12,12,Spear Goblins,14,14,Arrows,14,14,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PV2R08L,the snowdog,6938,0,#QCJ0JQCV,YT The Snowdog,16000006,Giant,12,12,Graveyard,6,6,Giant Snowball,14,14,Archer Queen,4,4,Dark Prince,9,9,Skeleton Army,9,9,Arrows,14,14,Minions,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T035109.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80GYYCV,Ceski,6849,2,,,,Skeleton King,4,4,Fireball,12,12,Spear Goblins,14,14,Arrows,14,14,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P098CGQQ,Aldair Vargas,6850,1,#YU9LLU00,Giant Goblin DP,16000142,Prince,9,9,Fireball,12,12,Goblin Giant,9,9,Bats,14,14,Spear Goblins,14,14,Dark Prince,9,9,Goblin Gang,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T033741.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#QJUC8GYY,karan,5602,1,#LUJPG0LC,MEGA ELITES,16000145,Balloon,9,9,Miner,5,6,The Log,4,6,Hog Rider,12,12,Zap,14,14,Goblin Gang,14,14,Electro Wizard,6,6,Bowler,8,9,#80GYYCV,Ceski,,1,#LUJPG0LC,MEGA ELITES,16000145,Skeleton King,4,4,Fireball,12,12,Spear Goblins,14,14,Arrows,14,14,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Prince,9,9,#2PURPPG2Q,Dark Knight™,5568,0,#LLPCUUC9,Friends Only,16000014,Prince,9,9,Bats,14,14,Hog Rider,12,12,Valkyrie,12,12,Princess,6,6,Goblin Barrel,9,9,Arrows,14,14,Tesla,14,14,#89VR0CQ,NotCaptAmera739,,0,#LUP2J92P,GUARANA GANG,16000002,Mortar,14,14,Knight,14,14,Spear Goblins,13,14,Ice Wizard,5,6,Tesla,14,14,Tornado,9,9,Rocket,12,12,The Log,4,6
casual2v2,20220104T033342.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#GPUPLRJ8C,DOUNOME,5128,1,#LUJPG0LC,MEGA ELITES,16000145,Sparky,1,6,Witch,7,9,Inferno Tower,8,12,Goblin Barrel,5,9,P.E.K.K.A,8,9,Electro Wizard,2,6,Skeleton Army,5,9,Tornado,2,9,#80GYYCV,Ceski,,1,#LUJPG0LC,MEGA ELITES,16000145,Skeleton King,4,4,Fireball,12,12,Spear Goblins,14,14,Arrows,14,14,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Prince,9,9,#RVJC0Y89,Frosty,5000,0,#2889L90,Graphene,16000017,Zap,14,14,Tornado,6,9,Ice Golem,9,12,Tesla,12,14,Hog Rider,10,12,Dart Goblin,9,12,P.E.K.K.A,9,9,The Log,3,6,#YRR00VUVY,batftanz,,0,#9CQQLG,ALOPEZ BALBALZ,16000029,P.E.K.K.A,8,9,Wizard,12,12,Electro Wizard,3,6,Bandit,2,6,Mother Witch,2,6,Ram Rider,3,6,Inferno Tower,9,12,Mirror,8,9
