type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T050955.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80JGCYU0J,TheGreatHeyEh,6761,0,#LL9QPGG2,ClashClowns,16000046,Graveyard,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Knight,14,14,Ice Wizard,6,6,Poison,9,9,Tombstone,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L0Q2VU,Whale Shark,6710,1,#LLQYYRCY,InTheStorm,16000020,Archer Queen,4,4,Royal Hogs,12,12,Skeletons,14,14,Earthquake,12,12,The Log,6,6,Goblin Cage,12,12,Royal Delivery,14,14,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T050324.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80JGCYU0J,TheGreatHeyEh,6731,1,#LL9QPGG2,ClashClowns,16000046,Graveyard,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Knight,14,14,Ice Wizard,6,6,Poison,9,9,Tombstone,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U9C8JRGJ,梦执✨,6734,0,#9LRRVY,u jump! i jump!,16000013,P.E.K.K.A,9,9,Bandit,6,6,Minions,14,14,Miner,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T235128.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80JGCYU0J,TheGreatHeyEh,6702,1,#LL9QPGG2,ClashClowns,16000046,Graveyard,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Knight,14,14,Ice Wizard,6,6,Poison,9,9,Tombstone,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YQ98PLCJ,Thomas,6694,0,#8LGRYC,CrownTown☀️,16000013,Mega Minion,12,12,Goblin Cage,12,12,Graveyard,6,6,Tornado,8,9,Valkyrie,12,12,Baby Dragon,9,9,Barbarian Barrel,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T182928.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80JGCYU0J,TheGreatHeyEh,6730,0,#LL9QPGG2,ClashClowns,16000046,Graveyard,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Knight,14,14,Ice Wizard,6,6,Poison,9,9,Tombstone,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C20QQGUJ,⭐NS AUROZI™️⭐,6743,1,#LR0L8LQC,Aurozi noob,16000173,Goblin Drill,9,9,Wall Breakers,9,9,Fire Spirit,14,14,Tesla,14,14,Bomber,14,14,Skeleton Army,9,9,Golden Knight,4,4,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T182509.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80JGCYU0J,TheGreatHeyEh,6701,2,#LL9QPGG2,ClashClowns,16000046,Graveyard,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Knight,14,14,Ice Wizard,6,6,Poison,9,9,Tombstone,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q08YVP90,Nova l SORA™,6697,1,#YRQ2CVPR,loading…,16000017,Electro Giant,9,9,Prince,9,9,Tornado,9,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T182015.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80JGCYU0J,TheGreatHeyEh,6726,0,#LL9QPGG2,ClashClowns,16000046,Graveyard,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Knight,14,14,Ice Wizard,6,6,Poison,9,9,Tombstone,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRYLGLRQU,LWJ,6777,1,#LQQCR29U,Estella,16000040,Zap,14,14,Fireball,12,12,Minions,14,14,Battle Ram,12,12,Royal Ghost,6,6,Bandit,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T181318.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80JGCYU0J,TheGreatHeyEh,6691,1,#LL9QPGG2,ClashClowns,16000046,Graveyard,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Knight,14,14,Ice Wizard,6,6,Poison,9,9,Tombstone,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Y0CCYJ2Q,CR TUKI,6759,0,#YJ2YY980,PUKIS AIRLINES,16000167,Giant,12,12,Musketeer,12,12,Skeleton Army,9,9,Arrows,14,14,Graveyard,6,6,Mini P.E.K.K.A,12,12,Bats,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T180910.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80JGCYU0J,TheGreatHeyEh,6721,1,#LL9QPGG2,ClashClowns,16000046,Graveyard,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Knight,14,14,Ice Wizard,6,6,Poison,9,9,Tombstone,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PVV28U8,Trainer跟Vigo跟,6720,3,#LGYGLCGY,TRADE,16000154,Elixir Golem,12,12,Inferno Dragon,6,6,Arrows,14,14,Elite Barbarians,14,14,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T180126.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80JGCYU0J,TheGreatHeyEh,6749,0,#LL9QPGG2,ClashClowns,16000046,Graveyard,6,6,Baby Dragon,9,9,Mega Minion,12,12,Barbarian Barrel,9,9,Dark Prince,9,9,Freeze,9,9,Barbarian Hut,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VLQLYG8,Kralj,6767,1,#G9P2YYG9,YouTube KraljCR,16000035,X-Bow,9,9,Bowler,9,9,Tesla,14,14,Fireball,12,12,Skeletons,14,14,Ice Wizard,6,6,Fire Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T164847.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80JGCYU0J,TheGreatHeyEh,6784,0,#LL9QPGG2,ClashClowns,16000046,Graveyard,6,6,Baby Dragon,9,9,Mega Minion,12,12,Barbarian Barrel,9,9,Dark Prince,9,9,Freeze,9,9,Barbarian Hut,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P2CCV2GY,Dario_6,6720,1,#JVJLU,ZARAGOZA 1,16000063,Bandit,6,6,Magic Archer,6,6,Heal Spirit,12,12,Mother Witch,6,6,Royal Ghost,6,6,Elite Barbarians,14,14,Barbarian Barrel,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
