type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T182719.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80R00VPRU,UNL TOCHE,6879,1,#9QVQPR,Dark Legends,16000000,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Barbarian Barrel,9,9,Goblin Cage,12,12,Flying Machine,12,12,Arrows,14,14,Zappies,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCG2V8L2,PEACE ON EARTH,6881,0,,,,Tornado,8,9,Earthquake,12,12,Electro Giant,9,9,Fire Spirit,14,14,Archer Queen,4,4,Goblin Cage,12,12,The Log,6,6,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173910.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80R00VPRU,UNL TOCHE,6846,1,#9QVQPR,Dark Legends,16000000,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Barbarian Barrel,9,9,Goblin Cage,12,12,Flying Machine,12,12,Arrows,14,14,Zappies,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYQ8PY90J,chicopercebe,6891,0,#YV2JRC0Q,CRL NOVA I MEX5,16000111,Mega Knight,6,6,Balloon,9,9,Electro Spirit,14,14,Minions,14,14,Ice Golem,12,12,Hunter,9,9,Giant Snowball,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173436.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80R00VPRU,UNL TOCHE,6877,0,#9QVQPR,Dark Legends,16000000,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Barbarian Barrel,9,9,Goblin Cage,12,12,Flying Machine,12,12,Arrows,14,14,Zappies,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRYLGLRQU,LWJ,6855,1,#LRC29YY0,BetaGo,16000014,Royal Ghost,6,6,P.E.K.K.A,9,9,Electro Wizard,6,6,Magic Archer,6,6,Battle Ram,12,12,Lightning,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162707.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80R00VPRU,UNL TOCHE,6843,1,#9QVQPR,Dark Legends,16000000,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Barbarian Barrel,9,9,Goblin Cage,12,12,Flying Machine,12,12,Arrows,14,14,Zappies,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,6891,0,#8UL8V0Q0,CLASHwithINDIAN,16000059,Lava Hound,6,6,Mega Minion,12,12,Tombstone,12,12,Barbarians,14,14,Lightning,9,9,Zap,14,14,Skeleton Dragons,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162040.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80R00VPRU,UNL TOCHE,6814,1,#9QVQPR,Dark Legends,16000000,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Barbarian Barrel,9,9,Goblin Cage,12,12,Flying Machine,12,12,Arrows,14,14,Zappies,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29QGY9YJC,Seb,6807,0,#YC8VL8LQ,B I C H O T A S,16000028,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Tombstone,12,12,Poison,9,9,Valkyrie,12,12,Graveyard,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161001.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80R00VPRU,UNL TOCHE,6786,2,#9QVQPR,Dark Legends,16000000,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Barbarian Barrel,9,9,Goblin Cage,12,12,Flying Machine,12,12,Arrows,14,14,Zappies,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GG90QCC,3⭐KAYSERİ⭐8,6774,1,#P0YLYUY,ADALET-İ MAHZA,16000030,Golem,9,9,Night Witch,6,6,Bats,14,14,Baby Dragon,9,9,Lightning,9,9,Bomber,14,14,Prince,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T160548.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#80R00VPRU,UNL TOCHE,6786,1,#9QVQPR,Dark Legends,16000000,Graveyard,3,6,Firecracker,11,14,Heal Spirit,9,12,Minion Horde,11,14,Royal Ghost,3,6,Poison,6,9,Barbarian Barrel,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J9L99L8LC,FerrasJ.A,1479,0,#PJJG9U2Y,Guerreros,16000164,Ram Rider,3,6,Dart Goblin,9,12,Skeleton Barrel,11,14,Magic Archer,3,6,Valkyrie,9,12,Fireball,9,12,The Log,3,6,P.E.K.K.A,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T061028.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80R00VPRU,UNL TOCHE,6757,2,#9QVQPR,Dark Legends,16000000,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Barbarian Barrel,9,9,Goblin Cage,12,12,Flying Machine,12,12,Arrows,14,14,Zappies,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29CV9909J,gen,6748,1,#LVQ2V2J2,Green ogress,16000136,P.E.K.K.A,9,9,Magic Archer,6,6,Elixir Golem,12,12,Zappies,12,12,Dark Prince,9,9,Tornado,9,9,Electro Dragon,9,9,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T060521.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80R00VPRU,UNL TOCHE,6789,1,#9QVQPR,Dark Legends,16000000,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Barbarian Barrel,9,9,Goblin Cage,12,12,Flying Machine,12,12,Arrows,14,14,Zappies,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VRR8YJL,獅子神,6762,2,#2YY09QJ8,今夜は乾坤一擲,16000097,Elite Barbarians,14,14,Wizard,12,12,Elixir Golem,12,12,Night Witch,6,6,Arrows,14,14,Rage,9,9,Golem,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T055627.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80R00VPRU,UNL TOCHE,6760,1,#9QVQPR,Dark Legends,16000000,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Barbarian Barrel,9,9,Goblin Cage,12,12,Flying Machine,12,12,Arrows,14,14,Zappies,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R2YVUPRU,NOVA I JOKER,6757,0,#99RUQP2J,あつまれ！バーバリアンカフェ,16000044,Bats,14,14,Inferno Tower,12,12,Ice Golem,12,12,Giant Snowball,14,14,Miner,6,6,The Log,6,6,Rascals,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
