type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T144514.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80YPLV9G0,O PAI TA ON ❤,6767,1,,,,Goblin Barrel,9,9,The Log,6,6,Rascals,14,14,Dart Goblin,12,12,Prince,9,9,Guards,9,9,Rocket,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8RPQ8G8,奧特☠amine,6741,0,#LP2LCGVG,Ad Astra,16000040,P.E.K.K.A,9,9,Battle Ram,12,12,Bandit,6,6,Zap,14,14,Magic Archer,6,6,Fireball,12,12,Royal Ghost,6,6,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143814.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80YPLV9G0,O PAI TA ON ❤,6738,1,,,,Goblin Barrel,9,9,The Log,6,6,Rascals,14,14,Dart Goblin,12,12,Prince,9,9,Guards,9,9,Rocket,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P8PYJQL9,ミッキーねずみ,6733,0,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143316.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80YPLV9G0,O PAI TA ON ❤,6765,0,,,,Goblin Barrel,9,9,The Log,6,6,Rascals,14,14,Dart Goblin,12,12,Prince,9,9,Guards,9,9,Rocket,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCG2V8L2,PEACE ON EARTH,6799,1,#LGQC8CQ2,trade547,16000131,Tornado,8,9,Earthquake,12,12,Electro Giant,9,9,Fire Spirit,14,14,Archer Queen,4,4,Goblin Cage,12,12,The Log,6,6,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142914.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80YPLV9G0,O PAI TA ON ❤,6800,0,,,,Goblin Barrel,9,9,The Log,6,6,Rascals,14,14,Dart Goblin,12,12,Prince,9,9,Guards,9,9,Rocket,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JUPYPPQU,LD — 皇族❤xy☃,6735,1,#PJU9G8RJ,Loving Day,16000108,Barbarian Barrel,9,9,Royal Ghost,6,6,Bandit,6,6,Electro Wizard,6,6,Magic Archer,6,6,Ram Rider,6,6,Cannon Cart,9,9,Heal Spirit,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142325.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80YPLV9G0,O PAI TA ON ❤,6827,0,,,,Goblin Barrel,9,9,The Log,6,6,Rascals,14,14,Dart Goblin,12,12,Prince,9,9,Guards,9,9,Rocket,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2980L999G,H A M Z A ⭐,6860,1,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T115219.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80YPLV9G0,O PAI TA ON ❤,6798,1,#LCU09QL8,BisTuRi,16000021,Goblin Barrel,9,9,The Log,6,6,Rascals,14,14,Dart Goblin,12,12,Prince,9,9,Guards,9,9,Rocket,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9R99CPCPL,Alex,6790,0,#U9G2VQY,50 Legends,16000172,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Lightning,9,9,Electro Spirit,14,14,Mega Knight,6,6,Giant Snowball,14,14,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T114529.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#80YPLV9G0,O PAI TA ON ❤,6798,2,#LCU09QL8,BisTuRi,16000021,Princess,6,6,Goblin Barrel,9,9,Prince,9,9,Goblin Gang,14,14,Giant Snowball,14,14,Rocket,12,12,Rascals,14,14,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJ99RU2U,Kruitz,5808,0,#QJYVLUGJ,MVR team,16000015,Knight,13,14,Ram Rider,6,6,Furnace,12,12,Ice Spirit,13,14,Fireball,11,12,Barbarian Barrel,8,9,Flying Machine,11,12,Rascals,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T113357.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80YPLV9G0,O PAI TA ON ❤,6773,1,#LCU09QL8,BisTuRi,16000021,Goblin Barrel,9,9,The Log,6,6,Rascals,14,14,Dart Goblin,12,12,Prince,9,9,Guards,9,9,Rocket,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8C8YCPPG,Aimar y Diego,6721,0,#LLC0RQ8G,Face To Face,16000172,Bowler,9,9,Balloon,9,9,Lumberjack,6,6,Baby Dragon,9,9,Inferno Dragon,6,6,Freeze,8,9,Tornado,9,9,Barbarian Barrel,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T112753.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80YPLV9G0,O PAI TA ON ❤,6744,2,#LCU09QL8,BisTuRi,16000021,Goblin Barrel,9,9,The Log,6,6,Rascals,14,14,Dart Goblin,12,12,Prince,9,9,Guards,9,9,Rocket,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQRJL2L08,Leon无敌,6742,0,#LJLGUG8R,Twitter,16000108,Golem,9,9,Night Witch,6,6,Baby Dragon,9,9,Mega Minion,12,12,Skeletons,14,14,Lightning,9,9,Tornado,9,9,Elixir Collector,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T105412.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#80YPLV9G0,O PAI TA ON ❤,6715,1,#LCU09QL8,BisTuRi,16000021,Goblin Barrel,9,9,The Log,6,6,Rascals,14,14,Dart Goblin,12,12,Prince,9,9,Guards,9,9,Rocket,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQQYJ9QYR,NS｜黎明,6705,0,#9JGP2P2R,女✨神✨的✨世✨界,16000111,P.E.K.K.A,9,9,Royal Ghost,6,6,Bandit,6,6,Battle Ram,12,12,Magic Archer,6,6,Electro Wizard,6,6,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
