type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T160525.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8209RP80Q,체다교관,6709,1,#LGYCR9LC,클없찐,16000134,Barbarian Barrel,9,9,Valkyrie,12,12,Ice Wizard,6,6,Electro Dragon,9,9,Poison,9,9,Tornado,9,9,Skeletons,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GQVGY298,TS I ⚡️Naldo⚡️,6755,0,#L2PRY8C,Los valientes,16000008,Miner,6,6,Dark Prince,9,9,Poison,9,9,Bandit,6,6,Bats,14,14,The Log,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160013.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8209RP80Q,체다교관,6737,0,#LGYCR9LC,클없찐,16000134,Barbarian Barrel,9,9,Valkyrie,12,12,Ice Wizard,6,6,Electro Dragon,9,9,Poison,9,9,Tornado,9,9,Skeletons,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RJQC8GV9,TMB I Mereegøg✨,6756,1,,,,Mortar,14,14,Miner,6,6,Spear Goblins,14,14,Minion Horde,14,14,The Log,6,6,Cannon Cart,9,9,Fireball,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155447.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8209RP80Q,체다교관,6711,1,#LGYCR9LC,클없찐,16000134,Barbarian Barrel,9,9,Valkyrie,12,12,Ice Wizard,6,6,Electro Dragon,9,9,Poison,9,9,Tornado,9,9,Skeletons,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYC82LCLL,CRYOMANCER,6675,0,#P8C0PV89,Immortal Storm,16000036,P.E.K.K.A,9,9,Balloon,9,9,Executioner,9,9,Valkyrie,12,12,Electro Wizard,6,6,Tornado,9,9,Freeze,8,9,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154721.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8209RP80Q,체다교관,6685,1,#LGYCR9LC,클없찐,16000134,Barbarian Barrel,9,9,Valkyrie,12,12,Ice Wizard,6,6,Electro Dragon,9,9,Poison,9,9,Tornado,9,9,Skeletons,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPPJG9L2V,Jilles,6643,0,#PJRL,Bum Nation,16000162,Bowler,9,9,Electro Dragon,9,9,Inferno Dragon,6,6,Tornado,9,9,Lumberjack,6,6,Balloon,9,9,Barbarian Barrel,9,9,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153830.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8209RP80Q,체다교관,6656,1,#LGYCR9LC,클없찐,16000134,Barbarian Barrel,9,9,Valkyrie,12,12,Ice Wizard,6,6,Electro Dragon,9,9,Poison,9,9,Tornado,9,9,Skeletons,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YLQVRL8C,ttakko,6655,0,#JP89UJ9,☆ OLD STAR ☆,16000039,Mega Knight,6,6,Zappies,12,12,Goblin Giant,9,9,Zap,14,14,Witch,9,9,Ram Rider,6,6,Arrows,14,14,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153400.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8209RP80Q,체다교관,6627,1,#LGYCR9LC,클없찐,16000134,Barbarian Barrel,9,9,Valkyrie,12,12,Ice Wizard,6,6,Electro Dragon,9,9,Poison,9,9,Tornado,9,9,Skeletons,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UY99QLQU,Cody Travers™,6622,0,#9QY9JG09,QLASH Sentry,16000020,P.E.K.K.A,9,9,Poison,9,9,Electro Wizard,6,6,Bandit,6,6,Battle Ram,12,12,Zap,14,14,Magic Archer,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152915.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8209RP80Q,체다교관,6601,1,#LGYCR9LC,클없찐,16000134,Barbarian Barrel,9,9,Valkyrie,12,12,Ice Wizard,6,6,Electro Dragon,9,9,Poison,9,9,Tornado,9,9,Skeletons,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YGQJLC8R,マース～,6562,0,#88PYJUR0,Atatürk 1881,16000030,Mega Knight,6,6,Bats,14,14,Miner,6,6,Wall Breakers,9,9,Musketeer,12,12,Zap,14,14,Guards,7,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152436.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8209RP80Q,체다교관,6634,0,#LGYCR9LC,클없찐,16000134,Barbarian Barrel,9,9,Valkyrie,12,12,Ice Wizard,6,6,Electro Dragon,9,9,Poison,9,9,Tornado,9,9,Skeletons,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YPV00VQ82,ITT lucasgsm_13,6596,1,,,,Electro Giant,9,9,Lightning,9,9,Tornado,7,9,Bomber,13,14,Skeletons,14,14,Archer Queen,4,4,Dark Prince,9,9,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151902.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8209RP80Q,체다교관,6605,1,#LGYCR9LC,클없찐,16000134,Barbarian Barrel,9,9,Valkyrie,12,12,Ice Wizard,6,6,Electro Dragon,9,9,Poison,9,9,Tornado,9,9,Skeletons,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y922PPJV8,"MAHDI""KING",6594,0,#YY9CPP9P,IRAN KING§,16000029,Lava Hound,6,6,Zap,14,14,Balloon,9,9,Inferno Dragon,6,6,Skeleton Dragons,14,14,Barbarians,14,14,Miner,6,6,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151508.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8209RP80Q,체다교관,6573,1,#LGYCR9LC,클없찐,16000134,Barbarian Barrel,9,9,Valkyrie,12,12,Ice Wizard,6,6,Electro Dragon,9,9,Poison,9,9,Tornado,9,9,Skeletons,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GJL0CJPCC,matatabi,6599,0,,,,Giant,12,12,Electro Wizard,6,6,Fireball,12,12,Graveyard,6,6,Night Witch,6,6,Fisherman,5,6,Mega Minion,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
