type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T182907.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#822RQGYP,ZP I RAPHA 974✅,6845,3,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYQ8PY90J,chicopercebe,6878,1,#YV2JRC0Q,CRL NOVA I MEX5,16000111,Mega Knight,6,6,Balloon,9,9,Electro Spirit,14,14,Minions,14,14,Ice Golem,12,12,Hunter,9,9,Giant Snowball,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182418.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#822RQGYP,ZP I RAPHA 974✅,6874,0,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QJPL89GU,ポーネグリフ,6875,1,#9YY8J9L2,大阪まったりクラン,16000054,Archer Queen,4,4,Earthquake,12,12,The Log,6,6,Royal Hogs,12,12,Fire Spirit,14,14,Goblin Cage,12,12,Skeletons,14,14,Royal Delivery,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181843.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#822RQGYP,ZP I RAPHA 974✅,6845,1,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJ8RJPRPR,I Love X-Bow❤,6842,0,#LGL89GQQ,Kodigo❤️Noob,16000110,Tesla,14,14,Archers,14,14,X-Bow,9,9,Fireball,12,12,Skeletons,14,14,Electro Spirit,14,14,Knight,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181056.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#822RQGYP,ZP I RAPHA 974✅,6869,0,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RUVP8PGJ,Derpy__Senpai,6937,3,#YGL9PU80,Troops Of War,16000161,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Fireball,12,12,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180825.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#822RQGYP,ZP I RAPHA 974✅,6899,1,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8J0CGG8Y,Maldito Juampi,6897,2,#YGL9PU80,Troops Of War,16000161,Lava Hound,6,6,Balloon,9,9,Fireball,12,12,Zap,14,14,Guards,9,9,Skeleton Dragons,14,14,Mega Minion,12,12,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180332.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#822RQGYP,ZP I RAPHA 974✅,6932,1,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R9QGCRG8,Nova I Akbey,6892,2,#LQ9RPYGV,Kafalar Esports,16000044,Lava Hound,6,6,Tombstone,11,12,Guards,9,9,Skeleton Dragons,14,14,Balloon,9,9,Zap,14,14,Mega Minion,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T173703.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2229GVGUQ,GENERAL TONY,6664,0,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Sparky,6,6,Mega Minion,12,12,Dark Prince,9,9,Electro Wizard,6,6,Mini P.E.K.K.A,12,12,Zap,14,14,Rage,7,9,#822RQGYP,ZP I RAPHA 974✅,,0,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,#Y0UL9YCJ,Javier,5483,3,#9L82CJUV,Citizen⚡Legends,16000029,Magic Archer,6,6,Night Witch,6,6,Baby Dragon,9,9,Dart Goblin,12,12,Golem,9,9,Valkyrie,12,12,Arrows,14,14,Lightning,9,9,#8RRG0PGY2,Nick,,3,#YJGVLJ,Taipei Awesome,16000024,Tesla,14,14,P.E.K.K.A,9,9,Fireball,11,12,Zap,14,14,Firecracker,14,14,Hog Rider,12,12,The Log,5,6,Valkyrie,12,12
casual2v2,20220104T173458.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2229GVGUQ,GENERAL TONY,6664,1,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Sparky,6,6,Mega Minion,12,12,Dark Prince,9,9,Electro Wizard,6,6,Mini P.E.K.K.A,12,12,Zap,14,14,Rage,7,9,#822RQGYP,ZP I RAPHA 974✅,,1,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,#2820UUQ8,yooo3,5418,3,#Q8YY9Q00,Clash of Awesom,16000121,Knight,14,14,Ram Rider,6,6,Wizard,12,12,Mega Minion,12,12,Ice Spirit,13,14,Zap,13,14,Goblin Gang,14,14,Minions,14,14,#P200L009V,TCH_MANU,,3,#G0GQRJCL,Purple Drip,16000106,Valkyrie,12,12,Witch,9,9,Golem,9,9,Furnace,12,12,Fireball,12,12,Inferno Dragon,6,6,Arrows,13,14,Electro Dragon,9,9
casual2v2,20220104T172724.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#L8L9PU2LU,Agana_,5970,0,#LRQGRGUQ,zPunish eSports,16000014,Balloon,9,9,Barbarian Barrel,9,9,Bowler,9,9,Electro Dragon,9,9,Freeze,8,9,Inferno Dragon,6,6,Lumberjack,6,6,Tornado,9,9,#822RQGYP,ZP I RAPHA 974✅,,0,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Sparky,6,6,Elite Barbarians,14,14,Dark Prince,9,9,Mega Minion,12,12,Archer Queen,4,4,Zap,14,14,Rage,9,9,#2L0J0GPGG,Ryan34,5716,3,#V0VJY2G,México presente,16000024,Fire Spirit,14,14,Goblin Gang,14,14,The Log,6,6,Skeleton Army,9,9,Rocket,12,12,Battle Ram,12,12,Inferno Tower,11,12,Wizard,12,12,#8P0PUVY9,@ilterrorista,,3,#8RJG90C,"""SURVIVAL""",16000081,Fireball,12,12,Mega Knight,6,6,Bomber,14,14,Electro Wizard,6,6,Inferno Dragon,6,6,Dark Prince,9,9,Bats,14,14,Flying Machine,12,12
PvP,20220104T171851.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#822RQGYP,ZP I RAPHA 974✅,6903,1,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQVLGVG2,★ToXICalDeaTH★,6899,0,,,,Giant,12,12,Sparky,6,6,Mini P.E.K.K.A,12,12,Arrows,14,14,Archer Queen,4,4,Bats,14,14,Skeleton Army,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
