type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T184113.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#828JPJQU8,Takasugi,6770,1,#QC8GR09Q,we love c0c,16000098,Archers,14,14,Skeletons,14,14,Tesla,14,14,Fireball,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#222C2R2V,MARSHAL,6775,0,#8RU0JYQ8,ارتش امام زمان,16000101,Goblin Barrel,9,9,Princess,6,6,The Log,6,6,Skeleton Barrel,14,14,Dart Goblin,12,12,Knight,14,14,Skeleton Army,9,9,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T221938.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#828JPJQU8,Takasugi,6742,1,#QC8GR09Q,we love c0c,16000098,Archers,14,14,Skeletons,14,14,Tesla,14,14,Fireball,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q82UQYUJ,Parzival,6723,0,#8G829P8L,EeOneClan,16000024,Fireball,12,12,Inferno Dragon,6,6,Mega Knight,6,6,Zap,14,14,Freeze,9,9,Skeleton Army,9,9,Bats,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T213607.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#828JPJQU8,Takasugi,6716,1,#QC8GR09Q,we love c0c,16000098,Archers,14,14,Skeletons,14,14,Tesla,14,14,Fireball,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CCL0VU,alef ic⭐ER™,6680,0,#8VUVGPVC,vikings br,16000027,Golem,9,9,Archer Queen,4,4,Night Witch,6,6,Arrows,14,14,Mini P.E.K.K.A,12,12,Skeleton Army,9,9,Zap,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T213032.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#828JPJQU8,Takasugi,6687,1,#QC8GR09Q,we love c0c,16000098,Archers,14,14,Skeletons,14,14,Tesla,14,14,Fireball,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JRYLRV2,yonatan201,6682,0,#LVJ0URJJ,brobait ty,16000155,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Baby Dragon,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T212612.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#828JPJQU8,Takasugi,6658,1,#QC8GR09Q,we love c0c,16000098,Archers,14,14,Skeletons,14,14,Tesla,14,14,Fireball,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YYLV00LQ,Kenio❤Lava,6657,0,#YVR82802,pansito amasado,16000014,Guards,9,9,Skeleton Dragons,14,14,Tombstone,12,12,Lava Hound,6,6,Zap,14,14,Fireball,12,12,Mega Minion,12,12,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T212249.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#828JPJQU8,Takasugi,6632,1,#QC8GR09Q,we love c0c,16000098,Archers,14,14,Skeletons,14,14,Tesla,14,14,Fireball,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80VLULVC9,Herme5,6597,0,#YYPJVLLQ,BloodWest,16000168,Lumberjack,6,6,Inferno Dragon,6,6,Ram Rider,6,6,Magic Archer,6,6,Barbarian Barrel,9,9,Fireball,12,12,Bandit,6,6,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T211927.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#828JPJQU8,Takasugi,6660,0,#QC8GR09Q,we love c0c,16000098,Archers,14,14,Skeletons,14,14,Tesla,14,14,Fireball,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P2GQ8UC,Ghostpsycho,6674,1,#28C9P2V,The Lost Island,16000146,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,14,14,Skeletons,14,14,Tesla,14,14,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T211326.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#828JPJQU8,Takasugi,6690,0,#QC8GR09Q,we love c0c,16000098,Archers,14,14,Skeletons,14,14,Tesla,14,14,Fireball,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JGG2U2V,Officer Ramirez,6690,1,#QC8R0888,Fierce Force,16000002,Royal Giant,14,14,Skeleton King,4,4,Skeleton Army,9,9,Mother Witch,6,6,Fisherman,6,6,Fireball,12,12,Zappies,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T210731.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#828JPJQU8,Takasugi,6718,1,#QC8GR09Q,we love c0c,16000098,Archers,14,14,Skeletons,14,14,Tesla,14,14,Fireball,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80LR0RP2C,TTG༼ᎮͥᏒͣᎧͫ༽Tjez,6736,3,#P9L0CYY0,The Tilt Gods,16000162,Night Witch,6,6,Clone,9,9,Golem,9,9,Bats,14,14,Skeleton King,4,4,Flying Machine,12,12,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T210236.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#828JPJQU8,Takasugi,6690,1,#QC8GR09Q,we love c0c,16000098,Archers,14,14,Skeletons,14,14,Tesla,14,14,Fireball,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#920C9YCJ,abbas,6673,0,#9CCJ2R02,Nova I Aryayi,16000010,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Minions,14,14,Miner,6,6,Barbarians,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
