type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T062305.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8292G2Y08,Trainer Gian™,6829,1,,,,Golem,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Bomber,14,14,Fireball,12,12,Tornado,9,9,Zap,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2GV0Q9C,Dominican CR☠️,6839,0,#LQ82RJQ2,nerf al minero,16000108,Barbarian Barrel,9,9,Dark Prince,9,9,Royal Hogs,12,12,Bats,14,14,Mega Knight,6,6,Electro Spirit,14,14,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T015027.000Z,,54000017,Master III,72000007,Friendly,,collection,#8292G2Y08,Trainer Gian™,6829,0,#LQ89CVR2,Xtreme Academy,16000128,P.E.K.K.A,6,9,Tornado,6,9,Mega Minion,9,12,Miner,3,6,Freeze,6,9,Ice Wizard,3,6,Balloon,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99R2PPQ08,AP~Adrixx™,6453,1,#LQ89CVR2,Xtreme Academy,16000128,Inferno Dragon,3,6,Tornado,6,9,Electro Wizard,3,6,Graveyard,3,6,Bowler,6,9,Ice Wizard,3,6,Freeze,6,9,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T014546.000Z,,54000017,Master III,72000007,Friendly,,collection,#8292G2Y08,Trainer Gian™,6829,0,#LQ89CVR2,Xtreme Academy,16000128,Lava Hound,3,6,Poison,6,9,Miner,3,6,Tombstone,9,12,Night Witch,3,6,Baby Dragon,6,9,Barbarians,11,14,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99R2PPQ08,AP~Adrixx™,6453,2,#LQ89CVR2,Xtreme Academy,16000128,Balloon,6,9,Musketeer,9,12,Lumberjack,3,6,Giant Snowball,11,14,Bats,11,14,Barbarian Barrel,6,9,Ice Spirit,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T014208.000Z,,54000016,Master II,72000007,Friendly,,collection,#8292G2Y08,Trainer Gian™,6829,1,#LQ89CVR2,Xtreme Academy,16000128,P.E.K.K.A,6,9,Bandit,3,6,Fireball,9,12,Electro Wizard,3,6,Magic Archer,3,6,Battle Ram,9,12,Zap,11,14,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99R2PPQ08,AP~Adrixx™,6453,0,#LQ89CVR2,Xtreme Academy,16000128,Balloon,6,9,Tornado,6,9,Bowler,6,9,Barbarian Barrel,6,9,Electro Dragon,6,9,Inferno Dragon,3,6,Freeze,6,9,Lumberjack,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T224109.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8292G2Y08,Trainer Gian™,6798,2,#LPQJCPLQ,!MX eSports,16000077,Golem,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Bomber,14,14,Fireball,12,12,Tornado,9,9,Zap,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LJJLLYQ0,Deinobot,6821,1,#YGPLJVG,STRIJDVAARDIG,16000038,Knight,14,14,Dart Goblin,12,12,Goblin Barrel,9,9,Princess,6,6,Skeleton Army,9,9,The Log,6,6,Bandit,6,6,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T223640.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8292G2Y08,Trainer Gian™,6766,1,#LPQJCPLQ,!MX eSports,16000077,Golem,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Bomber,14,14,Fireball,12,12,Tornado,9,9,Zap,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PGU0R8JR,Ouahleouff❤️,6798,0,#LVQUJQG2,GOTAGANG,16000097,Mega Knight,6,6,Electro Wizard,6,6,Arrows,14,14,Inferno Dragon,6,6,The Log,6,6,Miner,6,6,Bandit,6,6,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T223038.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8292G2Y08,Trainer Gian™,6795,0,#LPQJCPLQ,!MX eSports,16000077,Golem,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Bomber,14,14,Fireball,12,12,Tornado,9,9,Zap,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92QJVRYP,KiKi,6805,1,#2GJLCVJQ,CRM eSports,16000050,Royal Hogs,12,12,Fisherman,6,6,The Log,6,6,Hunter,9,9,Fireball,12,12,Spear Goblins,14,14,Bats,14,14,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220103T220618.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8292G2Y08,Trainer Gian™,6795,0,#LPQJCPLQ,!MX eSports,16000077,Golem,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Bomber,14,14,Fireball,12,12,Tornado,9,9,Zap,14,14,Night Witch,6,6,#PLUJ2C2UJ,MX ❤️ Fran,,0,#LPQJCPLQ,!MX eSports,16000077,Hog Rider,12,12,Valkyrie,12,12,Firecracker,14,14,Tesla,14,14,The Log,5,6,Lightning,9,9,Skeletons,12,14,Ice Spirit,14,14,#R22UUCRQ0,julie,5198,3,#2GYU22U,Geriatric Kids,16000019,The Log,6,6,Electro Wizard,6,6,Guards,9,9,Arrows,14,14,Goblin Barrel,9,9,Magic Archer,6,6,Inferno Tower,11,12,Valkyrie,12,12,#2PVCV289J,Luiscorpion,,3,#L0JLP02C,argentina,16000043,Mirror,9,9,Mega Knight,6,6,Rocket,12,12,Freeze,9,9,Baby Dragon,9,9,Archer Queen,2,4,Valkyrie,12,12,Minion Horde,14,14
PvP,20220103T215823.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8292G2Y08,Trainer Gian™,6795,0,#QCCLPYPL,RebelsMercenari,16000012,Golem,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Bomber,14,14,Fireball,12,12,Tornado,9,9,Zap,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VU0JGVLP,Alex,6808,0,#YU0QCLVL,NOVA ÉLITE PE,16000040,Hog Rider,12,12,Cannon,14,14,Fire Spirit,14,14,The Log,6,6,Musketeer,12,12,Skeletons,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220103T202140.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#8292G2Y08,Trainer Gian™,6795,1,#QCCLPYPL,RebelsMercenari,16000012,Zap,11,14,Bandit,3,6,Archer Queen,1,4,Battle Ram,9,12,Electro Wizard,3,6,Royal Ghost,3,6,P.E.K.K.A,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90VRYGLQY,RS Adrián ✨,5851,0,#YCYG9QQV,俄Demon King’s俄,16000011,Dark Prince,6,9,Skeleton Army,6,9,Poison,6,9,Graveyard,3,6,Ice Spirit,11,14,Tesla,11,14,Royal Delivery,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
