type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T184034.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#82QGU80C,❤️SGY⚡️丨Tomer✨,6775,1,#LGUY0YGP,PooZmak™️,16000143,Sparky,6,6,Giant,12,12,Electro Wizard,6,6,Arrows,14,14,Graveyard,6,6,Skeleton Army,9,9,Dark Prince,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#202C2CU0U,⚡Manoel⚡,6789,0,#L0U88RPP,AdultosdoROCK,16000010,Giant,12,12,Bowler,9,9,Night Witch,6,6,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T110519.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#82QGU80C,❤️SGY⚡️丨Tomer✨,6775,1,#LGUY0YGP,PooZmak™️,16000143,Golem,8,9,Dark Prince,9,9,Baby Dragon,8,9,Tornado,8,9,Lightning,8,9,Night Witch,5,6,Mega Minion,12,12,Barbarian Barrel,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P28QJP2UJ,Trymacs,6380,0,#LVRG0Q88,Outer Rim 74,16000141,Electro Giant,9,9,Archer Queen,2,4,Baby Dragon,9,9,Lightning,9,9,Barbarian Barrel,9,9,Tornado,9,9,Goblin Cage,12,12,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T102751.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,2,eventDeck,#82QGU80C,❤️SGY⚡️丨Tomer✨,6775,0,#LGUY0YGP,PooZmak™️,16000143,Ram Rider,3,6,Bomber,11,14,Electro Wizard,3,6,Zap,11,14,Prince,6,9,Night Witch,3,6,Archer Queen,1,4,Rage,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G0RJCV,Essie black,5375,1,#G8VQVQ98,ChilimZzz,16000091,Ram Rider,3,6,Bomb Tower,9,12,Archer Queen,1,4,Mega Knight,3,6,Giant Snowball,11,14,The Log,3,6,Knight,11,14,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220103T223555.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#82QGU80C,❤️SGY⚡️丨Tomer✨,6775,4,#LGUY0YGP,PooZmak™️,16000143,Elixir Golem,11,12,Battle Healer,11,12,Rage,8,9,Inferno Dragon,5,6,Elite Barbarians,13,14,Electro Dragon,8,9,Giant Snowball,14,14,Heal Spirit,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V0V8002R,kurogami,5843,1,#LG2JVLCC,uchiha clan,16000000,Goblin Barrel,8,9,Skeleton Dragons,13,14,Inferno Tower,11,12,Ice Spirit,13,14,Knight,13,14,The Log,4,6,Ram Rider,6,6,Firecracker,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T210440.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#82QGU80C,❤️SGY⚡️丨Tomer✨,6748,3,#LGUY0YGP,PooZmak™️,16000143,Sparky,6,6,Giant,12,12,Electro Wizard,6,6,Arrows,14,14,Graveyard,6,6,Skeleton Army,9,9,Dark Prince,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LJCC2VRQ,ghepardino,6714,2,#9QY9JG09,QLASH Sentry,16000020,Elixir Golem,12,12,Electro Dragon,9,9,Inferno Dragon,6,6,Battle Healer,12,12,Elite Barbarians,14,14,Arrows,14,14,Zap,14,14,Rage,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T205817.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#82QGU80C,❤️SGY⚡️丨Tomer✨,6715,2,#LGUY0YGP,PooZmak™️,16000143,Sparky,6,6,Giant,12,12,Electro Wizard,6,6,Arrows,14,14,Graveyard,6,6,Skeleton Army,9,9,Dark Prince,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LGPV8VR8,me Noob,6754,1,#G8V9UQ8Y,Mighty Clashers,16000013,Electro Giant,9,9,Inferno Dragon,6,6,Tornado,9,9,Lightning,9,9,Mirror,9,9,Dark Prince,9,9,Goblin Cage,12,12,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T180830.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,1,eventDeck,#82QGU80C,❤️SGY⚡️丨Tomer✨,6715,2,#LGUY0YGP,PooZmak™️,16000143,Ram Rider,3,6,Furnace,9,12,Prince,6,9,Battle Healer,9,12,Skeletons,11,14,Minions,11,14,Lumberjack,3,6,Goblin Drill,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QCGLY2G,Artpregon,5335,1,#9GCPRVQL,Dirty Tacos,16000142,Ram Rider,3,6,Golden Knight,1,4,P.E.K.K.A,6,9,Lightning,6,9,Royal Ghost,3,6,Electro Spirit,11,14,Electro Wizard,3,6,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220103T175252.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#82QGU80C,❤️SGY⚡️丨Tomer✨,6715,3,#LGUY0YGP,PooZmak™️,16000143,Ram Rider,3,6,Furnace,9,12,Prince,6,9,Battle Healer,9,12,Skeletons,11,14,Minions,11,14,Lumberjack,3,6,Goblin Drill,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#808VGQQ2,Genoa.,5197,0,#LCLR00R,Poniente Vnzla,16000168,Ram Rider,3,6,Mega Knight,3,6,Battle Healer,9,12,Magic Archer,3,6,Graveyard,3,6,Dart Goblin,9,12,Baby Dragon,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T164948.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#82QGU80C,❤️SGY⚡️丨Tomer✨,6686,2,#LGUY0YGP,PooZmak™️,16000143,Sparky,6,6,Giant,12,12,Electro Wizard,6,6,Arrows,14,14,Graveyard,6,6,Skeleton Army,9,9,Dark Prince,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRYLGLRQU,LWJ,6684,1,#LQQCR29U,Estella,16000040,Zap,14,14,Fireball,12,12,Minions,14,14,Battle Ram,12,12,Royal Ghost,6,6,Bandit,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220103T134522.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#GYU0LRCQC,TRIGONOMETRY∆™,5678,0,#LGUY0YGP,PooZmak™️,16000143,Hog Rider,12,12,Zap,13,14,Arrows,14,14,Dark Prince,9,9,P.E.K.K.A,9,9,Tesla,14,14,Wizard,12,12,Goblin Barrel,9,9,#82QGU80C,❤️SGY⚡️丨Tomer✨,,0,#LGUY0YGP,PooZmak™️,16000143,Sparky,6,6,Giant,12,12,Electro Wizard,6,6,Arrows,14,14,Graveyard,6,6,Skeleton Army,9,9,Dark Prince,9,9,Giant Snowball,14,14,#VP002R8,MUHAMMAD,5469,3,#PLPRQ2,Petros,16000143,Fireball,12,12,Goblin Hut,12,12,Minions,14,14,Mega Knight,6,6,Barbarians,14,14,Witch,9,9,Graveyard,5,6,Arrows,14,14,#Q2UL9JUQ,チャンけい雑魚すぎワロタw,,3,#YQ2YQVUY,Only smile,16000108,Tesla,14,14,Firecracker,14,14,Earthquake,12,12,Tornado,9,9,Knight,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Hog Rider,12,12
