type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T091806.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#88JY0VGU,Unstoppable,6730,0,#Y880VCRR,Unstopaclan,16000008,P.E.K.K.A,6,9,Golden Knight,1,4,Fireball,9,12,Barbarian Barrel,6,9,Ram Rider,3,6,Bandit,3,6,Mother Witch,3,6,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RVV9QP98Q,DAVID *-*,4540,1,#Q2Y9C28U,Narcos_503,16000144,P.E.K.K.A,6,9,Lightning,6,9,Royal Ghost,3,6,Electro Wizard,3,6,Ram Rider,3,6,Baby Dragon,6,9,Golden Knight,1,4,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T090800.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#88JY0VGU,Unstoppable,6730,0,#Y880VCRR,Unstopaclan,16000008,Zappies,9,12,Skeleton King,1,4,Royal Giant,11,14,Fireball,9,12,The Log,3,6,Fisherman,3,6,Skeleton Army,6,9,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GG2LCV9,Lauzenn,5436,1,,,,Mega Knight,3,6,Fireball,9,12,Bandit,3,6,Royal Ghost,3,6,Ram Rider,3,6,Minions,11,14,The Log,3,6,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T085536.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#88JY0VGU,Unstoppable,6730,0,#Y880VCRR,Unstopaclan,16000008,Zappies,9,12,Skeleton King,1,4,Royal Giant,11,14,Fireball,9,12,The Log,3,6,Fisherman,3,6,Skeleton Army,6,9,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VL9GPCUL,可乐加冰,6032,1,#9LRYRQ20,战斗部落,16000145,Golden Knight,1,4,Electro Wizard,3,6,Mother Witch,3,6,Dark Prince,6,9,P.E.K.K.A,6,9,Poison,6,9,Barbarian Barrel,6,9,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T085209.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#88JY0VGU,Unstoppable,6730,1,#Y880VCRR,Unstopaclan,16000008,Zappies,9,12,Skeleton King,1,4,Royal Giant,11,14,Fireball,9,12,The Log,3,6,Fisherman,3,6,Skeleton Army,6,9,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LU08GR2,馬祖伊株式會社™,5239,0,#9CQP28Y2,#CR For Fun眼天下,16000032,Lightning,6,9,Giant Snowball,11,14,Electro Spirit,11,14,Archer Queen,1,4,Mega Knight,3,6,Bandit,3,6,Ram Rider,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T084853.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#88JY0VGU,Unstoppable,6730,1,#Y880VCRR,Unstopaclan,16000008,Zappies,9,12,Skeleton King,1,4,Royal Giant,11,14,Fireball,9,12,The Log,3,6,Fisherman,3,6,Skeleton Army,6,9,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUYQJR89G,The Investor,5818,0,#2UJRLU2,Hà Nội,16000039,Knight,11,14,Baby Dragon,6,9,Archer Queen,1,4,Poison,6,9,Graveyard,3,6,Goblin Cage,9,12,Spear Goblins,11,14,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T084538.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#88JY0VGU,Unstoppable,6730,2,#Y880VCRR,Unstopaclan,16000008,Zappies,9,12,Skeleton King,1,4,Royal Giant,11,14,Fireball,9,12,The Log,3,6,Fisherman,3,6,Skeleton Army,6,9,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PC0VJGPG,マイケル,5731,1,#Y8RC0C2Q,ツタージャ,16000054,Skeleton King,1,4,Skeleton Army,6,9,Baby Dragon,6,9,Royal Giant,11,14,Barbarians,11,14,Skeleton Barrel,11,14,Electro Wizard,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T084223.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#88JY0VGU,Unstoppable,6730,1,#Y880VCRR,Unstopaclan,16000008,Zappies,9,12,Skeleton King,1,4,Royal Giant,11,14,Fireball,9,12,The Log,3,6,Fisherman,3,6,Skeleton Army,6,9,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P2JR898GL,minerʕ•̫͡•ʕ,5206,0,,,,Ice Golem,9,12,Mini P.E.K.K.A,9,12,Magic Archer,3,6,Giant Snowball,11,14,Bats,11,14,Ice Spirit,11,14,Wall Breakers,6,9,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T210502.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#88JY0VGU,Unstoppable,6699,2,#Y880VCRR,Unstopaclan,16000008,Electro Giant,9,9,Earthquake,12,12,Archer Queen,4,4,Tornado,9,9,Firecracker,14,14,Skeletons,14,14,Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJJP8GC,RED⭐Di Lucca™,6713,1,#P02RPQLU,Red Bull Brasil,16000044,Skeleton King,4,4,Dark Prince,9,9,Musketeer,12,12,Bats,14,14,Graveyard,6,6,Skeleton Army,9,9,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T205655.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#88JY0VGU,Unstoppable,6662,1,#Y880VCRR,Unstopaclan,16000008,Electro Giant,9,9,Earthquake,12,12,Archer Queen,4,4,Tornado,9,9,Firecracker,14,14,Skeletons,14,14,Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JQUGGRVR,ᴬᵉᵗʰʳᶦˡ❤️傾ける™ッ✨,6749,0,#2L0909VP,Systematic,16000030,Mega Knight,6,6,Inferno Dragon,6,6,Royal Ghost,6,6,Ram Rider,6,6,Electro Wizard,6,6,Bandit,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T205242.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#88JY0VGU,Unstoppable,6632,2,#Y880VCRR,Unstopaclan,16000008,Electro Giant,9,9,Earthquake,12,12,Archer Queen,4,4,Tornado,9,9,Firecracker,14,14,Skeletons,14,14,Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LU2GQJ,Chhhuu,6635,1,#QJ29QJGY,Legends Gang™,16000098,Skeleton Army,9,9,Bats,14,14,Goblin Cage,12,12,Flying Machine,12,12,Fireball,12,12,Lava Hound,6,6,Clone,9,9,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
