type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T191135.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#88UGJYRL,꧁༼°•.『Ｒ』.•°༽꧂,6725,3,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Balloon,9,9,Lightning,9,9,Arrows,14,14,Guards,9,9,Valkyrie,12,12,Minions,14,14,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P2L0JLP8Y,Mrvip,5343,1,#2VY2VR2,The best team,16000028,Rocket,12,12,Poison,9,9,Goblin Gang,13,14,Inferno Tower,11,12,Prince,9,9,Wizard,12,12,Valkyrie,11,12,Goblin Barrel,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T184159.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#88UGJYRL,꧁༼°•.『Ｒ』.•°༽꧂,6725,2,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Balloon,9,9,Lightning,9,9,Arrows,14,14,Guards,9,9,Valkyrie,12,12,Minions,14,14,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#809J00C9Q,knight,6094,0,#2LJJ80PU,AD_Knight,16000028,P.E.K.K.A,9,9,Electro Wizard,6,6,Magic Archer,6,6,Poison,9,9,Battle Ram,12,12,Bandit,6,6,Zap,14,14,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T170229.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#88UGJYRL,꧁༼°•.『Ｒ』.•°༽꧂,6725,1,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Balloon,9,9,Lightning,9,9,Arrows,14,14,Guards,9,9,Valkyrie,12,12,Minions,14,14,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QYRL8J8,chancha,5261,0,#LYCVVLQ9,S.M.R Diabloo,16000172,Valkyrie,12,12,Hog Rider,12,12,Arrows,14,14,Musketeer,12,12,Tesla,14,14,Freeze,8,9,Firecracker,13,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161736.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#88UGJYRL,꧁༼°•.『Ｒ』.•°༽꧂,6695,1,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Balloon,9,9,Lightning,9,9,Arrows,14,14,Guards,9,9,Valkyrie,12,12,Minions,14,14,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G90LU02,Danger l F2P,6699,0,#22RYCRQ2,RoosterBlockers,16000095,Rocket,12,12,Skeletons,14,14,Inferno Tower,12,12,Goblin Drill,9,9,Electro Spirit,14,14,Princess,6,6,Valkyrie,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161347.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#88UGJYRL,꧁༼°•.『Ｒ』.•°༽꧂,6726,1,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Balloon,9,9,Lightning,9,9,Arrows,14,14,Guards,9,9,Valkyrie,12,12,Minions,14,14,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPG0U0909,★AB⚡ID★,6705,2,#QURULGCP,Jackpot squad™️,16000014,Bowler,9,9,Baby Dragon,9,9,Tornado,9,9,Graveyard,6,6,Inferno Dragon,6,6,Zappies,12,12,Valkyrie,12,12,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T160916.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#88UGJYRL,꧁༼°•.『Ｒ』.•°༽꧂,6726,3,#PPCLCJG9,AK Syndicate,16000044,Ram Rider,3,6,Mega Knight,3,6,Royal Ghost,3,6,Archer Queen,1,4,Electro Spirit,11,14,Giant Snowball,11,14,Bandit,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PQ2CULR,psherleth,5700,2,#Y9URYJRQ,Cheese Town,16000166,Ram Rider,3,6,Electro Wizard,3,6,Electro Giant,6,9,Firecracker,11,14,Zappies,9,12,Golden Knight,1,4,Mini P.E.K.K.A,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T160519.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#88UGJYRL,꧁༼°•.『Ｒ』.•°༽꧂,6726,2,#PPCLCJG9,AK Syndicate,16000044,Ram Rider,3,6,Mega Knight,3,6,Royal Ghost,3,6,Archer Queen,1,4,Electro Spirit,11,14,Giant Snowball,11,14,Bandit,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9V2JRCRP8,youssefyahia,5354,1,#PPUV90JC,citizens,16000163,Ram Rider,3,6,Archer Queen,1,4,Mega Knight,3,6,Witch,6,9,Wizard,9,12,Cannon,11,14,Goblin Cage,9,12,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T160151.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,5,eventDeck,#88UGJYRL,꧁༼°•.『Ｒ』.•°༽꧂,6726,1,#PPCLCJG9,AK Syndicate,16000044,Ram Rider,3,6,Mega Knight,3,6,Royal Ghost,3,6,Archer Queen,1,4,Electro Spirit,11,14,Giant Snowball,11,14,Bandit,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QC0YLU0J,chango man 2,5194,0,#YCQ2QRVL,caca de mono,16000028,Ram Rider,3,6,Guards,6,9,Valkyrie,9,12,Tesla,11,14,Zap,11,14,Firecracker,11,14,Fireball,9,12,Executioner,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T155817.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#88UGJYRL,꧁༼°•.『Ｒ』.•°༽꧂,6726,3,#PPCLCJG9,AK Syndicate,16000044,Ram Rider,3,6,Mega Knight,3,6,Royal Ghost,3,6,Archer Queen,1,4,Electro Spirit,11,14,Giant Snowball,11,14,Bandit,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PPR8JY28,°Nayely°,5389,0,#QCUPGVGU,Scary Monsters,16000134,Ram Rider,3,6,Electro Wizard,3,6,Zap,11,14,Fireball,9,12,Magic Archer,3,6,Royal Ghost,3,6,Bandit,3,6,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T154600.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#P2RUGP988,usecode haladis,5202,0,#8YY00GLV,B.O.M,16000010,Mega Knight,5,6,Skeleton Army,7,9,Furnace,10,12,Minion Horde,14,14,Rage,6,9,Electro Wizard,2,6,The Log,2,6,Elite Barbarians,13,14,#88UGJYRL,꧁༼°•.『Ｒ』.•°༽꧂,,0,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Balloon,9,9,Lightning,9,9,Arrows,14,14,Guards,9,9,Valkyrie,12,12,Minions,14,14,Tombstone,12,12,#800JPY2,Aleksis,5323,3,#LG82PUYC,Mätäpojat,16000095,Hog Rider,12,12,Witch,8,9,Rage,7,9,Tesla,13,14,The Log,6,6,Wizard,12,12,Zap,14,14,Elite Barbarians,14,14,#QR0QQ20,DEAN,,3,#QY08Y890,vikings,16000121,Firecracker,14,14,The Log,6,6,Hog Rider,12,12,Valkyrie,12,12,Skeletons,12,14,Tesla,14,14,Fire Spirit,13,14,Earthquake,11,12
