type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
riverRacePvP,20220104T184337.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#89J8QGPP,|⚡️Chamar⚡️™️,6867,2,#9JJRCUUY,PDF Origins,16000029,Goblin Barrel,9,9,Skeleton Barrel,14,14,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Inferno Tower,12,12,Knight,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2ULQ9JG2L,ortiz100,5499,0,#228JYRQP,Squad Xela,16000078,Royal Delivery,13,14,Executioner,8,9,Balloon,8,9,Giant Skeleton,8,9,Rocket,11,12,Tornado,9,9,Royal Recruits,13,14,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T183719.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#89J8QGPP,|⚡️Chamar⚡️™️,6867,2,#9JJRCUUY,PDF Origins,16000029,Ram Rider,3,6,Golden Knight,1,4,Royal Ghost,3,6,Electro Wizard,3,6,Inferno Dragon,3,6,Electro Spirit,11,14,Mega Knight,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PUGR0JY,Alfredo,5660,1,#Y0UYYJG9,FFL,16000167,Ram Rider,3,6,Magic Archer,3,6,Wall Breakers,6,9,Bomb Tower,9,12,Spear Goblins,11,14,The Log,3,6,Knight,11,14,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T183218.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#89J8QGPP,|⚡️Chamar⚡️™️,6867,3,#9JJRCUUY,PDF Origins,16000029,Ram Rider,3,6,Golden Knight,1,4,Royal Ghost,3,6,Electro Wizard,3,6,Inferno Dragon,3,6,Electro Spirit,11,14,Mega Knight,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CQVQG90C,xurupita,5633,0,#Y8G2JGU0,Akatsuki,16000125,Ram Rider,3,6,Electro Spirit,11,14,Barbarian Barrel,6,9,Fisherman,3,6,Royal Recruits,11,14,Inferno Dragon,3,6,Fireball,9,12,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182851.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8QGPP,|⚡️Chamar⚡️™️,6838,1,#9JJRCUUY,PDF Origins,16000029,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Inferno Tower,12,12,Princess,6,6,The Log,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQ0RU8P,Brian.❤️,6834,0,#YQUVR29U,Vatra Gaming,16000032,Magic Archer,6,6,P.E.K.K.A,9,9,Ram Rider,6,6,Fireball,12,12,Dark Prince,9,9,Zap,14,14,Electro Wizard,6,6,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173425.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8QGPP,|⚡️Chamar⚡️™️,6808,1,#9JJRCUUY,PDF Origins,16000029,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Inferno Tower,12,12,Princess,6,6,The Log,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LRJ20L2,とめいと,6811,0,#29CPJ8Y0,花言葉～Momo～,16000132,Fire Spirit,14,14,Bats,14,14,Ice Golem,12,12,Hog Rider,12,12,Rocket,12,12,The Log,6,6,Mini P.E.K.K.A,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T160731.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,5,eventDeck,#89J8QGPP,|⚡️Chamar⚡️™️,6808,2,#9JJRCUUY,PDF Origins,16000029,Ram Rider,3,6,Golden Knight,1,4,Royal Ghost,3,6,Electro Wizard,3,6,Inferno Dragon,3,6,Electro Spirit,11,14,Mega Knight,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GQJRLPU,cris46bro,5435,0,#GY0JC0R,All Out Anarchy,16000153,Ram Rider,3,6,Valkyrie,9,12,Archer Queen,1,4,Rocket,9,12,Bats,11,14,Princess,3,6,Ice Wizard,3,6,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160134.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8QGPP,|⚡️Chamar⚡️™️,6782,1,#9JJRCUUY,PDF Origins,16000029,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Inferno Tower,12,12,Princess,6,6,The Log,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q8Q2U9V,pietro,6744,0,#22Q9VL,LEGIONE RIBELLE,16000081,Giant,12,12,Graveyard,6,6,Dark Prince,9,9,Inferno Dragon,6,6,Fireball,12,12,Skeleton Army,9,9,Witch,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155735.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8QGPP,|⚡️Chamar⚡️™️,6756,3,#9JJRCUUY,PDF Origins,16000029,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Inferno Tower,12,12,Princess,6,6,The Log,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20LU2C02C,전기자전거타는엄복동,6711,0,#G9PR2PJC,문과지망생,16000134,Balloon,9,9,Bats,14,14,Lightning,9,9,Tombstone,12,12,Lava Hound,6,6,Inferno Dragon,6,6,Arrows,14,14,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155357.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8QGPP,|⚡️Chamar⚡️™️,6723,1,#9JJRCUUY,PDF Origins,16000029,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Inferno Tower,12,12,Princess,6,6,The Log,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPJ0Q2RQ,MONYK,6760,0,#9RQYJGUY,Furia Nocturna,16000044,Barbarian Barrel,9,9,Mega Minion,12,12,Electro Spirit,14,14,Mother Witch,6,6,Lightning,9,9,Goblin Cage,12,12,Fisherman,6,6,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154808.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8QGPP,|⚡️Chamar⚡️™️,6754,0,#9JJRCUUY,PDF Origins,16000029,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Inferno Tower,12,12,Princess,6,6,The Log,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QPJYYLLQ,⚡Kevin C⚡,6741,1,#PJPCC0C9,Electric,16000010,Baby Dragon,9,9,Electro Giant,9,9,Tornado,9,9,Goblin Cage,12,12,Barbarian Barrel,9,9,Bowler,9,9,Mega Minion,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154422.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8QGPP,|⚡️Chamar⚡️™️,6781,0,#9JJRCUUY,PDF Origins,16000029,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Inferno Tower,12,12,Princess,6,6,The Log,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22UCVJCC9,Suriel,6810,1,#9PV2VGVY,Robert's Army™,16000029,Electro Spirit,14,14,Flying Machine,12,12,Fireball,12,12,Royal Recruits,14,14,Zappies,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
