type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T150105.000Z,,54000017,Master III,72000007,Friendly,,collection,#89J8ULJU8,Røzë❤️Xtm✨ッ,6863,0,#2PQGVRU9,襲撃のダイナマイト,16000176,Archer Queen,1,4,Bandit,3,6,Guards,6,9,Barbarian Barrel,6,9,Fireball,9,12,Lumberjack,3,6,Ram Rider,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8G9PRQL9,ポケット,6875,1,#9UVURR8L,ホグライダーの小屋,16000165,Electro Giant,6,9,Golden Knight,1,4,Tornado,6,9,Baby Dragon,6,9,Bomber,11,14,Barbarian Barrel,6,9,Goblin Cage,9,12,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132927.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8ULJU8,Røzë❤️Xtm✨ッ,6838,1,#2PQGVRU9,襲撃のダイナマイト,16000176,Barbarian Barrel,9,9,Royal Ghost,6,6,Golden Knight,4,4,Heal Spirit,12,12,Elite Barbarians,14,14,Elixir Collector,12,12,Bandit,6,6,Three Musketeers,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QUP0UPGR,❤️愛LOVE❤️,6788,0,#P2L8GVVU,Aim Higher,16000089,Electro Giant,9,9,Archer Queen,4,4,Dark Prince,9,9,Baby Dragon,9,9,Goblin Cage,12,12,Barbarian Barrel,9,9,Tornado,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132536.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8ULJU8,Røzë❤️Xtm✨ッ,6814,1,#2PQGVRU9,襲撃のダイナマイト,16000176,Barbarian Barrel,9,9,Royal Ghost,6,6,Golden Knight,4,4,Heal Spirit,12,12,Elite Barbarians,14,14,Elixir Collector,12,12,Bandit,6,6,Three Musketeers,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80U9JR92Q,Горилла,6750,0,#LUVV2G9P,MEGA CLASH RUS,16000012,Electro Giant,9,9,Tornado,9,9,Witch,9,9,Fisherman,6,6,Skeleton King,4,4,Mega Minion,12,12,Lightning,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T131325.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8ULJU8,Røzë❤️Xtm✨ッ,6779,2,#2PQGVRU9,襲撃のダイナマイト,16000176,Barbarian Barrel,9,9,Royal Ghost,6,6,Golden Knight,4,4,Heal Spirit,12,12,Elite Barbarians,14,14,Elixir Collector,12,12,Bandit,6,6,Three Musketeers,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJ2G2R0,Deathstrøke,6839,1,#L8U8GLJJ,Solide™️,16000012,Golem,9,9,Night Witch,6,6,Bomber,14,14,Mega Minion,12,12,Baby Dragon,9,9,Zap,14,14,Tornado,8,9,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T130900.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8ULJU8,Røzë❤️Xtm✨ッ,6745,1,#2PQGVRU9,襲撃のダイナマイト,16000176,Barbarian Barrel,9,9,Royal Ghost,6,6,Golden Knight,4,4,Heal Spirit,12,12,Elite Barbarians,14,14,Elixir Collector,12,12,Bandit,6,6,Three Musketeers,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U00GYJP,NZT LEMON,6794,0,#PYG0JVVJ,canarios arkano,16000172,Fireball,12,12,Royal Ghost,6,6,Inferno Dragon,6,6,Barbarian Barrel,9,9,Bandit,6,6,Lumberjack,6,6,Archer Queen,4,4,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T125834.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8ULJU8,Røzë❤️Xtm✨ッ,6777,0,#2PQGVRU9,襲撃のダイナマイト,16000176,Barbarian Barrel,9,9,Royal Ghost,6,6,Golden Knight,4,4,Heal Spirit,12,12,Elite Barbarians,14,14,Elixir Collector,12,12,Bandit,6,6,Three Musketeers,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JGGR80U,NutVan,6752,1,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Fireball,12,12,Minion Horde,14,14,Cannon Cart,9,9,Mortar,14,14,Guards,9,9,Spear Goblins,14,14,The Log,6,6,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T125452.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8ULJU8,Røzë❤️Xtm✨ッ,6801,0,#2PQGVRU9,襲撃のダイナマイト,16000176,Barbarian Barrel,9,9,Royal Ghost,6,6,Golden Knight,4,4,Heal Spirit,12,12,Elite Barbarians,14,14,Elixir Collector,12,12,Bandit,6,6,Three Musketeers,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UL0JU92V,Bat Ivko,6864,1,#LLQYYRCY,InTheStorm,16000020,Zap,14,14,Bandit,6,6,Archer Queen,4,4,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T125047.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8ULJU8,Røzë❤️Xtm✨ッ,6766,3,#2PQGVRU9,襲撃のダイナマイト,16000176,Barbarian Barrel,9,9,Royal Ghost,6,6,Golden Knight,4,4,Heal Spirit,12,12,Elite Barbarians,14,14,Elixir Collector,12,12,Bandit,6,6,Three Musketeers,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PVV28U8,Trainer跟Vigo跟,6829,1,#U92J2C,German Misders,16000044,Elixir Golem,12,12,Inferno Dragon,6,6,Arrows,14,14,Elite Barbarians,14,14,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T124726.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8ULJU8,Røzë❤️Xtm✨ッ,6796,0,#2PQGVRU9,襲撃のダイナマイト,16000176,Barbarian Barrel,9,9,Royal Ghost,6,6,Golden Knight,4,4,Heal Spirit,12,12,Elite Barbarians,14,14,Elixir Collector,12,12,Bandit,6,6,Three Musketeers,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LG0Y0UCC,FDP⚡Forme,6785,1,#LY2LGR29,QLASH Reality,16000007,Giant,12,12,Mega Minion,12,12,Prince,9,9,Dark Prince,9,9,Golden Knight,4,4,Fireball,12,12,Zap,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T124304.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#89J8ULJU8,Røzë❤️Xtm✨ッ,6827,0,#2PQGVRU9,襲撃のダイナマイト,16000176,Barbarian Barrel,9,9,Royal Ghost,6,6,Golden Knight,4,4,Heal Spirit,12,12,Elite Barbarians,14,14,Elixir Collector,12,12,Bandit,6,6,Three Musketeers,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLJQJLPRJ,CMG guap,6808,1,#LP20U82L,Bellatrix,16000110,Knight,14,14,Spear Goblins,14,14,Miner,6,6,Bomb Tower,12,12,Fireball,12,12,Bats,14,14,The Log,6,6,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
