type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T134424.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,11,eventDeck,#89RC0PVL,stylish I noob,6746,3,#PV0VCU0U,Nova I Dragon,16000044,Skeletons,11,14,Electro Giant,6,9,Tombstone,9,12,Earthquake,9,12,Tornado,6,9,Archer Queen,1,4,Prince,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RJR2JJG80,<c8>Лукавство,5664,0,#Q8URC099,✨The Nostromo✨,16000166,Furnace,9,12,Bowler,6,9,Goblin Barrel,6,9,Mirror,6,9,Minion Horde,11,14,Fireball,9,12,Rascals,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T134120.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,10,eventDeck,#89RC0PVL,stylish I noob,6746,3,#PV0VCU0U,Nova I Dragon,16000044,Skeletons,11,14,Electro Giant,6,9,Tombstone,9,12,Earthquake,9,12,Tornado,6,9,Archer Queen,1,4,Prince,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJGR2V8Q8,hello,5605,0,#RQVLVC,Vladivostok,16000072,Dark Prince,6,9,Arrows,11,14,Witch,6,9,Inferno Dragon,3,6,Fireball,9,12,Giant,9,12,Skeleton Army,6,9,Graveyard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T133848.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,9,eventDeck,#89RC0PVL,stylish I noob,6746,1,#PV0VCU0U,Nova I Dragon,16000044,Skeletons,11,14,Electro Giant,6,9,Tombstone,9,12,Earthquake,9,12,Tornado,6,9,Archer Queen,1,4,Prince,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RUJYQPLPV,Luffy,5116,0,#P9U8LGLR,Juppon-Gatana,16000002,Ice Spirit,11,14,Skeletons,11,14,Cannon,11,14,Musketeer,9,12,Ice Golem,9,12,Fireball,9,12,Hog Rider,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T133423.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#89RC0PVL,stylish I noob,6746,1,#PV0VCU0U,Nova I Dragon,16000044,Skeletons,11,14,Electro Giant,6,9,Tombstone,9,12,Earthquake,9,12,Tornado,6,9,Archer Queen,1,4,Prince,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JPP8UUCRU,Qa,4657,0,#LLQLVCY2,❤️,16000111,Valkyrie,9,12,The Log,3,6,Earthquake,9,12,Skeletons,11,14,Bomb Tower,9,12,Hog Rider,9,12,Firecracker,11,14,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T133019.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#89RC0PVL,stylish I noob,6746,1,#PV0VCU0U,Nova I Dragon,16000044,Skeletons,11,14,Electro Giant,6,9,Tombstone,9,12,Earthquake,9,12,Tornado,6,9,Archer Queen,1,4,Prince,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GRQ0C9RC,★出来吧～皮卡丘★,6013,0,#YU0UR0GG,⚡️,16000008,Golem,6,9,Clone,6,9,Bomber,11,14,Night Witch,3,6,Bats,11,14,Tornado,6,9,Lumberjack,3,6,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T132710.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#89RC0PVL,stylish I noob,6746,0,#PV0VCU0U,Nova I Dragon,16000044,Skeletons,11,14,Electro Giant,6,9,Tombstone,9,12,Earthquake,9,12,Tornado,6,9,Archer Queen,1,4,Prince,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QR220LVQ,Mark.S,5492,1,,,,Archer Queen,1,4,The Log,3,6,Earthquake,9,12,Royal Hogs,9,12,Royal Delivery,11,14,Goblin Cage,9,12,Fire Spirit,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T132343.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#89RC0PVL,stylish I noob,6746,1,#PV0VCU0U,Nova I Dragon,16000044,Skeletons,11,14,Electro Giant,6,9,Tombstone,9,12,Earthquake,9,12,Tornado,6,9,Archer Queen,1,4,Prince,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RVV990YUG,Pet pet,5303,0,#LU2U9PL9,Attakai,16000173,Bowler,6,9,Flying Machine,9,12,Skeleton Army,6,9,Arrows,11,14,Mega Knight,3,6,Valkyrie,9,12,Skeleton Barrel,11,14,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T131917.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,5,eventDeck,#89RC0PVL,stylish I noob,6746,3,#PV0VCU0U,Nova I Dragon,16000044,Skeletons,11,14,Electro Giant,6,9,Tombstone,9,12,Earthquake,9,12,Tornado,6,9,Archer Queen,1,4,Prince,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8099Q9V92,〽️ynor Guti⚜️,5961,0,#LVCLGRPL,Zero Cr,16000029,Electro Giant,6,9,Archer Queen,1,4,Prince,6,9,Tornado,6,9,Earthquake,9,12,Tombstone,9,12,Skeletons,11,14,Bomber,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T131617.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#89RC0PVL,stylish I noob,6746,1,#PV0VCU0U,Nova I Dragon,16000044,Skeletons,11,14,Electro Giant,6,9,Tombstone,9,12,Earthquake,9,12,Tornado,6,9,Archer Queen,1,4,Prince,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LG08PP2R,Peter,5258,0,#QJ8JQL92,no clan,16000096,Electro Wizard,3,6,P.E.K.K.A,6,9,Ram Rider,3,6,Giant Snowball,11,14,Golden Knight,1,4,Royal Ghost,3,6,Barbarian Barrel,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T130856.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#89RC0PVL,stylish I noob,6746,1,#PV0VCU0U,Nova I Dragon,16000044,Skeletons,11,14,Electro Giant,6,9,Tombstone,9,12,Earthquake,9,12,Tornado,6,9,Archer Queen,1,4,Prince,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YPG2L0Y,ian,5639,0,#9P2UURQ8,Belgian Brawler,16000079,Graveyard,3,6,Archer Queen,1,4,Tombstone,9,12,Valkyrie,9,12,Poison,6,9,Tornado,6,9,Barbarian Barrel,6,9,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
