type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T031529.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8C8QLQC8V,☄️The Meteor☄️,6765,2,#PPLL00G0,Team Elite Perú,16000014,Inferno Dragon,6,6,Giant,12,12,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9L9Y9L,SAHITYA,6743,1,#9QJ82PPJ,hamro clan,16000044,Ice Spirit,14,14,Skeletons,14,14,The Log,6,6,Ice Golem,12,12,Cannon,14,14,Rocket,12,12,Hog Rider,12,12,Musketeer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T031121.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8C8QLQC8V,☄️The Meteor☄️,6735,1,#PPLL00G0,Team Elite Perú,16000014,Inferno Dragon,6,6,Giant,12,12,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PRLUV9C,cristian 1916,6735,0,#9G2PVP0R,Team Legacy,16000012,Lava Hound,6,6,Balloon,9,9,Minions,14,14,Mega Minion,12,12,Arrows,14,14,Lightning,9,9,Skeleton Army,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T030755.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8C8QLQC8V,☄️The Meteor☄️,6769,0,#PPLL00G0,Team Elite Perú,16000014,Inferno Dragon,6,6,Giant,12,12,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R9YP889J,CookieSaurio™️,6711,1,#LQ2C9Q9C,Live,16000045,Rocket,12,12,Rascals,14,14,Goblin Barrel,9,9,Dark Prince,9,9,Bandit,6,6,Princess,6,6,Cannon Cart,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T030215.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8C8QLQC8V,☄️The Meteor☄️,6790,0,#PPLL00G0,Team Elite Perú,16000014,Inferno Dragon,6,6,Giant,12,12,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YV89CU0PG,最強 ｜ Snipe,6887,1,#QC2UPGL0,Hopeless❤️,16000169,Baby Dragon,9,9,Ice Wizard,6,6,Inferno Dragon,6,6,Valkyrie,12,12,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T025753.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8C8QLQC8V,☄️The Meteor☄️,6759,2,#PPLL00G0,Team Elite Perú,16000014,Inferno Dragon,6,6,Giant,12,12,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQGPYUP8,NBA YoungBoy,6772,0,#QUYURLRP,Tw:@MagicmanCR,16000170,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Fireball,12,12,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T025415.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8C8QLQC8V,☄️The Meteor☄️,6790,1,#PPLL00G0,Team Elite Perú,16000014,Inferno Dragon,6,6,Giant,12,12,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C9VU22P0,¥XABLAU¥™,6769,2,#8QGPYC98,Infernal Kings,16000012,Giant,12,12,Mini P.E.K.K.A,12,12,Bats,14,14,Minion Horde,14,14,Sparky,6,6,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T024537.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8C8QLQC8V,☄️The Meteor☄️,6750,2,#PPLL00G0,Team Elite Perú,16000014,Inferno Dragon,6,6,Giant,12,12,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PV90PRLR,Max✨,6872,1,#L0YJ02YL,硬中华,16000014,Mega Knight,6,6,Giant Snowball,14,14,Archer Queen,4,4,Electro Spirit,14,14,Ram Rider,6,6,Bandit,6,6,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T024026.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8C8QLQC8V,☄️The Meteor☄️,6750,0,#PPLL00G0,Team Elite Perú,16000014,Inferno Dragon,6,6,Giant,12,12,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8C88LJG0,AL | Perfect ❤️,6787,0,,,,Lumberjack,6,6,Barbarian Barrel,9,9,Bowler,9,9,Balloon,9,9,Electro Dragon,9,9,Inferno Dragon,6,6,Freeze,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T023403.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8C8QLQC8V,☄️The Meteor☄️,6721,2,#PPLL00G0,Team Elite Perú,16000014,Inferno Dragon,6,6,Giant,12,12,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L29R29V8,A҉s҉o҉s҉1҉1҉❤️,6720,1,#LQGQUJRU,Friends❤️,16000168,Royal Hogs,12,12,Zappies,12,12,Flying Machine,12,12,Dark Prince,9,9,Royal Recruits,14,14,Electro Spirit,14,14,Goblin Cage,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T022839.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8C8QLQC8V,☄️The Meteor☄️,6746,0,#PPLL00G0,Team Elite Perú,16000014,Inferno Dragon,6,6,Giant,12,12,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L020JLR0,iPhone,6800,1,,,,P.E.K.K.A,9,9,Baby Dragon,9,9,Electro Wizard,6,6,Lumberjack,6,6,Barbarian Barrel,9,9,Freeze,9,9,Tornado,9,9,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
