type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T112507.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8CG8PQ9PU,BLUE゜,6713,1,#L8088LR2,Loving Day - 2部,16000108,Battle Ram,12,12,Magic Archer,6,6,P.E.K.K.A,9,9,Royal Ghost,6,6,Bandit,6,6,Electro Wizard,6,6,Prince,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0L92GLU2,カメさん,6716,0,#LP90G9Q2,Last Resort,16000097,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T112050.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8CG8PQ9PU,BLUE゜,6684,1,#L8088LR2,Loving Day - 2部,16000108,Battle Ram,12,12,Magic Archer,6,6,P.E.K.K.A,9,9,Royal Ghost,6,6,Bandit,6,6,Electro Wizard,6,6,Prince,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9R99CPCPL,Alex,6675,0,#U9G2VQY,50 Legends,16000172,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Lightning,9,9,Electro Spirit,14,14,Mega Knight,6,6,Giant Snowball,14,14,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T111737.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8CG8PQ9PU,BLUE゜,6717,1,#L8088LR2,Loving Day - 2部,16000108,Battle Ram,12,12,Magic Archer,6,6,P.E.K.K.A,9,9,Royal Ghost,6,6,Bandit,6,6,Electro Wizard,6,6,Prince,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCUJ2ULP,aboo,6682,2,#PPJPQLRP,Ir Wolves☆☆,16000107,Graveyard,6,6,Night Witch,6,6,Bowler,9,9,Giant,12,12,Skeleton Army,9,9,Arrows,14,14,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T101951.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#8CG8PQ9PU,BLUE゜,6717,1,#L8088LR2,Loving Day - 2部,16000108,Mirror,6,9,Wall Breakers,6,9,Ram Rider,3,6,Magic Archer,3,6,Knight,11,14,Miner,3,6,Guards,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CUQY9V0Y,稳帝,6417,0,#8J2Y9G8U,冰封王座,16000108,Mirror,6,9,Wall Breakers,6,9,Ram Rider,3,6,Magic Archer,3,6,Knight,11,14,Miner,3,6,Guards,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T094622.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#8CG8PQ9PU,BLUE゜,6717,2,#L8088LR2,Loving Day - 2部,16000108,Mirror,6,9,Skeleton Barrel,11,14,Royal Giant,11,14,Baby Dragon,6,9,Royal Ghost,3,6,Electro Wizard,3,6,Guards,6,9,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P88CG928,renze96,5722,1,#Q9VPQCG,#malvinassonarg,16000112,Mirror,6,9,Skeleton Barrel,11,14,Royal Giant,11,14,Baby Dragon,6,9,Royal Ghost,3,6,Electro Wizard,3,6,Guards,6,9,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T094242.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#8CG8PQ9PU,BLUE゜,6717,0,#L8088LR2,Loving Day - 2部,16000108,Mirror,6,9,Battle Ram,9,12,Royal Giant,11,14,Witch,6,9,Mega Knight,3,6,Miner,3,6,Skeleton Army,6,9,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PV8RCPJL,铭哥,5632,1,#PQQ0YGR0,安之若素,16000132,Mirror,6,9,Battle Ram,9,12,Royal Giant,11,14,Witch,6,9,Mega Knight,3,6,Miner,3,6,Skeleton Army,6,9,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T090351.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#8CG8PQ9PU,BLUE゜,6717,3,#L8088LR2,Loving Day - 2部,16000108,Mirror,6,9,Goblin Barrel,6,9,Lava Hound,3,6,Minion Horde,11,14,Knight,11,14,Royal Ghost,3,6,Heal Spirit,9,12,Royal Delivery,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQ288CV,Cup,5843,0,#8QJCP0,After Effect,16000106,Mirror,6,9,Goblin Barrel,6,9,Lava Hound,3,6,Minion Horde,11,14,Knight,11,14,Royal Ghost,3,6,Heal Spirit,9,12,Royal Delivery,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T081818.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#8CG8PQ9PU,BLUE゜,6717,1,#L8088LR2,Loving Day - 2部,16000108,Mirror,6,9,Miner,3,6,Royal Giant,11,14,Zappies,9,12,P.E.K.K.A,6,9,Royal Ghost,3,6,Heal Spirit,9,12,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J2QGGQ88,Kevin el pro,5970,0,#CQJ20R,Christ,16000023,Mirror,6,9,Miner,3,6,Royal Giant,11,14,Zappies,9,12,P.E.K.K.A,6,9,Royal Ghost,3,6,Heal Spirit,9,12,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T081501.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#8CG8PQ9PU,BLUE゜,6717,3,#L8088LR2,Loving Day - 2部,16000108,Mirror,6,9,Skeleton Barrel,11,14,Royal Giant,11,14,Mega Minion,9,12,Bandit,3,6,Lumberjack,3,6,Guards,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RQUQJPCJ,pibox,5888,1,#2LP8Q2VL,PH Infinite,16000000,Mirror,6,9,Skeleton Barrel,11,14,Royal Giant,11,14,Mega Minion,9,12,Bandit,3,6,Lumberjack,3,6,Guards,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T081241.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#8CG8PQ9PU,BLUE゜,6717,0,#L8088LR2,Loving Day - 2部,16000108,Mirror,6,9,Miner,3,6,Royal Giant,11,14,Firecracker,11,14,Knight,11,14,Magic Archer,3,6,Skeleton Army,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q0JR280R,随风尘灭,6456,2,#2JU0JUP0,月儿弯弯（浪漫国度）,16000168,Mirror,6,9,Miner,3,6,Royal Giant,11,14,Firecracker,11,14,Knight,11,14,Magic Archer,3,6,Skeleton Army,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
