type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T121918.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#8CVY2G8C8,我是杨卓,6802,1,#LGYPJ0PR,我是杨卓,16000019,Poison,6,9,Ice Wizard,3,6,Tornado,6,9,Tombstone,9,12,Baby Dragon,6,9,Valkyrie,9,12,Barbarian Barrel,6,9,Graveyard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CVR8PC0L,juangar,5679,2,#L2RPV0LR,Gelato Squad,16000083,Skeleton King,1,4,Royal Giant,11,14,Mother Witch,3,6,Fisherman,3,6,Zappies,9,12,Skeleton Army,6,9,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T121555.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#8CVY2G8C8,我是杨卓,6802,2,#LGYPJ0PR,我是杨卓,16000019,Poison,6,9,Ice Wizard,3,6,Tornado,6,9,Tombstone,9,12,Baby Dragon,6,9,Valkyrie,9,12,Barbarian Barrel,6,9,Graveyard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VCJQJGYU,Édy,5353,1,#ULQQ0QG,Wolfnest,16000171,Lava Hound,3,6,Tombstone,9,12,Balloon,6,9,Skeleton Dragons,11,14,Fireball,9,12,Mega Minion,9,12,Guards,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T121239.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#8CVY2G8C8,我是杨卓,6802,0,#LGYPJ0PR,我是杨卓,16000019,Ice Golem,9,12,Hog Rider,9,12,Musketeer,9,12,Fireball,9,12,Ice Spirit,11,14,Cannon,11,14,Skeletons,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RPJ9CCL2,⭐UNCHAINED⭐,5741,3,#L8U8GLJJ,Solide™️,16000012,Golem,6,9,Night Witch,3,6,Lumberjack,3,6,Tornado,6,9,Zap,11,14,Bomber,11,14,Baby Dragon,6,9,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T120956.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#8CVY2G8C8,我是杨卓,6802,2,#LGYPJ0PR,我是杨卓,16000019,Ice Golem,9,12,Hog Rider,9,12,Musketeer,9,12,Fireball,9,12,Ice Spirit,11,14,Cannon,11,14,Skeletons,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QYVLYCY29,chaoticpro67,3829,1,#QVG9UVCV,beetle juice69,16000120,Archer Queen,1,4,Goblin Barrel,6,9,Electro Wizard,3,6,Wizard,9,12,Rage,6,9,Lumberjack,3,6,Bandit,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T120643.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#8CVY2G8C8,我是杨卓,6802,1,#LGYPJ0PR,我是杨卓,16000019,Ice Golem,9,12,Hog Rider,9,12,Musketeer,9,12,Fireball,9,12,Ice Spirit,11,14,Cannon,11,14,Skeletons,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G9L0YVGR,Night Lovell,5651,0,,,,Golem,6,9,Night Witch,3,6,Baby Dragon,6,9,Goblin Cage,9,12,Skeleton Dragons,11,14,Lightning,6,9,Tornado,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T120054.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#8CVY2G8C8,我是杨卓,6802,0,#LGYPJ0PR,我是杨卓,16000019,Ice Golem,9,12,Hog Rider,9,12,Musketeer,9,12,Fireball,9,12,Ice Spirit,11,14,Cannon,11,14,Skeletons,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88RJJPC89,♡Matheus♡,5890,3,#PQ9RJJLU,Team Solid FX,16000169,Bowler,6,9,Goblin Cage,9,12,Witch,6,9,Graveyard,3,6,Giant Snowball,11,14,Arrows,11,14,Skeleton King,1,4,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T115757.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#8CVY2G8C8,我是杨卓,6802,1,#LGYPJ0PR,我是杨卓,16000019,Ice Golem,9,12,Hog Rider,9,12,Musketeer,9,12,Fireball,9,12,Ice Spirit,11,14,Cannon,11,14,Skeletons,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PGVY0JVC,joao e molotovi,5331,0,#Y8QY9UPG,Ativos2020,16000058,Lumberjack,3,6,Electro Dragon,6,9,Bowler,6,9,Inferno Dragon,3,6,Freeze,6,9,Balloon,6,9,Barbarian Barrel,6,9,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T115448.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#8CVY2G8C8,我是杨卓,6802,0,#LGYPJ0PR,我是杨卓,16000019,Ice Golem,9,12,Hog Rider,9,12,Musketeer,9,12,Fireball,9,12,Ice Spirit,11,14,Cannon,11,14,Skeletons,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JYPY0G98C,footballkingorz,3400,1,,,,Cannon Cart,6,9,Princess,3,6,Dark Prince,6,9,Bandit,3,6,Goblin Barrel,6,9,Rocket,9,12,The Log,3,6,Rascals,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T115110.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8CVY2G8C8,我是杨卓,6770,2,#LGYPJ0PR,我是杨卓,16000019,Balloon,9,9,Lava Hound,6,6,Inferno Dragon,6,6,Tombstone,12,12,Valkyrie,12,12,Zap,14,14,Fireball,12,12,Minions,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JUPYPPQU,LD — 皇族❤xy☃,6804,1,#PJU9G8RJ,Loving Day,16000108,Barbarian Barrel,9,9,Royal Ghost,6,6,Bandit,6,6,Electro Wizard,6,6,Magic Archer,6,6,Battle Ram,12,12,Elite Barbarians,14,14,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T112142.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#8CVY2G8C8,我是杨卓,6770,0,#LGYPJ0PR,我是杨卓,16000019,Poison,6,9,Ice Wizard,3,6,Tornado,6,9,Tombstone,9,12,Baby Dragon,6,9,Valkyrie,9,12,Barbarian Barrel,6,9,Graveyard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QC9Q08YLG,Yui☺︎,5430,3,#Y8GPR0GL,ちゅる坊,16000153,Lava Hound,3,6,Lumberjack,3,6,Flying Machine,9,12,Baby Dragon,6,9,Skeleton Army,6,9,Bats,11,14,Clone,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
