type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T150637.000Z,,54000017,Master III,72000007,Friendly,,collection,#8G9PRQL9,ポケット,6875,0,#9UVURR8L,ホグライダーの小屋,16000165,Ram Rider,3,6,Inferno Dragon,3,6,Barbarian Barrel,6,9,Royal Ghost,3,6,Bandit,3,6,Lumberjack,3,6,Fireball,9,12,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LR98YC20,Häpÿ❤️Xtm✨ッ,6699,1,#QCCGJQY2,サンサン,16000174,Royal Delivery,11,14,Skeletons,11,14,Miner,3,6,Rocket,9,12,Dark Prince,6,9,Tesla,11,14,The Log,3,6,Spear Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T150105.000Z,,54000017,Master III,72000007,Friendly,,collection,#8G9PRQL9,ポケット,6875,1,#9UVURR8L,ホグライダーの小屋,16000165,Electro Giant,6,9,Golden Knight,1,4,Tornado,6,9,Baby Dragon,6,9,Bomber,11,14,Barbarian Barrel,6,9,Goblin Cage,9,12,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89J8ULJU8,Røzë❤️Xtm✨ッ,6863,0,#2PQGVRU9,襲撃のダイナマイト,16000176,Archer Queen,1,4,Bandit,3,6,Guards,6,9,Barbarian Barrel,6,9,Fireball,9,12,Lumberjack,3,6,Ram Rider,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143143.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8G9PRQL9,ポケット,6850,1,#9UVURR8L,ホグライダーの小屋,16000165,Elite Barbarians,14,14,Bandit,6,6,Barbarian Barrel,9,9,Golden Knight,4,4,Three Musketeers,12,12,Royal Ghost,6,6,Elixir Collector,11,12,Heal Spirit,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LGQVY0JC,Darr,6797,0,#2PCVURCU,잎새 5기,16000170,The Log,6,6,Rocket,12,12,Knight,14,14,Ice Wizard,6,6,Skeletons,13,14,Tornado,7,9,Mega Minion,12,12,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142537.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8G9PRQL9,ポケット,6820,1,#9UVURR8L,ホグライダーの小屋,16000165,Elite Barbarians,14,14,Bandit,6,6,Barbarian Barrel,9,9,Golden Knight,4,4,Three Musketeers,12,12,Royal Ghost,6,6,Elixir Collector,11,12,Heal Spirit,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LUQVCP9Y,can u stfu ?,6829,0,#8902RQR,Gold's GYM,16000024,Goblin Giant,9,9,Golden Knight,4,4,Dark Prince,9,9,Fireball,12,12,Inferno Dragon,6,6,Spear Goblins,14,14,Bats,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142141.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8G9PRQL9,ポケット,6847,0,#9UVURR8L,ホグライダーの小屋,16000165,Elite Barbarians,14,14,Bandit,6,6,Barbarian Barrel,9,9,Golden Knight,4,4,Three Musketeers,12,12,Royal Ghost,6,6,Elixir Collector,11,12,Heal Spirit,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VLQLYG8,Kralj,6876,1,#Q9VQ02YC,YT: Kralj CR,16000035,X-Bow,9,9,Valkyrie,12,12,Tesla,14,14,Fireball,12,12,Skeletons,14,14,Ice Wizard,6,6,Fire Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141534.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8G9PRQL9,ポケット,6817,1,#9UVURR8L,ホグライダーの小屋,16000165,Elite Barbarians,14,14,Bandit,6,6,Barbarian Barrel,9,9,Golden Knight,4,4,Three Musketeers,12,12,Royal Ghost,6,6,Elixir Collector,11,12,Heal Spirit,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#802R9YG8R,AIM,6822,0,#2PCR89UR,AEGIS9,16000019,Ice Golem,12,12,Royal Hogs,12,12,Three Musketeers,12,12,Bandit,6,6,Heal Spirit,12,12,Barbarian Barrel,9,9,Hunter,9,9,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135545.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8G9PRQL9,ポケット,6853,0,#9UVURR8L,ホグライダーの小屋,16000165,Elite Barbarians,14,14,Bandit,6,6,Barbarian Barrel,9,9,Golden Knight,4,4,Three Musketeers,12,12,Royal Ghost,6,6,Elixir Collector,11,12,Heal Spirit,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y08R8CR,THE PRINCE,6772,1,,,,Valkyrie,12,12,Musketeer,12,12,Tornado,9,9,The Log,6,6,Hog Rider,12,12,Elite Barbarians,14,14,Ice Spirit,14,14,Executioner,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134649.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8G9PRQL9,ポケット,6826,1,#9UVURR8L,ホグライダーの小屋,16000165,Elite Barbarians,14,14,Bandit,6,6,Barbarian Barrel,9,9,Golden Knight,4,4,Three Musketeers,12,12,Royal Ghost,6,6,Elixir Collector,11,12,Heal Spirit,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89LY9LU2Y,Matte™️,6798,0,#Y0QR0Y2U,NoA,16000009,Tornado,8,9,Lightning,9,9,Goblin Cage,12,12,Skeletons,14,14,Dark Prince,9,9,Electro Giant,9,9,Inferno Dragon,6,6,Bomber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134241.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8G9PRQL9,ポケット,6859,0,#9UVURR8L,ホグライダーの小屋,16000165,Elite Barbarians,14,14,Bandit,6,6,Barbarian Barrel,9,9,Golden Knight,4,4,Three Musketeers,12,12,Royal Ghost,6,6,Elixir Collector,11,12,Heal Spirit,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G0QUGLU,天GOD,6822,1,,,,Giant,12,12,Prince,9,9,Ice Spirit,14,14,Mega Minion,12,12,Archer Queen,4,4,Fireball,12,12,Zap,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T130735.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#8G9PRQL9,ポケット,6859,0,#9UVURR8L,ホグライダーの小屋,16000165,Giant Snowball,11,14,Lightning,6,9,Electro Spirit,11,14,Ram Rider,3,6,Bandit,3,6,Royal Ghost,3,6,Archer Queen,1,4,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GP2VV90,아론,6652,1,#LVR8JCPQ,YT Aaron cr,16000110,Fireball,9,12,Barbarian Barrel,6,9,Electro Spirit,11,14,Archer Queen,1,4,Mega Knight,3,6,Ram Rider,3,6,Royal Ghost,3,6,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
