type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T154936.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#8GJRYVP0U,Nova I Axel⭐,6735,3,#QG9QRRPU,The Dangers C.R,16000085,Tornado,8,9,Graveyard,3,6,Ice Wizard,4,6,Valkyrie,11,12,Skeletons,13,14,Tesla,13,14,Bowler,8,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LVULUGL9Q,המלך,5222,0,#QJQGYR2G,הבדרנים,16000017,Lumberjack,2,6,Bats,14,14,Bandit,2,6,Inferno Tower,8,12,Skeleton Army,5,9,Mega Knight,5,6,Balloon,8,9,Wizard,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151122.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GJRYVP0U,Nova I Axel⭐,6702,1,#QG9QRRPU,The Dangers C.R,16000085,Lava Hound,6,6,Baby Dragon,9,9,Fireball,12,12,Zap,14,14,Miner,6,6,Inferno Dragon,6,6,Barbarian Barrel,9,9,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PQGPGGY,Awesome Fury,6739,0,#9GUCJRL0,Team Solid,16000113,Electro Wizard,6,6,Dark Prince,9,9,Prince,9,9,Mega Minion,12,12,Fireball,12,12,Giant,12,12,Zap,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150802.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GJRYVP0U,Nova I Axel⭐,6675,1,#QG9QRRPU,The Dangers C.R,16000085,Lava Hound,6,6,Baby Dragon,9,9,Fireball,12,12,Zap,14,14,Miner,6,6,Inferno Dragon,6,6,Barbarian Barrel,9,9,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GGJ8LGV,JoseMG,6651,0,#Q99Y8C8P,Donald Trump,16000038,Freeze,9,9,Valkyrie,12,12,Inferno Dragon,6,6,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Electro Wizard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150439.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GJRYVP0U,Nova I Axel⭐,6706,0,#QG9QRRPU,The Dangers C.R,16000085,Lava Hound,6,6,Baby Dragon,9,9,Fireball,12,12,Zap,14,14,Miner,6,6,Inferno Dragon,6,6,Barbarian Barrel,9,9,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CUCCV8LV,xXcEjAzNeGrAzXx,6683,3,#RPQ98PV,Furia Roja «HN»,16000145,Barbarian Barrel,9,9,Tornado,9,9,Mega Minion,12,12,Baby Dragon,9,9,Dark Prince,9,9,Goblin Cage,12,12,Lightning,9,9,Electro Giant,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T121330.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#8GJRYVP0U,Nova I Axel⭐,6706,1,#QG9QRRPU,The Dangers C.R,16000085,The Log,4,6,Firecracker,13,14,Lightning,8,9,Cannon,13,14,Ice Golem,11,12,Hog Rider,11,12,Royal Delivery,13,14,Skeletons,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UQ9CPV9,Arsalan,5420,2,#9GLUQP,WinnipegRoyale,16000076,Goblin Gang,13,14,Sparky,5,6,Poison,9,9,Princess,5,6,P.E.K.K.A,8,9,Firecracker,13,14,Mega Knight,4,6,Royal Recruits,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T120911.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#8GJRYVP0U,Nova I Axel⭐,6706,3,#QG9QRRPU,The Dangers C.R,16000085,Lumberjack,6,6,Balloon,9,9,Minions,14,14,Ice Wizard,4,6,Dark Prince,9,9,Mega Minion,12,12,Freeze,8,9,Arrows,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88RCJQG2,SaYan (R!pP3r),5721,1,#JRCL9L,KOLKATA,16000029,Wizard,11,12,Hog Rider,11,12,Skeleton Army,8,9,Royal Giant,13,14,Furnace,12,12,Valkyrie,11,12,Fireball,11,12,Firecracker,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T120605.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#8GJRYVP0U,Nova I Axel⭐,6706,3,#QG9QRRPU,The Dangers C.R,16000085,Lava Hound,6,6,Barbarian Barrel,9,9,Guards,9,9,Baby Dragon,9,9,Fireball,12,12,Miner,6,6,Zap,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GVYJG0V,tmac,5730,1,#990L2CG,tatuibr,16000144,Golem,9,9,Goblin Gang,14,14,Ice Spirit,13,14,Prince,9,9,Night Witch,6,6,Firecracker,14,14,Valkyrie,12,12,Zap,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T120247.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#8GJRYVP0U,Nova I Axel⭐,6706,1,#QG9QRRPU,The Dangers C.R,16000085,Magic Archer,5,6,Valkyrie,11,12,Cannon Cart,8,9,Bats,13,14,Bomb Tower,11,12,Tornado,8,9,Poison,8,9,Electro Spirit,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UQ9G900V,Webroo,5713,0,#Y988URRC,Frikadelle 1.0,16000141,Royal Recruits,13,14,Flying Machine,11,12,Giant,11,12,Arrows,13,14,Skeleton Barrel,13,14,Poison,8,9,Balloon,9,9,Rascals,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T022852.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#8GJRYVP0U,Nova I Axel⭐,6706,0,#QG9QRRPU,The Dangers C.R,16000085,Spear Goblins,13,14,Wall Breakers,7,9,Magic Archer,5,6,Tornado,8,9,Fireball,12,12,Miner,6,6,Valkyrie,11,12,Bomb Tower,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J2R9QJU,皇室精英,6197,1,#9LG0R80J,大饼卷黑金,16000140,Barbarian Barrel,9,9,Electro Wizard,6,6,Fireball,12,12,Golden Knight,4,4,Mother Witch,6,6,P.E.K.K.A,9,9,Ram Rider,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T002515.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GJRYVP0U,Nova I Axel⭐,6674,1,#QG9QRRPU,The Dangers C.R,16000085,Lava Hound,6,6,Baby Dragon,9,9,Fireball,12,12,Zap,14,14,Miner,6,6,Inferno Dragon,6,6,Barbarian Barrel,9,9,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90R9JPJ2R,●Alejandro●,6700,0,#LCGJ8Q0Y,AwQayllis,16000142,Archer Queen,4,4,Skeletons,14,14,X-Bow,9,9,Rocket,12,12,Valkyrie,12,12,Tornado,9,9,The Log,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
