type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T154033.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GR088P0,Ceross1n,6764,1,#QRPQCUQU,Purjehdus,16000075,Valkyrie,12,12,The Log,6,6,Bats,14,14,Bomb Tower,12,12,Miner,6,6,Wall Breakers,9,9,Fireball,12,12,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YLC8YL8J,⛔⛔Emre⛔⛔WARRİOR,6924,0,#2JG9CJYV,DİRİLİŞ TÜRKİYE,16000030,P.E.K.K.A,9,9,Electro Wizard,6,6,Bandit,6,6,Elite Barbarians,14,14,Wizard,12,12,Poison,9,9,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153530.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GR088P0,Ceross1n,6733,1,#QRPQCUQU,Purjehdus,16000075,Valkyrie,12,12,The Log,6,6,Bats,14,14,Bomb Tower,12,12,Miner,6,6,Wall Breakers,9,9,Fireball,12,12,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UP2VL099,➳ᴹᴿ» ɱυɳƚαԃɾ⚡,6748,0,#YUPRJG8G,خبالات تايم┋✨♥️,16000077,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Ice Golem,12,12,Cannon,14,14,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153155.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GR088P0,Ceross1n,6705,1,#QRPQCUQU,Purjehdus,16000075,Valkyrie,12,12,The Log,6,6,Bats,14,14,Bomb Tower,12,12,Miner,6,6,Wall Breakers,9,9,Fireball,12,12,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YCJL0L,UnmortaI,6693,0,#CPVV9QJ,RoyalFlush II,16000077,Skeletons,14,14,The Log,6,6,Golden Knight,4,4,Royal Giant,14,14,Fisherman,6,6,Fireball,12,12,Mega Minion,12,12,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152739.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GR088P0,Ceross1n,6679,1,#QRPQCUQU,Purjehdus,16000075,Valkyrie,12,12,The Log,6,6,Bats,14,14,Bomb Tower,12,12,Miner,6,6,Wall Breakers,9,9,Fireball,12,12,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CCLL8R0,Jabs,6641,0,#YYLR8G0C,THE ELITE,16000043,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,The Log,6,6,Royal Delivery,14,14,Skeletons,14,14,Fire Spirit,14,14,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T075450.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GR088P0,Ceross1n,6652,1,#QRPQCUQU,Purjehdus,16000075,Valkyrie,12,12,The Log,6,6,Bats,14,14,Bomb Tower,12,12,Miner,6,6,Wall Breakers,9,9,Fireball,12,12,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9GVYLQP,indianboy23,6623,0,#8YLJ8UL2,Aftershock,16000011,Electro Giant,9,9,Guards,9,9,Baby Dragon,9,9,Inferno Dragon,6,6,Tombstone,12,12,Tornado,8,9,Barbarian Barrel,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T190453.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GR088P0,Ceross1n,6622,2,#QRPQCUQU,Purjehdus,16000075,Valkyrie,12,12,The Log,6,6,Bats,14,14,Bomb Tower,12,12,Miner,6,6,Wall Breakers,9,9,Fireball,12,12,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQQJCP9V,Εκατία κυανός,6628,1,#QRQP89YQ,Jisooinyourarea,16000111,Lava Hound,6,6,Baby Dragon,9,9,Lumberjack,6,6,Fireball,12,12,Flying Machine,12,12,Clone,9,9,Bats,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T190119.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GR088P0,Ceross1n,6650,0,#QRPQCUQU,Purjehdus,16000075,Valkyrie,12,12,The Log,6,6,Bats,14,14,Bomb Tower,12,12,Miner,6,6,Wall Breakers,9,9,Fireball,12,12,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGLGR8LC,hayconi,6662,1,#L8CPGJPU,cu,16000142,Knight,14,14,Mortar,14,14,Spear Goblins,14,14,Rocket,12,12,Royal Delivery,13,14,Skeletons,14,14,The Log,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T184914.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GR088P0,Ceross1n,6680,0,#QRPQCUQU,Purjehdus,16000075,Valkyrie,12,12,The Log,6,6,Bats,14,14,Bomb Tower,12,12,Miner,6,6,Wall Breakers,9,9,Fireball,12,12,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28LURCL8P,[VTR] MiguelMxZ,6672,1,#YQUVR29U,Vatra Gaming,16000032,Rascals,14,14,Skeletons,14,14,Dart Goblin,12,12,Fireball,12,12,Princess,6,6,The Log,6,6,Golden Knight,4,4,Goblin Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T184414.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GR088P0,Ceross1n,6651,1,#QRPQCUQU,Purjehdus,16000075,Valkyrie,12,12,The Log,6,6,Bats,14,14,Bomb Tower,12,12,Miner,6,6,Wall Breakers,9,9,Fireball,12,12,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Y9VPLLYC,UA I Okok,6642,0,#L0QPV,UNAUFHALTSAM,16000002,Mega Knight,6,6,Ram Rider,6,6,Inferno Dragon,6,6,Bandit,6,6,Lightning,9,9,Archer Queen,4,4,Barbarian Barrel,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T184017.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8GR088P0,Ceross1n,6681,0,#QRPQCUQU,Purjehdus,16000075,Valkyrie,12,12,The Log,6,6,Bats,14,14,Bomb Tower,12,12,Miner,6,6,Wall Breakers,9,9,Fireball,12,12,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VV9099Y9,Mili B,6679,1,#28U0L2CP,Clash Loyale DK,16000060,Archer Queen,4,4,Hog Rider,12,12,Valkyrie,12,12,Tesla,14,14,Skeletons,14,14,Fire Spirit,14,14,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
