type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T155037.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8J0UC8UL9,Sir Hke,6771,1,#UJVL,Det Runde Bord,16000077,Balloon,9,9,Lumberjack,6,6,Archer Queen,4,4,Electro Spirit,14,14,Dark Prince,9,9,Mother Witch,6,6,Freeze,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29C8YJRUP,ayoub Darken,6868,0,#QG9RL,maroc,16000146,Giant,12,12,Giant Snowball,14,14,Skeleton Army,9,9,Minions,14,14,Graveyard,6,6,Musketeer,12,12,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T151052.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#8J0UC8UL9,Sir Hke,6771,2,#UJVL,Det Runde Bord,16000077,Balloon,9,9,Dark Prince,9,9,Archer Queen,4,4,Elite Barbarians,14,14,Lumberjack,6,6,Electro Spirit,14,14,Freeze,9,9,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90PY2Y9L,LUCACRIS96,5923,1,#82CPUPPC,Merida Yucatan.,16000101,P.E.K.K.A,9,9,Magic Archer,5,6,Battle Ram,11,12,Zap,13,14,Bandit,6,6,Poison,9,9,Electro Wizard,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T150634.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#8J0UC8UL9,Sir Hke,6771,1,#UJVL,Det Runde Bord,16000077,Mega Knight,6,6,Ram Rider,6,6,Bandit,6,6,Magic Archer,6,6,Fireball,12,12,Inferno Dragon,5,6,Electro Wizard,5,6,Royal Ghost,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VJCC9L2L,Durendal,6060,0,#RLC0UVJ,Heathshell,16000121,P.E.K.K.A,9,9,Arrows,14,14,Baby Dragon,9,9,Bandit,6,6,Battle Ram,12,12,Skeletons,14,14,Bomber,14,14,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T150318.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#8J0UC8UL9,Sir Hke,6771,1,#UJVL,Det Runde Bord,16000077,Skeleton Barrel,14,14,Flying Machine,12,12,Skeleton Army,9,9,Bats,14,14,Night Witch,6,6,Golem,9,9,Clone,9,9,Arrows,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RURYJ09J,vincci bb,6304,0,#29C892YP,是但啦諗唔到,16000010,Goblin Gang,14,14,Ice Spirit,14,14,Princess,6,6,Goblin Barrel,9,9,Rocket,11,12,Knight,14,14,Inferno Tower,11,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T145941.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#8J0UC8UL9,Sir Hke,6771,1,#UJVL,Det Runde Bord,16000077,Barbarian Barrel,9,9,Elixir Golem,12,12,Battle Healer,12,12,Electro Dragon,9,9,Barbarian Hut,12,12,Tornado,9,9,Baby Dragon,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G0YGLCQU,Depeenis,5690,0,#9PUVUL2V,Midwest Boys,16000010,Magic Archer,5,6,Bomber,13,14,Electro Dragon,8,9,Archers,13,14,Cannon,13,14,Mega Knight,5,6,Spear Goblins,13,14,Elite Barbarians,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133919.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8J0UC8UL9,Sir Hke,6737,1,#UJVL,Det Runde Bord,16000077,Balloon,9,9,Lumberjack,6,6,Archer Queen,4,4,Electro Spirit,14,14,Dark Prince,9,9,Mother Witch,6,6,Freeze,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QUP0UPGR,❤️愛LOVE❤️,6789,0,#P2L8GVVU,Aim Higher,16000089,Electro Giant,9,9,Archer Queen,4,4,Dark Prince,9,9,Baby Dragon,9,9,Goblin Cage,12,12,Barbarian Barrel,9,9,Tornado,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T130552.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8J0UC8UL9,Sir Hke,6706,1,#UJVL,Det Runde Bord,16000077,Balloon,9,9,Lumberjack,6,6,Archer Queen,4,4,Electro Spirit,14,14,Dark Prince,9,9,Mother Witch,6,6,Freeze,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QGVRR80,MŰŠŤĀFĂ ₩₩ ĶĮŇĞ,6728,0,#8YLJ8UL2,Aftershock,16000011,Graveyard,6,6,Goblin Gang,14,14,Mega Minion,12,12,Arrows,14,14,Musketeer,12,12,Bowler,9,9,Valkyrie,12,12,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T112831.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8J0UC8UL9,Sir Hke,6678,1,#UJVL,Det Runde Bord,16000077,Balloon,9,9,Lumberjack,6,6,Archer Queen,4,4,Electro Spirit,14,14,Dark Prince,9,9,Mother Witch,6,6,Freeze,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C0U28QYC,Ra's al Ghul,6657,0,#L922JVY9,Citrine,16000020,Mega Knight,6,6,Giant Snowball,14,14,Archer Queen,4,4,Electro Spirit,14,14,Ram Rider,6,6,Bandit,6,6,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T111015.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8J0UC8UL9,Sir Hke,6648,2,#UJVL,Det Runde Bord,16000077,Balloon,9,9,Lumberjack,6,6,Archer Queen,4,4,Electro Spirit,14,14,Dark Prince,9,9,Mother Witch,6,6,Freeze,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQ0VYRGLY,SWAYAM™,6650,0,#Y0LJ82R2,THE CONQUEROR$™,16000139,Valkyrie,12,12,Tesla,14,14,Goblin Drill,9,9,Firecracker,14,14,Goblins,14,14,Royal Delivery,14,14,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T110650.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8J0UC8UL9,Sir Hke,6678,1,#UJVL,Det Runde Bord,16000077,Balloon,9,9,Lumberjack,6,6,Archer Queen,4,4,Electro Spirit,14,14,Dark Prince,9,9,Mother Witch,6,6,Freeze,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUGJ2CPPQ,最強のメガナイトwb使いエース,6674,2,#Q8LGV2YC,クラン対戦2したいの会,16000128,Mega Knight,6,6,Wall Breakers,9,9,Bats,14,14,Musketeer,12,12,Prince,9,9,Golden Knight,4,4,Miner,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T100238.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8J0UC8UL9,Sir Hke,6649,2,#UJVL,Det Runde Bord,16000077,Balloon,9,9,Lumberjack,6,6,Archer Queen,4,4,Electro Spirit,14,14,Dark Prince,9,9,Mother Witch,6,6,Freeze,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#998U0099U,CRG I ՏρԹՐƙՎ,6643,1,#LGPQLCGR,Respect,16000039,Goblin Giant,9,9,Sparky,6,6,Elite Barbarians,14,14,Dark Prince,9,9,Heal Spirit,11,12,Zap,13,14,Rage,8,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T095714.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8J0UC8UL9,Sir Hke,6679,0,#UJVL,Det Runde Bord,16000077,Balloon,9,9,Lumberjack,6,6,Archer Queen,4,4,Electro Spirit,14,14,Dark Prince,9,9,Mother Witch,6,6,Freeze,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q99R0L2L,DARTH STRANGE,6670,1,#YYGJ8VYP,서울과학고등학교33기,16000127,Rocket,12,12,The Log,6,6,Tornado,9,9,Executioner,9,9,Valkyrie,12,12,Hog Rider,12,12,Ice Spirit,14,14,Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T093134.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8J0UC8UL9,Sir Hke,6653,1,#UJVL,Det Runde Bord,16000077,Balloon,9,9,Lumberjack,6,6,Archer Queen,4,4,Electro Spirit,14,14,Dark Prince,9,9,Mother Witch,6,6,Freeze,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28QPUJQG,DANIEL X_0,6615,0,#P828R2G2,CRG eSports,16000162,Prince,9,9,Sparky,6,6,Electro Wizard,6,6,Zap,14,14,Valkyrie,12,12,Elite Barbarians,14,14,Musketeer,12,12,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T090228.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8J0UC8UL9,Sir Hke,6625,2,#UJVL,Det Runde Bord,16000077,Balloon,9,9,Lumberjack,6,6,Archer Queen,4,4,Electro Spirit,14,14,Dark Prince,9,9,Mother Witch,6,6,Freeze,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PVUU0RVG,梦魇,6602,1,#LYLQGYJ0,外星伴侣,16000041,Skeleton Dragons,14,14,Mega Minion,12,12,Zap,14,14,Lava Hound,6,6,Tombstone,12,12,Balloon,9,9,Guards,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T084612.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8J0UC8UL9,Sir Hke,6599,1,#UJVL,Det Runde Bord,16000077,Balloon,9,9,Lumberjack,6,6,Archer Queen,4,4,Electro Spirit,14,14,Dark Prince,9,9,Mother Witch,6,6,Freeze,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P892LPJ,A K A L A K,6561,0,,,,Ram Rider,6,6,Fireball,12,12,Barbarian Barrel,9,9,Golden Knight,4,4,Rascals,14,14,Bats,14,14,Goblin Gang,14,14,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T081431.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8J0UC8UL9,Sir Hke,6570,3,#UJVL,Det Runde Bord,16000077,Balloon,9,9,Lumberjack,6,6,Archer Queen,4,4,Electro Spirit,14,14,Dark Prince,9,9,Mother Witch,6,6,Freeze,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLY90V0C,mayank dhruv,6565,0,#PJQLGYRQ,INDIAN ARMY,16000059,Hog Rider,12,12,Musketeer,12,12,Cannon,14,14,Fireball,12,12,Skeletons,14,14,Ice Spirit,14,14,Ice Golem,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
