type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T181900.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#8JCQVYY2,Biggriz53,6811,3,#PGUUY9,Goons Royale,16000154,Lumberjack,6,6,Tornado,9,9,Electro Dragon,8,9,Skeletons,13,14,Inferno Dragon,6,6,Balloon,9,9,Freeze,9,9,Bowler,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28RGLGCPP,sabelübtüber,5716,0,#PCQ08QLQ,FSG eSports,16000154,Balloon,9,9,Skeleton Army,9,9,Fireball,12,12,Valkyrie,12,12,Firecracker,14,14,Giant Snowball,14,14,Lumberjack,6,6,Tesla,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171003.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8JCQVYY2,Biggriz53,6780,1,#PGUUY9,Goons Royale,16000154,The Log,6,6,Fireball,12,12,Minion Horde,14,14,Goblin Gang,14,14,Royal Giant,14,14,Sparky,6,6,Inferno Tower,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QPJYYLLQ,⚡Kevin C⚡,6798,0,#PJPCC0C9,Electric,16000010,Baby Dragon,9,9,Electro Giant,9,9,Tornado,9,9,Goblin Cage,12,12,Barbarian Barrel,9,9,Bowler,9,9,Mega Minion,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170309.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8JCQVYY2,Biggriz53,6749,1,#PGUUY9,Goons Royale,16000154,The Log,6,6,Fireball,12,12,Minion Horde,14,14,Goblin Gang,14,14,Royal Giant,14,14,Sparky,6,6,Inferno Tower,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UJ2UC8CJ,ドルフィンʕ•ᴥ•ʔ,6767,0,#LUR0PRR2,CowCowFinance,16000138,Golem,9,9,Night Witch,6,6,Fireball,12,12,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Bomber,13,14,Skeleton Army,8,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T062808.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#8JCQVYY2,Biggriz53,6749,1,#PGUUY9,Goons Royale,16000154,Elite Barbarians,11,14,Dark Prince,6,9,Rage,6,9,Barbarian Barrel,6,9,Hog Rider,9,12,Ice Wizard,3,6,Wizard,9,12,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UGG9VVJP,King Calovich11,5736,0,#PGUUY9,Goons Royale,16000154,Barbarians,11,14,Royal Ghost,3,6,Bowler,6,9,Tornado,6,9,Giant,9,12,Bats,11,14,Electro Dragon,6,9,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T062306.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#8JCQVYY2,Biggriz53,6749,3,#PGUUY9,Goons Royale,16000154,The Log,3,6,Witch,6,9,Dart Goblin,9,12,Valkyrie,9,12,Electro Giant,6,9,Lightning,6,9,Electro Spirit,11,14,Bomber,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UGG9VVJP,King Calovich11,5736,0,#PGUUY9,Goons Royale,16000154,Zap,11,14,Inferno Dragon,3,6,Mega Minion,9,12,Knight,11,14,Mortar,11,14,Fireball,9,12,Skeletons,11,14,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T061845.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#8JCQVYY2,Biggriz53,6749,1,#PGUUY9,Goons Royale,16000154,Dart Goblin,9,12,Fireball,9,12,Tornado,6,9,Baby Dragon,6,9,Mini P.E.K.K.A,9,12,Guards,6,9,Miner,3,6,Royal Giant,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98J222VG,Corey,5549,0,#PGUUY9,Goons Royale,16000154,Minions,11,14,Poison,6,9,Barbarian Barrel,6,9,Inferno Dragon,3,6,Royal Recruits,11,14,Skeleton Barrel,11,14,Prince,6,9,Goblin Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T061416.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#8JCQVYY2,Biggriz53,6749,1,#PGUUY9,Goons Royale,16000154,Hog Rider,9,12,Ice Wizard,3,6,Guards,6,9,Ice Golem,9,12,Tornado,6,9,Earthquake,9,12,Zappies,9,12,Inferno Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UGG9VVJP,King Calovich11,5736,0,#PGUUY9,Goons Royale,16000154,Electro Giant,6,9,Princess,3,6,Tombstone,9,12,Prince,6,9,Zap,11,14,Fireball,9,12,Minion Horde,11,14,P.E.K.K.A,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T060925.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#8JCQVYY2,Biggriz53,6749,3,#PGUUY9,Goons Royale,16000154,Poison,6,9,Ram Rider,3,6,Ice Wizard,3,6,Witch,6,9,Tesla,11,14,Electro Spirit,11,14,Zap,11,14,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98J222VG,Corey,5549,0,#PGUUY9,Goons Royale,16000154,Rocket,9,12,Royal Hogs,9,12,Dart Goblin,9,12,Electro Wizard,3,6,Goblin Hut,9,12,Ice Spirit,11,14,Arrows,11,14,Night Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T060531.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#8JCQVYY2,Biggriz53,6749,1,#PGUUY9,Goons Royale,16000154,Poison,6,9,Night Witch,3,6,Electro Dragon,6,9,Guards,6,9,Valkyrie,9,12,The Log,3,6,Balloon,6,9,Dart Goblin,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UGG9VVJP,King Calovich11,5736,0,#PGUUY9,Goons Royale,16000154,Rocket,9,12,Sparky,3,6,Electro Wizard,3,6,Skeleton Barrel,11,14,Ice Golem,9,12,Giant Snowball,11,14,Goblin Barrel,6,9,Minions,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T045320.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8JCQVYY2,Biggriz53,6719,1,#PGUUY9,Goons Royale,16000154,The Log,6,6,Fireball,12,12,Minion Horde,14,14,Goblin Gang,14,14,Royal Giant,14,14,Sparky,6,6,Inferno Tower,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LG0UQ0PR,⚡Quavo⚡,6723,0,#Y89VR8JL,Juvenile,16000040,Electro Giant,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Bomber,14,14,Archer Queen,4,4,Goblin Cage,12,12,Lightning,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
