type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T055138.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8JJ8YRV8L,技能✨Sabian,6740,2,#LP2LCGVG,Ad Astra,16000040,P.E.K.K.A,9,9,Bandit,6,6,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,Poison,9,9,Zap,14,14,Minions,14,14,#8ULCCQJJL,Joelvy2.0,,2,#Q9YCC9CG,SeromPiolaTaza,16000011,The Log,5,6,Mini P.E.K.K.A,12,12,Dart Goblin,11,12,Goblin Hut,11,12,Fireball,12,12,Miner,5,6,Wall Breakers,8,9,Electro Spirit,14,14,#20L9UGPL9,Akira,5304,0,#2YV2QR0,グループ魂,16000054,Zap,14,14,Hog Rider,12,12,Executioner,9,9,Tornado,7,9,Knight,13,14,Goblin Gang,14,14,Rocket,12,12,Fire Spirit,14,14,#98VRGJ8UP,瞎几把搞,,0,#29JLJYV8,京城大咖,16000039,Magic Archer,6,6,Lightning,9,9,Arrows,14,14,Lumberjack,6,6,Mega Knight,6,6,Balloon,9,9,Zap,14,14,Dart Goblin,12,12
clanMate2v2,20220103T231416.000Z,,54000017,Master III,72000014,TeamVsTeam,,collection,#9C8RPQ8G8,奧特☠amine,,0,#LP2LCGVG,Ad Astra,16000040,Tornado,6,9,Miner,3,6,Wall Breakers,6,9,Bomb Tower,9,12,Fireball,9,12,Valkyrie,9,12,Spear Goblins,11,14,Magic Archer,3,6,#8JJ8YRV8L,技能✨Sabian,,0,#LP2LCGVG,Ad Astra,16000040,Miner,3,6,Wall Breakers,6,9,Bomb Tower,9,12,Magic Archer,3,6,Spear Goblins,11,14,Valkyrie,9,12,Tornado,6,9,Fireball,9,12,#9Q8LQ8CRL,8>ryanping,,1,#LP2LCGVG,Ad Astra,16000040,Dart Goblin,9,12,Bandit,3,6,Wall Breakers,6,9,Cannon Cart,6,9,The Log,3,6,Archer Queen,1,4,Goblin Barrel,6,9,Skeletons,11,14,#LUPRVYL92,➰⭐️BIG PEEW⭐️➰,,1,#LP2LCGVG,Ad Astra,16000040,Skeletons,11,14,Dark Prince,6,9,The Log,3,6,Tesla,11,14,Miner,3,6,Fire Spirit,11,14,Rocket,9,12,Royal Delivery,11,14
clanMate2v2,20220103T231039.000Z,,54000016,Master II,72000014,TeamVsTeam,,collection,#LUPRVYL92,➰⭐️BIG PEEW⭐️➰,,0,#LP2LCGVG,Ad Astra,16000040,Skeletons,11,14,Dark Prince,6,9,The Log,3,6,Tesla,11,14,Miner,3,6,Fire Spirit,11,14,Rocket,9,12,Royal Delivery,11,14,#8JJ8YRV8L,技能✨Sabian,,0,#LP2LCGVG,Ad Astra,16000040,Miner,3,6,Wall Breakers,6,9,Bomb Tower,9,12,Magic Archer,3,6,Spear Goblins,11,14,Valkyrie,9,12,Tornado,6,9,Fireball,9,12,#9Q8LQ8CRL,8>ryanping,,1,#LP2LCGVG,Ad Astra,16000040,Dart Goblin,9,12,Bandit,3,6,Wall Breakers,6,9,Cannon Cart,6,9,The Log,3,6,Archer Queen,1,4,Goblin Barrel,6,9,Skeletons,11,14,#9C8RPQ8G8,奧特☠amine,,1,#LP2LCGVG,Ad Astra,16000040,Giant,9,12,Night Witch,3,6,Fisherman,3,6,Mega Minion,9,12,Arrows,11,14,Dark Prince,6,9,Fireball,9,12,Graveyard,3,6
friendly,20220103T230342.000Z,,54000027,Clan League,72000033,RampUpElixir_Friendly,,collection,#8JJ8YRV8L,技能✨Sabian,6740,1,#LP2LCGVG,Ad Astra,16000040,Miner,3,6,Wall Breakers,6,9,Bomb Tower,9,12,Magic Archer,3,6,Spear Goblins,11,14,Valkyrie,9,12,Tornado,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8RPQ8G8,奧特☠amine,6748,0,#LP2LCGVG,Ad Astra,16000040,Lumberjack,3,6,Skeleton Army,6,9,Valkyrie,9,12,Wizard,9,12,Minion Horde,11,14,Rage,6,9,Zap,11,14,Elite Barbarians,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220103T225209.000Z,,54000011,Arena 12,72000254,MirrorDeck_Friendly,,predefined,#8JJ8YRV8L,技能✨Sabian,6740,2,#LP2LCGVG,Ad Astra,16000040,Mirror,6,9,Miner,3,6,Golem,6,9,Mega Minion,9,12,Lumberjack,3,6,Royal Ghost,3,6,Guards,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8RPQ8G8,奧特☠amine,6748,3,#LP2LCGVG,Ad Astra,16000040,Mirror,6,9,Miner,3,6,Golem,6,9,Mega Minion,9,12,Lumberjack,3,6,Royal Ghost,3,6,Guards,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220103T224922.000Z,,54000023,,72000050,Touchdown_Draft,,draft,#8JJ8YRV8L,技能✨Sabian,6740,1,#LP2LCGVG,Ad Astra,16000040,X-Bow,6,9,Mega Knight,3,6,Golem,6,9,Freeze,6,9,Mortar,11,14,Tombstone,9,12,Skeleton Dragons,11,14,Battle Ram,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8RPQ8G8,奧特☠amine,6748,2,#LP2LCGVG,Ad Astra,16000040,Hog Rider,9,12,Electro Dragon,6,9,Barbarian Hut,9,12,Bomb Tower,9,12,Mirror,6,9,Elixir Golem,9,12,Elite Barbarians,11,14,Goblin Drill,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220103T223839.000Z,,54000042,Legendary Arena,72000091,Heist_Friendly,,collection,#8JJ8YRV8L,技能✨Sabian,6740,3,#LP2LCGVG,Ad Astra,16000040,Barbarian Barrel,6,9,Bowler,6,9,Golden Knight,1,4,Ram Rider,3,6,Goblin Drill,6,9,Earthquake,9,12,Three Musketeers,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8RPQ8G8,奧特☠amine,6780,0,#LP2LCGVG,Ad Astra,16000040,Tornado,6,9,Skeleton Army,6,9,Barbarians,11,14,Earthquake,9,12,Mega Knight,3,6,Ice Golem,9,12,Firecracker,11,14,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220103T223311.000Z,,54000036,Legendary Arena,72000232,7xElixir_Friendly,,collection,#8JJ8YRV8L,技能✨Sabian,6740,3,#LP2LCGVG,Ad Astra,16000040,Rocket,9,12,Mega Knight,3,6,Magic Archer,3,6,Electro Spirit,11,14,Balloon,6,9,Zap,11,14,Bandit,3,6,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8RPQ8G8,奧特☠amine,6780,2,#LP2LCGVG,Ad Astra,16000040,Hunter,6,9,Lava Hound,3,6,Archer Queen,1,4,Heal Spirit,9,12,Knight,11,14,Lightning,6,9,Barbarian Barrel,6,9,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220103T222914.000Z,,54000017,Master III,72000007,Friendly,,collection,#8JJ8YRV8L,技能✨Sabian,6740,0,#LP2LCGVG,Ad Astra,16000040,Bats,11,14,Ice Spirit,11,14,Ice Wizard,3,6,Knight,11,14,The Log,3,6,Poison,6,9,Rocket,9,12,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8RPQ8G8,奧特☠amine,6780,1,#LP2LCGVG,Ad Astra,16000040,Three Musketeers,9,12,Bandit,3,6,Goblin Gang,11,14,Minion Horde,11,14,Ice Golem,9,12,Miner,3,6,Elixir Collector,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220103T222246.000Z,,54000017,Master III,72000007,Friendly,,collection,#8JJ8YRV8L,技能✨Sabian,6740,0,#LP2LCGVG,Ad Astra,16000040,Ice Spirit,11,14,Skeletons,11,14,Zap,11,14,Cannon,11,14,Elite Barbarians,11,14,Ice Golem,9,12,Fireball,9,12,Dart Goblin,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8RPQ8G8,奧特☠amine,6780,1,#LP2LCGVG,Ad Astra,16000040,Balloon,6,9,Bats,11,14,Fisherman,3,6,Giant Skeleton,6,9,Hunter,6,9,Miner,3,6,Skeletons,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
