type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T184228.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8JUR2VJ8P,⚡704_Ré-Ka⚡,6730,1,#L8VQY8JR,Les Ch’tis,16000078,Mega Knight,6,6,Zap,14,14,Hog Rider,12,12,Goblin Gang,14,14,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Firecracker,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G209YQPJY,にどら,6756,0,,,,Guards,9,9,Miner,6,6,Spear Goblins,14,14,Cannon Cart,9,9,Mortar,14,14,The Log,6,6,Fireball,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183832.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8JUR2VJ8P,⚡704_Ré-Ka⚡,6760,0,#L8VQY8JR,Les Ch’tis,16000078,Mega Knight,6,6,Zap,14,14,Hog Rider,12,12,Goblin Gang,14,14,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Firecracker,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22YQQJRUV,Noose™,6755,1,#UUCQJG,Españators Team,16000172,Graveyard,6,6,Rascals,14,14,Valkyrie,12,12,Freeze,9,9,Inferno Dragon,6,6,Arrows,14,14,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T183328.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8JUR2VJ8P,⚡704_Ré-Ka⚡,6760,1,#L8VQY8JR,Les Ch’tis,16000078,Mega Knight,6,6,Zap,14,14,Hog Rider,12,12,Goblin Gang,14,14,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Firecracker,14,14,#V8Y88R9P,leo209,,1,#YJLR9CU2,mexico,16000081,Fire Spirit,14,14,Skeleton Army,9,9,Minions,14,14,Sparky,6,6,Spear Goblins,14,14,Mega Knight,6,6,Arrows,13,14,The Log,5,6,#J2QPJYRL,James,5385,0,#L29GQ0CR,TEAM ALFA MX,16000000,Fireball,12,12,The Log,6,6,Goblin Barrel,9,9,Inferno Dragon,6,6,Lumberjack,6,6,Skeleton King,4,4,Balloon,9,9,Mini P.E.K.K.A,12,12,#2U2JLQLL,ArcAngel,,0,,,,Arrows,14,14,Barbarians,14,14,Golden Knight,2,4,Minion Horde,14,14,Giant,12,12,Goblin Hut,12,12,Fireball,12,12,Spear Goblins,14,14
casual2v2,20220104T181815.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8JUR2VJ8P,⚡704_Ré-Ka⚡,6760,0,#L8VQY8JR,Les Ch’tis,16000078,Mega Knight,6,6,Zap,14,14,Hog Rider,12,12,Goblin Gang,14,14,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Firecracker,14,14,#ULVCQVQ,DarthDewiT,,0,#99UQP9V0,High Syndicate,16000021,Goblin Giant,9,9,Sparky,6,6,Electro Wizard,6,6,Rage,8,9,Zap,14,14,Elite Barbarians,14,14,Archer Queen,4,4,Skeletons,14,14,#209CP289Q,klid,5721,1,#2GYRV0Q8,DRAGONS,16000000,Balloon,9,9,Mini P.E.K.K.A,12,12,Bats,13,14,Firecracker,14,14,Dark Prince,9,9,Mega Knight,6,6,Lightning,9,9,Zap,14,14,#YULC80GVJ,Daniel,,1,#YRRL98LP,MEXICANOS,16000109,The Log,6,6,Electro Wizard,6,6,Valkyrie,12,12,Musketeer,12,12,Golem,9,9,Fireball,12,12,Earthquake,11,12,Prince,9,9
PvP,20220104T163825.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8JUR2VJ8P,⚡704_Ré-Ka⚡,6731,1,#L8VQY8JR,Les Ch’tis,16000078,Mega Knight,6,6,Zap,14,14,Hog Rider,12,12,Goblin Gang,14,14,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Firecracker,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2ULYLVQ,GEARD,6720,0,#P0LLG9RG,QLASH Eclipse,16000077,Royal Recruits,14,14,Goblin Cage,12,12,Flying Machine,12,12,Golden Knight,4,4,Fireball,12,12,Zappies,12,12,Barbarian Barrel,9,9,Royal Hogs,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T145924.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#8JUR2VJ8P,⚡704_Ré-Ka⚡,6731,1,#L8VQY8JR,Les Ch’tis,16000078,Ram Rider,6,6,Mega Knight,6,6,Electro Spirit,13,14,Giant Snowball,13,14,Lightning,7,9,Archer Queen,1,4,Bandit,6,6,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20Y98PRPV,l2yu,5674,0,#YPV0PGL8,하남성인클랜,16000126,Prince,8,9,Goblin Barrel,8,9,Goblin Gang,13,14,Princess,4,6,Electro Spirit,11,14,Golden Knight,2,4,Cannon Cart,7,9,The Log,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T124908.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#8JUR2VJ8P,⚡704_Ré-Ka⚡,6731,3,#L8VQY8JR,Les Ch’tis,16000078,Inferno Tower,9,12,Guards,6,9,Goblin Giant,6,9,Dark Prince,6,9,Tornado,6,9,Lightning,6,9,Dart Goblin,9,12,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0YGQUY0V,GalaxM,5697,0,#L8VQY8JR,Les Ch’tis,16000078,P.E.K.K.A,6,9,Fire Spirit,11,14,Hog Rider,9,12,Royal Ghost,3,6,Barbarian Barrel,6,9,Fireball,9,12,Flying Machine,9,12,Electro Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T105401.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8JUR2VJ8P,⚡704_Ré-Ka⚡,6731,1,#L8VQY8JR,Les Ch’tis,16000078,Mega Knight,6,6,Zap,14,14,Hog Rider,12,12,Goblin Gang,14,14,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Firecracker,14,14,#8VUCC2U,Ξ ｓｈａｄｏｗ Ξ,,1,#LQ09GYGV,Burning Goblins,16000154,Lava Hound,6,6,Skeleton King,4,4,Mega Minion,12,12,Flying Machine,12,12,Skeleton Dragons,14,14,Tombstone,12,12,Miner,6,6,Arrows,14,14,#P0G9JQ8L9,frodo,5734,0,#2YQ8V0UJ,estrategas,16000146,The Log,6,6,Princess,6,6,Goblin Barrel,9,9,Goblin Gang,14,14,Rocket,12,12,Ice Spirit,14,14,Inferno Tower,12,12,Knight,14,14,#2RYURQYJ,BOOD,,0,#L9JJY0LV,K S A,16000158,Royal Hogs,12,12,Goblin Cage,12,12,Fire Spirit,14,14,Archer Queen,4,4,Lightning,9,9,Skeletons,13,14,Royal Delivery,14,14,The Log,6,6
casual2v2,20220104T104847.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8JUR2VJ8P,⚡704_Ré-Ka⚡,6731,3,#L8VQY8JR,Les Ch’tis,16000078,Mega Knight,6,6,Zap,14,14,Hog Rider,12,12,Goblin Gang,14,14,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Firecracker,14,14,#8YJ0GPUJY,Luffy,,3,#2GY2YG,RageGamingZone,16000020,Barbarian Barrel,9,9,Furnace,12,12,Goblin Hut,11,12,Zappies,11,12,Golden Knight,4,4,Royal Recruits,13,14,Flying Machine,11,12,Fireball,12,12,#2RCQVPJG2,Fin sin fin,5139,0,#8P0U99Y,cerditos,16000172,The Log,5,6,Fireball,12,12,Giant Snowball,13,14,Balloon,9,9,Knight,14,14,Electro Wizard,6,6,Minions,14,14,Rage,8,9,#2QGCU0GY,真黒,,0,#QUQ2R008,ばんびっと,16000160,Lava Hound,6,6,Mirror,9,9,Electro Dragon,9,9,Bats,14,14,Arrows,14,14,Clone,9,9,Baby Dragon,9,9,Skeleton Army,9,9
casual2v2,20220104T104503.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8JUR2VJ8P,⚡704_Ré-Ka⚡,6731,1,#L8VQY8JR,Les Ch’tis,16000078,Mega Knight,6,6,Zap,14,14,Hog Rider,12,12,Goblin Gang,14,14,Dark Prince,9,9,Bandit,6,6,Electro Wizard,6,6,Firecracker,14,14,#YQC0PLG8V,ريومه,,1,,,,Goblin Gang,14,14,Goblin Barrel,9,9,Princess,6,6,Skeleton Army,9,9,Fireball,12,12,Inferno Tower,12,12,Knight,14,14,The Log,6,6,#VQVVJ98U,OBrien,5433,2,#2GGL8RJ,5 Starred,16000041,Goblin Barrel,9,9,Wizard,12,12,Valkyrie,12,12,Mini P.E.K.K.A,11,12,Inferno Dragon,6,6,Rocket,12,12,Hog Rider,12,12,Zap,14,14,#8G0YVC2YY,エニクス,,2,#LRVC8PLV,Aegis2,16000108,Golem,9,9,Balloon,9,9,Electro Dragon,9,9,Fireball,12,12,Electro Wizard,6,6,Inferno Tower,12,12,Night Witch,6,6,Knight,14,14
