type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T185736.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#8JYLL98U,【﻿ＨｅｙＩｔ’ｓＭａｒｋ】,6768,1,#299Q8QU,#Acél Bikák,16000162,Knight,14,14,Poison,9,9,Baby Dragon,9,9,Tombstone,12,12,Graveyard,6,6,Ice Wizard,6,6,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80P02VPJJ,Moymoi (1),5816,0,#P2LL2VGG,Clashers Brasil,16000058,Golden Knight,2,4,Golem,8,9,Valkyrie,11,12,Mega Minion,11,12,The Log,6,6,Electro Dragon,8,9,Goblin Cage,10,12,Fireball,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T175502.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#8JYLL98U,【﻿ＨｅｙＩｔ’ｓＭａｒｋ】,6768,1,#299Q8QU,#Acél Bikák,16000162,Knight,14,14,Poison,9,9,Baby Dragon,9,9,Tombstone,12,12,Graveyard,6,6,Ice Wizard,6,6,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CGYUUY0C,sergito2405,6498,0,#PPCLCJG9,AK Syndicate,16000044,Magic Archer,6,6,Battle Ram,12,12,Electro Wizard,6,6,Fireball,12,12,Bandit,6,6,P.E.K.K.A,9,9,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T161245.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#8JYLL98U,【﻿ＨｅｙＩｔ’ｓＭａｒｋ】,6768,2,#299Q8QU,#Acél Bikák,16000162,Mirror,6,9,Battle Ram,9,12,Lava Hound,3,6,Minion Horde,11,14,Goblin Cage,9,12,Royal Ghost,3,6,Electro Spirit,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9J0YRLCGP,！！！,5262,1,#Y0VPGU08,京朝3750院,16000143,Mirror,6,9,Battle Ram,9,12,Lava Hound,3,6,Minion Horde,11,14,Goblin Cage,9,12,Royal Ghost,3,6,Electro Spirit,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T141956.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#8JYLL98U,【﻿ＨｅｙＩｔ’ｓＭａｒｋ】,6768,1,#299Q8QU,#Acél Bikák,16000162,Graveyard,6,6,Archer Queen,4,4,Tombstone,12,12,Valkyrie,12,12,Barbarian Barrel,9,9,Poison,9,9,Tornado,9,9,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYRYJQUPL,death dealer,5714,0,#QC800VP0,Canadian Club,16000168,Minions,14,14,Skeleton Barrel,14,14,Dart Goblin,12,12,Mega Knight,6,6,Valkyrie,12,12,Skeleton Army,9,9,Archer Queen,4,4,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T103625.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8JYLL98U,【﻿ＨｅｙＩｔ’ｓＭａｒｋ】,6743,1,#299Q8QU,#Acél Bikák,16000162,Graveyard,6,6,Archer Queen,4,4,Tombstone,12,12,Valkyrie,12,12,Barbarian Barrel,9,9,Poison,9,9,Tornado,9,9,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VLL8JUL0,YT : AMIR CR1,6695,0,#28YYLVPP,tabriz,16000026,Golem,9,9,Night Witch,6,6,Mega Minion,12,12,Lumberjack,6,6,Bomber,14,14,Arrows,14,14,Zap,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T103106.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8JYLL98U,【﻿ＨｅｙＩｔ’ｓＭａｒｋ】,6715,1,#299Q8QU,#Acél Bikák,16000162,Graveyard,6,6,Archer Queen,4,4,Tombstone,12,12,Valkyrie,12,12,Barbarian Barrel,9,9,Poison,9,9,Tornado,9,9,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPPYP2UL,はなげじじー,6694,0,#9P99L98G,mirage,16000015,Electro Giant,9,9,Tornado,9,9,Tombstone,12,12,Cannon Cart,9,9,Electro Dragon,9,9,Barbarian Barrel,9,9,Mother Witch,6,6,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T101947.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#8JYLL98U,【﻿ＨｅｙＩｔ’ｓＭａｒｋ】,6715,3,#299Q8QU,#Acél Bikák,16000162,Princess,6,6,The Log,6,6,Dart Goblin,12,12,Ice Spirit,14,14,Cannon Cart,9,9,Rascals,13,14,Goblin Barrel,9,9,Rocket,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29C2VPU9G,フランシェ:(っ`ω´c):,5908,0,#9CC0CLCQ,Bad Moon,16000032,Royal Giant,13,14,Electro Dragon,8,9,Mini P.E.K.K.A,12,12,Fireball,12,12,Flying Machine,11,12,Bats,13,14,Spear Goblins,13,14,Miner,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T101702.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#8JYLL98U,【﻿ＨｅｙＩｔ’ｓＭａｒｋ】,6715,2,#299Q8QU,#Acél Bikák,16000162,Graveyard,6,6,Baby Dragon,9,9,Tombstone,12,12,Archer Queen,4,4,Skeletons,14,14,Tornado,9,9,Valkyrie,12,12,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RGQUYCUV,elvin jr,6639,0,#Y2JLVUU0,FAMILIA HN⚡,16000144,Zappies,11,12,Arrows,13,14,Giant Snowball,13,14,Royal Recruits,13,14,Royal Hogs,11,12,Bomb Tower,11,12,Flying Machine,11,12,Ice Spirit,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T100941.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#8JYLL98U,【﻿ＨｅｙＩｔ’ｓＭａｒｋ】,6715,1,#299Q8QU,#Acél Bikák,16000162,Royal Recruits,13,14,Flying Machine,11,12,Zappies,11,12,Royal Hogs,11,12,Magic Archer,6,6,Arrows,13,14,Goblin Cage,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPL89VJ9,看你神的狠,5867,0,#2L2LRL0,口袋空空,16000035,P.E.K.K.A,8,9,Musketeer,12,12,Dart Goblin,11,12,The Log,6,6,Earthquake,11,12,Ice Golem,12,12,Cannon Cart,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T100451.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8JYLL98U,【﻿ＨｅｙＩｔ’ｓＭａｒｋ】,6686,1,#299Q8QU,#Acél Bikák,16000162,Graveyard,6,6,Archer Queen,4,4,Tombstone,12,12,Valkyrie,12,12,Barbarian Barrel,9,9,Poison,9,9,Tornado,9,9,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#URGYPVVP,GalaxyTrousers,6676,0,#2PQR0U,I MIRMIDONI,16000081,Magic Archer,6,6,Poison,9,9,Zap,14,14,Electro Wizard,6,6,Bandit,6,6,Battle Ram,12,12,Royal Ghost,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
