type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T190913.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6561,1,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V9R98,мегапроулит,6570,0,#U0UR2L,Актив СНГ,16000010,Valkyrie,12,12,Freeze,9,9,Bowler,9,9,Electro Wizard,6,6,Tornado,9,9,Ice Wizard,6,6,Inferno Dragon,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T190518.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6534,3,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RC2LCLQ,SC l BOYKA,6505,0,#L80U020P,Team☠️NazGul,16000038,Giant,12,12,Inferno Dragon,6,6,Electro Wizard,6,6,Bowler,9,9,Graveyard,6,6,Wizard,12,12,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T190340.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6567,0,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJLVGGC2,CR⚡CEZYCEZARONE,6527,3,#99PPV0UG,IPERNOVA⚡™Over,16000008,Goblin Giant,9,9,Sparky,6,6,Zap,14,14,Rage,9,9,Mini P.E.K.K.A,12,12,Archer Queen,4,4,Heal Spirit,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T190207.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6598,0,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20YRYRCVP,Dobby,6585,3,#2UUGU2P2,Skillz,16000012,Skeleton King,4,4,Skeleton Army,9,9,Goblin Hut,12,12,Graveyard,6,6,Witch,9,9,Arrows,14,14,Bats,14,14,Bowler,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185856.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6631,1,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GUGGYR8R,Tiamat,6591,2,#92URLJYG,QLASH Sentry2,16000020,Goblin Gang,14,14,Minions,14,14,Zap,14,14,Fireball,12,12,Baby Dragon,9,9,Miner,6,6,Inferno Dragon,6,6,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185513.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6601,1,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QPL8RL8Q,Adam,6605,0,#QL2L9GCC,7K Rejects,16000012,Electro Giant,9,9,Inferno Dragon,6,6,Tornado,9,9,Lightning,9,9,Skeletons,14,14,Archer Queen,4,4,Goblin Cage,12,12,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185121.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6626,0,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRPUL8YR,Bolard0_13,6676,1,#PJ9PGCC9,⚔️bravehearts⚔️,16000004,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Minions,14,14,Tombstone,12,12,Goblin Gang,14,14,Lightning,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184533.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6653,0,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Electro Wizard,6,6,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29V9VLGQ2,⭐️ Striker ⭐️,6687,3,#LLGV9C8P,KarojBo$$,16000098,Lava Hound,6,6,Fireball,12,12,Zap,14,14,Skeleton Dragons,14,14,Tombstone,12,12,Mega Minion,12,12,Balloon,9,9,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184304.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6682,0,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P0URCRV,Hicham❤Snipe,6686,2,,,,Mini P.E.K.K.A,12,12,Sparky,6,6,Minion Horde,14,14,Bats,14,14,Giant,12,12,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183940.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6711,0,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29LGY2JGJ,carka,6719,2,#8GVGG2CC,R.I.P Angels,16000044,Sparky,6,6,Inferno Dragon,6,6,Bandit,6,6,Magic Archer,6,6,Mega Knight,6,6,Arrows,14,14,Mirror,9,9,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183449.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6740,0,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q2C8Y22,SlimJim CR,6746,1,#QRY9J9QY,Goat Riders,16000164,Musketeer,12,12,Ice Golem,12,12,Fire Spirit,14,14,Fireball,12,12,Cannon,14,14,Skeletons,14,14,Hog Rider,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164925.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6708,1,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QV2PYL,WoToP,6738,0,#LVQUJQG2,GOTAGANG,16000097,Royal Hogs,12,12,Flying Machine,12,12,Goblin Cage,12,12,Fireball,12,12,Royal Recruits,14,14,Zappies,12,12,Electro Spirit,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T095603.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6677,3,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82V8JLGU,IG:mhydinehakim,6692,2,#P8G8098G,clashing,16000167,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Zap,14,14,Fireball,12,12,Tombstone,12,12,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T094410.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8L29PQLL,DramaKing,6712,2,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P9GU0C2C,⚡SCORPION⚡,6644,3,#92LGR2LG,mashhad,16000044,Lava Hound,6,6,Inferno Dragon,6,6,Miner,6,6,Arrows,14,14,Balloon,9,9,Skeleton Dragons,14,14,Barbarians,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T002718.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8L29PQLL,DramaKing,6712,1,#9R88QR0,Wu-Nation,16000156,Freeze,9,9,Bowler,9,9,Skeleton King,4,4,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Tombstone,11,12,Graveyard,6,6,#YLJGUJGR,harry.k.89,,1,#9R88QR0,Wu-Nation,16000156,Tornado,8,9,Electro Giant,9,9,Goblin Cage,11,12,Bats,14,14,Archer Queen,4,4,Zap,14,14,Guards,9,9,Lightning,9,9,#9V9V80Q0Y,びつ,5415,0,#YQ9UP0RR,Lunatic Elf,16000171,Bats,14,14,Firecracker,14,14,Skeleton Barrel,14,14,Fireball,12,12,Barbarian Barrel,9,9,Dark Prince,9,9,Bandit,5,6,Mega Knight,6,6,#9Q0U898P8,かいと,,0,#802PJUJ2,ガゴ帝国,16000137,Valkyrie,12,12,The Log,5,6,Princess,5,6,Tesla,14,14,Rocket,12,12,Goblin Gang,14,14,Electro Spirit,14,14,Goblin Barrel,9,9
casual2v2,20220104T002310.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8L29PQLL,DramaKing,6712,3,#9R88QR0,Wu-Nation,16000156,Freeze,9,9,Bowler,9,9,Skeleton King,4,4,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Tombstone,11,12,Graveyard,6,6,#YLJGUJGR,harry.k.89,,3,#9R88QR0,Wu-Nation,16000156,Tornado,8,9,Electro Giant,9,9,Goblin Cage,11,12,Bats,14,14,Archer Queen,4,4,Zap,14,14,Guards,9,9,Lightning,9,9,#820L90Y2,SIDAICA,5429,0,#PLLGYLCU,Avenger VN,16000039,Tesla,14,14,Furnace,12,12,Earthquake,12,12,Goblin Hut,11,12,Mini P.E.K.K.A,11,12,Firecracker,14,14,Poison,8,9,Barbarian Barrel,9,9,#9CYUC20LY,sonia,,0,#QLYGVCJP,91/94,16000024,Rocket,12,12,Rage,9,9,Mirror,9,9,Furnace,12,12,Royal Recruits,14,14,Minion Horde,14,14,Elite Barbarians,14,14,Witch,9,9
