type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T164939.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8LJRGLJPL,<c3>Daaniiel™,6724,1,#LVG8C8Q8,Team Alpha MX,16000029,Inferno Dragon,6,6,Giant Snowball,14,14,Fireball,12,12,Lumberjack,6,6,Royal Ghost,6,6,Bandit,6,6,Ram Rider,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88CG9JY9C,Leogam09,6730,0,#8YLJ8UL2,Aftershock,16000011,The Log,6,6,Princess,6,6,Royal Ghost,6,6,Golden Knight,4,4,Lumberjack,6,6,Prince,9,9,Wizard,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164350.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8LJRGLJPL,<c3>Daaniiel™,6755,1,#LVG8C8Q8,Team Alpha MX,16000029,Inferno Dragon,6,6,Giant Snowball,14,14,Fireball,12,12,Lumberjack,6,6,Royal Ghost,6,6,Bandit,6,6,Ram Rider,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGCG8UL2P,yoan974,6737,3,#G0C2CC8C,YT=SOHEIL CR,16000117,Graveyard,6,6,Witch,9,9,Dark Prince,9,9,Zappies,12,12,Goblin Hut,12,12,Arrows,14,14,Barbarian Barrel,9,9,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T082707.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2Q0GCY0PR,<c3>Rodrigo®️,5852,3,#YPJ98JC2,Corazón Celeste,16000109,Golem,9,9,Balloon,9,9,Wizard,12,12,Tornado,9,9,Skeleton Army,9,9,Goblin Gang,14,14,Rage,8,9,Night Witch,6,6,#8LJRGLJPL,<c3>Daaniiel™,,3,,,,Mega Knight,6,6,Barbarian Barrel,9,9,Archer Queen,4,4,Arrows,14,14,Ram Rider,6,6,Dark Prince,9,9,Inferno Dragon,6,6,Lightning,9,9,#80QR2LLRL,きゃとる,5602,0,#P9G2YL2,初心者連合,16000146,Goblin Hut,12,12,Giant,12,12,Bomber,14,14,Arrows,14,14,Spear Goblins,14,14,Valkyrie,12,12,Night Witch,6,6,Prince,9,9,#9VPRU82P,HANGMAN,,0,#9L9P8QL8,καμένοι,16000063,Furnace,12,12,Goblin Hut,12,12,Earthquake,12,12,Executioner,9,9,Mini P.E.K.K.A,12,12,Hog Rider,12,12,Electro Wizard,6,6,Mega Knight,6,6
casual2v2,20220104T082356.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2Q0GCY0PR,<c3>Rodrigo®️,5852,1,#YPJ98JC2,Corazón Celeste,16000109,Golem,9,9,Balloon,9,9,Wizard,12,12,Tornado,9,9,Skeleton Army,9,9,Goblin Gang,14,14,Rage,8,9,Night Witch,6,6,#8LJRGLJPL,<c3>Daaniiel™,,1,,,,Mega Knight,6,6,Barbarian Barrel,9,9,Archer Queen,4,4,Arrows,14,14,Ram Rider,6,6,Dark Prince,9,9,Inferno Dragon,6,6,Lightning,9,9,#YJ29JCLL,panda,5530,0,#LGQC2G8,Monuments Men,16000177,Knight,14,14,Hog Rider,12,12,Earthquake,12,12,Mini P.E.K.K.A,12,12,Wizard,12,12,Bats,14,14,Firecracker,14,14,The Log,6,6,#9YVRVCJ8G,DARIUSZ 40,,0,#8CR80VQU,TAKA PAKA,16000069,Mega Knight,6,6,Rage,9,9,Valkyrie,12,12,Fireball,12,12,Archer Queen,3,4,Bats,14,14,Balloon,9,9,Mini P.E.K.K.A,12,12
casual2v2,20220104T082019.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8LJRGLJPL,<c3>Daaniiel™,6755,3,,,,Mega Knight,6,6,Barbarian Barrel,9,9,Archer Queen,4,4,Arrows,14,14,Ram Rider,6,6,Dark Prince,9,9,Inferno Dragon,6,6,Lightning,9,9,#2Q0GCY0PR,<c3>Rodrigo®️,,3,#YPJ98JC2,Corazón Celeste,16000109,Golem,9,9,Balloon,9,9,Wizard,12,12,Tornado,9,9,Skeleton Army,9,9,Goblin Gang,14,14,Rage,8,9,Night Witch,6,6,#2YRJCLQ99,완벽한사나이,5935,1,#2QG8QQR,AlphaGo,16000014,X-Bow,9,9,Skeletons,14,14,Knight,14,14,Tesla,14,14,Archers,14,14,Electro Spirit,14,14,The Log,6,6,Fireball,12,12,#UQVUYV8,Kvothe,,1,#QUY0C0,Los Parguelas,16000156,Elixir Golem,12,12,Battle Healer,12,12,Arrows,14,14,Heal Spirit,12,12,Inferno Dragon,6,6,Rage,9,9,Elite Barbarians,14,14,Electro Dragon,9,9
casual2v2,20220104T081911.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2Q0GCY0PR,<c3>Rodrigo®️,5852,3,#YPJ98JC2,Corazón Celeste,16000109,Golem,9,9,Balloon,9,9,Wizard,12,12,Tornado,9,9,Skeleton Army,9,9,Goblin Gang,14,14,Rage,8,9,Night Witch,6,6,#8LJRGLJPL,<c3>Daaniiel™,,3,,,,Mega Knight,6,6,Barbarian Barrel,9,9,Archer Queen,4,4,Arrows,14,14,Ram Rider,6,6,Dark Prince,9,9,Inferno Dragon,6,6,Lightning,9,9,#2C9L92GRC,foreat,5412,0,#28UG2VR,オーシャンブルー,16000054,Skeleton Army,9,9,Balloon,9,9,Freeze,9,9,The Log,6,6,Goblin Gang,14,14,Lumberjack,6,6,Wizard,12,12,Bats,14,14,#8LQ2JGLJY,미래채식주의자,,0,#8LPGQYU8,코리아,16000025,The Log,6,6,Royal Ghost,6,6,Valkyrie,12,12,Wizard,12,12,Baby Dragon,9,9,Fireball,12,12,Hog Rider,12,12,Inferno Dragon,5,6
casual2v2,20220104T081733.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8LJRGLJPL,<c3>Daaniiel™,6755,3,,,,Mega Knight,6,6,Barbarian Barrel,9,9,Archer Queen,4,4,Arrows,14,14,Ram Rider,6,6,Dark Prince,9,9,Inferno Dragon,6,6,Lightning,9,9,#2Q0GCY0PR,<c3>Rodrigo®️,,3,#YPJ98JC2,Corazón Celeste,16000109,Golem,9,9,Balloon,9,9,Wizard,12,12,Tornado,9,9,Skeleton Army,9,9,Goblin Gang,14,14,Rage,8,9,Night Witch,6,6,#9RP8829VC,永恒O(∩_∩)O虚迷,5695,0,#PRRJ9U2R,颈椎患者,16000150,Firecracker,14,14,Archer Queen,4,4,P.E.K.K.A,9,9,Wall Breakers,9,9,Hunter,9,9,Poison,9,9,Dark Prince,9,9,Zap,14,14,#8VQCC82G2,FLiPSON,,0,#QJVVY0QR,Pluizers Senior,16000096,The Log,5,6,Mega Knight,6,6,Wall Breakers,9,9,Magic Archer,6,6,Electro Spirit,14,14,Bats,14,14,Dart Goblin,12,12,Skeleton Barrel,14,14
casual2v2,20220104T081420.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2Q0GCY0PR,<c3>Rodrigo®️,5852,3,#YPJ98JC2,Corazón Celeste,16000109,Golem,9,9,Balloon,9,9,Wizard,12,12,Tornado,9,9,Skeleton Army,9,9,Goblin Gang,14,14,Rage,8,9,Night Witch,6,6,#8LJRGLJPL,<c3>Daaniiel™,,3,,,,Mega Knight,6,6,Barbarian Barrel,9,9,Archer Queen,4,4,Arrows,14,14,Ram Rider,6,6,Dark Prince,9,9,Inferno Dragon,6,6,Lightning,9,9,#2G0P9089,appy,5886,1,#8GLQRQCL,7th battalion,16000059,Executioner,9,9,The Log,6,6,Fire Spirit,14,14,Valkyrie,12,12,Hog Rider,12,12,Fireball,12,12,Zap,14,14,Barbarians,14,14,#28GURQJQ9,azhir,,1,#RQVGYR,guerreros pr,16000024,The Log,6,6,Ice Spirit,14,14,Fireball,12,12,Hog Rider,12,12,Ice Golem,12,12,Musketeer,12,12,Cannon,14,14,Skeletons,13,14
casual2v2,20220104T081044.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2Q0GCY0PR,<c3>Rodrigo®️,5852,2,#YPJ98JC2,Corazón Celeste,16000109,Golem,9,9,Balloon,9,9,Wizard,12,12,Tornado,9,9,Skeleton Army,9,9,Goblin Gang,14,14,Rage,8,9,Night Witch,6,6,#8LJRGLJPL,<c3>Daaniiel™,,2,,,,Mega Knight,6,6,Barbarian Barrel,9,9,Archer Queen,4,4,Arrows,14,14,Ram Rider,6,6,Dark Prince,9,9,Inferno Dragon,6,6,Lightning,9,9,#UPLVVJ28,inie,5457,0,#9GJJJCJ9,만전만승,16000126,Cannon,14,14,Hog Rider,12,12,Zap,14,14,Firecracker,14,14,Goblin Gang,14,14,Poison,9,9,Musketeer,12,12,Valkyrie,12,12,#909G9JJP,⚡️Dragon B.YiBi,,0,#GPYVPL,봄여름가을겨울,16000126,Arrows,14,14,Tesla,14,14,Furnace,12,12,Baby Dragon,9,9,Valkyrie,12,12,Earthquake,12,12,Flying Machine,12,12,Cannon Cart,9,9
casual2v2,20220104T080727.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2Q0GCY0PR,<c3>Rodrigo®️,5852,1,#YPJ98JC2,Corazón Celeste,16000109,Golem,9,9,Balloon,9,9,Wizard,12,12,Tornado,9,9,Skeleton Army,9,9,Goblin Gang,14,14,Rage,8,9,Night Witch,6,6,#8LJRGLJPL,<c3>Daaniiel™,,1,,,,Mega Knight,6,6,Barbarian Barrel,9,9,Archer Queen,4,4,Arrows,14,14,Ram Rider,6,6,Dark Prince,9,9,Inferno Dragon,6,6,Lightning,9,9,#928UR8802,小彩虹老公,5917,0,#YPLU9PGG,北巷清风,16000136,Magic Archer,6,6,Battle Ram,12,12,P.E.K.K.A,9,9,Poison,9,9,Zap,14,14,Bandit,6,6,Dark Prince,9,9,Electro Wizard,6,6,#GGJLCV8P,zet,,0,#9Q2980PR,Mkers RO,16000144,Balloon,9,9,Bowler,9,9,Lumberjack,6,6,Inferno Dragon,6,6,Electro Dragon,9,9,Freeze,9,9,Tornado,9,9,Barbarian Barrel,9,9
