type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T181701.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#8YG9JYL9V,Chaos l Annie,6023,0,#LUCU0PV2,OPEN GAMING,16000075,Knight,13,14,Bomb Tower,11,12,Princess,6,6,Dart Goblin,11,12,Skeleton Barrel,13,14,Skeleton Army,9,9,Goblin Barrel,9,9,The Log,6,6,#8PQLR9JUC,Asorio,,0,#LUCU0PV2,OPEN GAMING,16000075,Goblin Barrel,9,9,Skeleton Army,9,9,Bomb Tower,12,12,Princess,6,6,The Log,6,6,Skeleton Barrel,14,14,Dart Goblin,12,12,Knight,14,14,#8PUL8QL,Nissen,5299,3,#PPLRJ8CL,Ett salt gäng!,16000062,Inferno Dragon,6,6,Furnace,12,12,Goblin Gang,13,14,Mega Minion,12,12,Executioner,9,9,Mini P.E.K.K.A,12,12,Fireball,12,12,Ram Rider,6,6,#8GRYRQY0P,hirurg,,3,#2LYRPYLR,алко воины,16000072,Goblin Hut,12,12,The Log,5,6,Goblin Barrel,9,9,Mother Witch,6,6,Mega Knight,6,6,Mirror,8,9,Wizard,12,12,Fireball,11,12
PvP,20220104T171237.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PQLR9JUC,Asorio,6743,1,#82PLRYR,RSA Masters,16000013,Goblin Barrel,9,9,Skeleton Army,9,9,Bomb Tower,12,12,Princess,6,6,The Log,6,6,Skeleton Barrel,14,14,Dart Goblin,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GP8P,CR JAIME,6721,0,#2VVVRQLC,Caldo Riders,16000016,Royal Giant,14,14,Knight,14,14,Arrows,14,14,The Log,6,6,Barbarians,14,14,Archer Queen,4,4,Furnace,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170513.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PQLR9JUC,Asorio,6713,1,#82PLRYR,RSA Masters,16000013,Goblin Barrel,9,9,Skeleton Army,9,9,Bomb Tower,12,12,Princess,6,6,The Log,6,6,Skeleton Barrel,14,14,Dart Goblin,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GJ2GPGPJ,WHO AM I,6720,0,#Y0LJ82R2,THE CONQUEROR$™,16000139,Archer Queen,4,4,Ram Rider,6,6,Lightning,9,9,Giant Snowball,14,14,Mega Knight,6,6,Royal Ghost,6,6,Bandit,6,6,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165623.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PQLR9JUC,Asorio,6681,1,#82PLRYR,RSA Masters,16000013,Goblin Barrel,9,9,Skeleton Army,9,9,Bomb Tower,12,12,Princess,6,6,The Log,6,6,Skeleton Barrel,14,14,Dart Goblin,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YCJL0L,UnmortaI,6711,0,#CPVV9QJ,RoyalFlush II,16000077,Skeletons,14,14,The Log,6,6,Golden Knight,4,4,Royal Giant,14,14,Fisherman,6,6,Fireball,12,12,Mega Minion,12,12,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165101.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PQLR9JUC,Asorio,6654,1,#82PLRYR,RSA Masters,16000013,Goblin Barrel,9,9,Skeleton Army,9,9,Bomb Tower,12,12,Princess,6,6,The Log,6,6,Skeleton Barrel,14,14,Dart Goblin,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LUGVG9PC,WILL GILBERT,6628,0,,,,Inferno Tower,12,12,Goblin Barrel,9,9,Electro Spirit,14,14,Valkyrie,12,12,The Log,6,6,Princess,6,6,Guards,9,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164701.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PQLR9JUC,Asorio,6686,0,#82PLRYR,RSA Masters,16000013,Goblin Barrel,9,9,Skeleton Army,9,9,Bomb Tower,12,12,Princess,6,6,The Log,6,6,Skeleton Barrel,14,14,Dart Goblin,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9ULG8VQ,Nzo_Cr,6656,1,#LR0Y09P0,Bacchus Esport,16000043,Graveyard,6,6,Barbarians,14,14,Freeze,9,9,Skeleton Dragons,14,14,Musketeer,12,12,Barbarian Barrel,9,9,Arrows,14,14,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164323.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PQLR9JUC,Asorio,6659,1,#82PLRYR,RSA Masters,16000013,Goblin Barrel,9,9,Skeleton Army,9,9,Bomb Tower,12,12,Princess,6,6,The Log,6,6,Skeleton Barrel,14,14,Dart Goblin,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VRLQLU2C,Gui mello,6628,0,#LJYUG9QC,9LEGIÃO,16000138,Witch,9,9,Fireball,12,12,Electro Wizard,6,6,Golden Knight,4,4,Dark Prince,9,9,Valkyrie,12,12,Hog Rider,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163916.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PQLR9JUC,Asorio,6633,1,#82PLRYR,RSA Masters,16000013,Goblin Barrel,9,9,Skeleton Army,9,9,Bomb Tower,12,12,Princess,6,6,The Log,6,6,Skeleton Barrel,14,14,Dart Goblin,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QUUQQPJP,Linjiakun,6592,0,#YP8RYJ0C,clanpeyo4,16000099,Graveyard,6,6,Giant Snowball,14,14,Giant,12,12,Musketeer,12,12,Skeleton Army,9,9,Arrows,14,14,Bowler,9,9,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163522.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PQLR9JUC,Asorio,6665,0,#82PLRYR,RSA Masters,16000013,Goblin Barrel,9,9,Skeleton Army,9,9,Bomb Tower,12,12,Princess,6,6,The Log,6,6,Skeleton Barrel,14,14,Dart Goblin,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R90PRV0PY,Ryley,6632,1,#Y89VR8JL,Juvenile,16000040,The Log,6,6,Dart Goblin,12,12,Guards,9,9,Fireball,12,12,Bats,14,14,Rascals,14,14,Mortar,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163024.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PQLR9JUC,Asorio,6693,0,#82PLRYR,RSA Masters,16000013,Goblin Barrel,9,9,Skeleton Army,9,9,Bomb Tower,12,12,Princess,6,6,The Log,6,6,Skeleton Barrel,14,14,Dart Goblin,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UU80UJ0G,GE Uberius⚔️,6714,1,#YJ0VJR9Q,Guardian Empire,16000007,Giant,12,12,Night Witch,6,6,Lightning,9,9,Wizard,12,12,Dark Prince,9,9,Tombstone,12,12,Miner,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
