type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
riverRacePvP,20220104T151305.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#8PR8QU2LV,Mau FBM,6768,0,#9U0U208Y,Kings of Death,16000003,Goblin Cage,10,12,Executioner,7,9,Poison,7,9,Prince,9,9,Ram Rider,6,6,Skeleton King,2,4,Dark Prince,7,9,Mini P.E.K.K.A,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QYUPQ802,T4u,5720,1,#22RGYVJ,THAI RIDER,16000071,Electro Giant,9,9,Tornado,9,9,Dark Prince,9,9,Mother Witch,6,6,Goblin Cage,12,12,Barbarian Barrel,9,9,Lightning,9,9,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T150842.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#8PR8QU2LV,Mau FBM,6768,2,#9U0U208Y,Kings of Death,16000003,P.E.K.K.A,9,9,Electro Dragon,7,9,Balloon,8,9,Magic Archer,6,6,Zap,14,14,Knight,12,14,The Log,6,6,Skeletons,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P08LLUG2,.:NobodYEpiC:.,5842,0,#2VR82C9,Elite Balloons,16000116,Elixir Collector,11,12,P.E.K.K.A,8,9,Dart Goblin,11,12,Skeleton Barrel,13,14,Fisherman,3,6,Rage,7,9,Royal Recruits,13,14,Barbarians,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T150449.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#8PR8QU2LV,Mau FBM,6768,3,#9U0U208Y,Kings of Death,16000003,Mega Minion,12,12,Valkyrie,10,12,Elixir Collector,12,12,Giant,11,12,Sparky,6,6,Arrows,12,14,Inferno Tower,10,12,Wizard,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89JJ2U0UC,Will-ins,5596,1,#Y2V22U2Q,GAY GAY GAY GAY,16000167,Executioner,9,9,Royal Giant,13,14,Furnace,12,12,Fire Spirit,13,14,Valkyrie,12,12,Minions,14,14,Arrows,13,14,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T145657.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#8PR8QU2LV,Mau FBM,6768,1,#9U0U208Y,Kings of Death,16000003,Mega Knight,6,6,Prince,9,9,Bandit,6,6,Magic Archer,6,6,Elixir Collector,12,12,Zap,14,14,The Log,6,6,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9RGUG98,CN.one 刺客伍六七,6412,0,#LUJQGJ,CN.one,16000000,Golden Knight,2,4,Mega Knight,6,6,Executioner,9,9,Tornado,9,9,Lightning,9,9,Ram Rider,6,6,P.E.K.K.A,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T145313.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#8PR8QU2LV,Mau FBM,6768,3,#9U0U208Y,Kings of Death,16000003,Mega Knight,6,6,Prince,9,9,Bandit,6,6,Magic Archer,6,6,Elixir Collector,12,12,Zap,14,14,The Log,6,6,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLL88RRQV,무빈,5433,0,#20YU992Q,대한민국 로얄 협회,16000126,Mega Knight,6,6,Princess,6,6,Arrows,13,14,Goblin Hut,12,12,Furnace,12,12,Flying Machine,12,12,The Log,5,6,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T145015.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#8PR8QU2LV,Mau FBM,6768,1,#9U0U208Y,Kings of Death,16000003,Mega Knight,6,6,Prince,9,9,Bandit,6,6,Magic Archer,6,6,Elixir Collector,12,12,Zap,14,14,The Log,6,6,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P8R9LLRV,Faken,6055,0,#9CPYJ20Q,80.90【射手营】,16000077,Ice Spirit,14,14,Goblins,14,14,Valkyrie,12,12,Hog Rider,12,12,Tornado,8,9,The Log,5,6,Rocket,12,12,Executioner,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T144647.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#8PR8QU2LV,Mau FBM,6768,0,#9U0U208Y,Kings of Death,16000003,Mega Knight,6,6,Prince,9,9,Bandit,6,6,Magic Archer,6,6,Elixir Collector,12,12,Zap,14,14,The Log,6,6,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQGVCL2R,Victar,6417,1,#RJ8VPQ,Vietnam,16000039,Goblin Cage,12,12,Baby Dragon,9,9,Lightning,9,9,Tornado,9,9,Bats,14,14,Inferno Dragon,6,6,Dark Prince,9,9,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T144326.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#8PR8QU2LV,Mau FBM,6768,0,#9U0U208Y,Kings of Death,16000003,Mega Knight,6,6,Prince,9,9,Bandit,6,6,Magic Archer,6,6,Elixir Collector,12,12,Zap,14,14,The Log,6,6,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RLL8G009,yc,5924,1,#9QCUQRRY,Yank Bank,16000111,Archer Queen,4,4,Bandit,6,6,Battle Ram,12,12,Electro Wizard,6,6,Fireball,12,12,P.E.K.K.A,9,9,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T065206.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#8PR8QU2LV,Mau FBM,6768,2,#9U0U208Y,Kings of Death,16000003,Ram Rider,3,6,The Log,3,6,Magic Archer,3,6,Mega Knight,3,6,Prince,6,9,Elixir Collector,9,12,Zap,11,14,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2J0RYLR,Ives Rz,5270,1,#PJPCCL02,Baleadas HN,16000146,Ram Rider,3,6,Golden Knight,1,4,Mega Knight,3,6,Skeleton Army,6,9,Zap,11,14,Valkyrie,9,12,Wizard,9,12,Hog Rider,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T064803.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#8PR8QU2LV,Mau FBM,6768,2,#9U0U208Y,Kings of Death,16000003,Ram Rider,3,6,The Log,3,6,Magic Archer,3,6,Mega Knight,3,6,Prince,6,9,Elixir Collector,9,12,Zap,11,14,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P8PJRV8L,FRIDAY20Tin,5232,1,#VCCQUV,烽火連城,16000005,Ram Rider,3,6,The Log,3,6,Electro Wizard,3,6,Mini P.E.K.K.A,9,12,Bowler,6,9,Bandit,3,6,Mega Knight,3,6,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
