type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T164822.000Z,,54000012,Legendary Arena,72000007,Friendly,,collection,#8PRQYVRPG,Raul,6798,1,#PCLV8PVP,Ping guys Royal,16000044,P.E.K.K.A,6,9,Royal Ghost,3,6,Bandit,3,6,Electro Wizard,3,6,Zap,11,14,Inferno Dragon,3,6,Ram Rider,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G0JQYVYY,LGZ CheckmateG™,5196,0,,,,Knight,11,14,Ice Spirit,11,14,Skeletons,11,14,Archers,11,14,The Log,3,6,Tornado,6,9,Mortar,11,14,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T053951.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PRQYVRPG,Raul,6762,1,,,,Miner,6,6,Zap,14,14,Graveyard,6,6,Dark Prince,9,9,Barbarians,14,14,Inferno Tower,12,12,Arrows,14,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JR029VYG9,L ✨,6835,0,,,,Rocket,12,12,Bandit,6,6,Dark Prince,9,9,Cannon Cart,9,9,Giant Snowball,14,14,Rascals,14,14,Goblin Barrel,9,9,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T053101.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PRQYVRPG,Raul,6728,1,,,,Miner,6,6,Zap,14,14,Graveyard,6,6,Dark Prince,9,9,Barbarians,14,14,Inferno Tower,12,12,Arrows,14,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L020JLR0,iPhone,6780,0,,,,Lumberjack,6,6,Balloon,9,9,Tornado,9,9,Barbarian Barrel,9,9,Freeze,9,9,Inferno Dragon,6,6,Bowler,9,9,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T024128.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PRQYVRPG,Raul,6693,1,,,,Miner,6,6,Zap,14,14,Graveyard,6,6,Dark Prince,9,9,Barbarians,14,14,Inferno Tower,12,12,Arrows,14,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QPGR0CV8,⚡️PS Rony,6760,0,#PV0V98LC,⚡PERÚ SQUAD⚡,16000177,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Inferno Dragon,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T023731.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PRQYVRPG,Raul,6660,1,,,,Miner,6,6,Zap,14,14,Graveyard,6,6,Dark Prince,9,9,Barbarians,14,14,Inferno Tower,12,12,Arrows,14,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YRJULRCR,Kauã ♥️X-Bow,6700,0,#YPL0CYUP,ELZ1 eSports,16000122,Giant,12,12,Prince,9,9,Mega Minion,12,12,Fireball,12,12,Miner,6,6,Dark Prince,9,9,Electro Wizard,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T023407.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PRQYVRPG,Raul,6630,1,,,,Miner,6,6,Zap,14,14,Graveyard,6,6,Dark Prince,9,9,Barbarians,14,14,Inferno Tower,12,12,Arrows,14,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VR88C2VP,Synzz,6636,0,#LP2LCGVG,Ad Astra,16000040,Skeleton Army,9,9,Zap,14,14,Giant,12,12,Fireball,12,12,Graveyard,6,6,Bowler,9,9,Electro Wizard,6,6,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T015953.000Z,,54000017,Master III,72000007,Friendly,,collection,#8PRQYVRPG,Raul,6630,1,#LQGLYYGQ,CHL9,16000036,Freeze,6,9,Tornado,6,9,Graveyard,3,6,Dark Prince,6,9,Baby Dragon,6,9,Bomber,11,14,Goblin Cage,9,12,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YYQJ0PRC,✨TrainerHector✨,6600,0,#LQGLYYGQ,CHL9,16000036,Royal Hogs,9,12,Archer Queen,1,4,Skeletons,11,14,Fire Spirit,11,14,Goblin Cage,9,12,Earthquake,9,12,The Log,3,6,Royal Delivery,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T012651.000Z,,54000017,Master III,72000007,Friendly,,collection,#8PRQYVRPG,Raul,6630,1,#LQGLYYGQ,CHL9,16000036,P.E.K.K.A,6,9,Giant Snowball,11,14,Barbarian Barrel,6,9,Baby Dragon,6,9,Fireball,9,12,Electro Wizard,3,6,Bandit,3,6,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PCPU08RP,☆Little⚡Salazar,5396,0,#LQGLYYGQ,CHL9,16000036,Goblin Drill,6,9,Tornado,6,9,Magic Archer,3,6,Skeletons,11,14,Bandit,3,6,Royal Ghost,3,6,Wall Breakers,6,9,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T194555.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PRQYVRPG,Raul,6603,3,#PCLV8PVP,Ping guys Royal,16000044,Miner,6,6,Zap,14,14,Graveyard,6,6,Dark Prince,9,9,Barbarians,14,14,Inferno Tower,12,12,Arrows,14,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLUGQQ8G,HunteR™,6569,1,#9PG00RUU,challenger’s,16000030,Golem,9,9,Tornado,9,9,Mega Minion,12,12,Night Witch,6,6,Elite Barbarians,14,14,Barbarian Barrel,9,9,Baby Dragon,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T194112.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8PRQYVRPG,Raul,6570,2,#PCLV8PVP,Ping guys Royal,16000044,Miner,6,6,Zap,14,14,Graveyard,6,6,Dark Prince,9,9,Barbarians,14,14,Inferno Tower,12,12,Arrows,14,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#288VCYLYL,boldenground,6605,0,#QQ9U2UUY,ananas,16000141,Elite Barbarians,14,14,Zap,14,14,Electro Dragon,9,9,Elixir Golem,12,12,Battle Healer,12,12,Arrows,14,14,Inferno Dragon,6,6,Rage,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
