type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T012731.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QRCJQ9Y,RAD,6796,1,#YJY2GLP0,らっでぃんの隠れ家,16000170,Ice Golem,12,12,Hog Rider,12,12,Mini P.E.K.K.A,12,12,Archer Queen,4,4,Bats,14,14,Skeletons,14,14,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80GYYCV,Ceski,6813,0,#28V2QQ9C,Rocket's,16000166,Skeleton King,4,4,Fireball,12,12,Spear Goblins,14,14,Arrows,14,14,Skeleton Barrel,14,14,Skeleton Army,9,9,Bats,14,14,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T012301.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QRCJQ9Y,RAD,6768,1,#YJY2GLP0,らっでぃんの隠れ家,16000170,Ice Golem,12,12,Hog Rider,12,12,Mini P.E.K.K.A,12,12,Archer Queen,4,4,Bats,14,14,Skeletons,14,14,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LYGCL8Q,Cami10125,6755,0,#LQ0JLC2U,•ToxicSquad•,16000107,Goblin Cage,12,12,Graveyard,6,6,Skeleton King,4,4,Electro Wizard,6,6,Poison,9,9,Mega Minion,12,12,Barbarian Barrel,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T011916.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QRCJQ9Y,RAD,6739,1,#YJY2GLP0,らっでぃんの隠れ家,16000170,Ice Golem,12,12,Hog Rider,12,12,Mini P.E.K.K.A,12,12,Archer Queen,4,4,Bats,14,14,Skeletons,14,14,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRGJQ82Y,Captain Cookie,6728,0,#QC8R0888,Fierce Force,16000002,Electro Giant,9,9,Prince,9,9,Tornado,8,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T011432.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QRCJQ9Y,RAD,6711,2,#YJY2GLP0,らっでぃんの隠れ家,16000170,Ice Golem,12,12,Hog Rider,12,12,Mini P.E.K.K.A,12,12,Archer Queen,4,4,Bats,14,14,Skeletons,14,14,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U0VQ0PPR,GS❤️上杉绘梨衣,6696,1,#99G0VYU,无与伦比,16000165,P.E.K.K.A,9,9,Fireball,12,12,Electro Wizard,6,6,Archer Queen,4,4,Royal Ghost,6,6,Bandit,6,6,Zap,14,14,Battle Ram,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T010638.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#8QRCJQ9Y,RAD,6711,0,#YJY2GLP0,らっでぃんの隠れ家,16000170,Skeletons,11,14,Dart Goblin,9,12,Fireball,9,12,Royal Ghost,3,6,Fire Spirit,11,14,Goblin Barrel,6,9,Prince,6,9,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G82VJ9LV,Youssef,6600,1,#8YVV9YUR,Veterans Élite™,16000036,Mega Knight,3,6,Bandit,3,6,Lightning,6,9,Giant Snowball,11,14,Ram Rider,3,6,Archer Queen,1,4,Electro Spirit,11,14,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T010311.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,5,eventDeck,#8QRCJQ9Y,RAD,6711,3,#YJY2GLP0,らっでぃんの隠れ家,16000170,Skeletons,11,14,Dart Goblin,9,12,Fireball,9,12,Royal Ghost,3,6,Fire Spirit,11,14,Goblin Barrel,6,9,Prince,6,9,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CL09YRRP,carado,5029,0,#YVU8L928,Fachas,16000172,Spear Goblins,11,14,Wall Breakers,6,9,Bomb Tower,9,12,Tornado,6,9,Fireball,9,12,Miner,3,6,Knight,11,14,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T005956.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#8QRCJQ9Y,RAD,6711,1,#YJY2GLP0,らっでぃんの隠れ家,16000170,Skeletons,11,14,Dart Goblin,9,12,Fireball,9,12,Royal Ghost,3,6,Fire Spirit,11,14,Goblin Barrel,6,9,Prince,6,9,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCRGVVJJ2,masamune,6462,0,#9P99L98G,mirage,16000015,Valkyrie,9,12,Goblin Drill,6,9,Fire Spirit,11,14,Bomber,11,14,Fireball,9,12,Skeletons,11,14,The Log,3,6,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T005558.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#8QRCJQ9Y,RAD,6711,2,#YJY2GLP0,らっでぃんの隠れ家,16000170,Skeletons,11,14,Dart Goblin,9,12,Fireball,9,12,Royal Ghost,3,6,Fire Spirit,11,14,Goblin Barrel,6,9,Prince,6,9,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VCLRC8RV,CAL Husse16✨,6541,1,#L9VRJ,Calalas España,16000161,X-Bow,6,9,Bowler,6,9,Furnace,9,12,Poison,6,9,Hunter,6,9,Giant Snowball,11,14,Battle Healer,9,12,Mirror,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T005121.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#8QRCJQ9Y,RAD,6711,1,#YJY2GLP0,らっでぃんの隠れ家,16000170,Skeletons,11,14,Dart Goblin,9,12,Fireball,9,12,Royal Ghost,3,6,Fire Spirit,11,14,Goblin Barrel,6,9,Prince,6,9,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RPQP2PG0,PoH,6426,0,#LRVU200R,休憩,16000141,Skeleton King,1,4,Miner,3,6,Skeleton Army,6,9,Bats,11,14,Spear Goblins,11,14,Mortar,11,14,Minion Horde,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T004314.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#8QRCJQ9Y,RAD,6711,2,#YJY2GLP0,らっでぃんの隠れ家,16000170,Skeletons,11,14,Dart Goblin,9,12,Fireball,9,12,Royal Ghost,3,6,Fire Spirit,11,14,Goblin Barrel,6,9,Prince,6,9,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LPVQ98P2L,<c2>VAN_HopS♨️,5621,1,#2G2QRQRP,BandiZ,16000027,Balloon,6,9,Lumberjack,3,6,Inferno Dragon,3,6,Barbarian Barrel,6,9,Bowler,6,9,Freeze,6,9,Tornado,6,9,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
