type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T173528.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QYCJR99,只是 \ Ⓜ️a̶a̶a̶a̶,6780,1,#LQ29JQUJ,Bad Meta.,16000144,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Royal Hogs,12,12,Earthquake,12,12,The Log,6,6,Archer Queen,4,4,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R09228V,SK Morten,6774,2,#YUGJCLGU,SK Free2Play,16000044,Musketeer,12,12,The Log,6,6,Earthquake,12,12,Mini P.E.K.K.A,12,12,Skeletons,14,14,Bats,14,14,Hog Rider,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172957.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QYCJR99,只是 \ Ⓜ️a̶a̶a̶a̶,6810,1,#LQ29JQUJ,Bad Meta.,16000144,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Royal Hogs,12,12,Earthquake,12,12,The Log,6,6,Archer Queen,4,4,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JU990YGV,⭐LORD_MA3N⭐,6799,2,#L8P02JCG,Mula Gang,16000139,Bomber,14,14,Skeletons,14,14,Archer Queen,4,4,Electro Giant,9,9,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172418.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QYCJR99,只是 \ Ⓜ️a̶a̶a̶a̶,6837,1,#LQ29JQUJ,Bad Meta.,16000144,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Royal Hogs,12,12,Earthquake,12,12,The Log,6,6,Archer Queen,4,4,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYQ8PY90J,chicopercebe,6867,2,#YV2JRC0Q,CRL NOVA I MEX5,16000111,Mega Knight,6,6,Balloon,9,9,Electro Spirit,14,14,Minions,14,14,Ice Golem,12,12,Hunter,9,9,Giant Snowball,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172002.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QYCJR99,只是 \ Ⓜ️a̶a̶a̶a̶,6807,1,#LQ29JQUJ,Bad Meta.,16000144,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Royal Hogs,12,12,Earthquake,12,12,The Log,6,6,Archer Queen,4,4,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LU8RU02U,Taha,6809,0,#QVQ99R0U,haydi 12J,16000030,Rocket,12,12,The Log,6,6,Tornado,9,9,Executioner,9,9,Valkyrie,12,12,Hog Rider,12,12,Electro Spirit,14,14,Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171506.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QYCJR99,只是 \ Ⓜ️a̶a̶a̶a̶,6841,0,#LQ29JQUJ,Bad Meta.,16000144,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Royal Hogs,12,12,Earthquake,12,12,The Log,6,6,Archer Queen,4,4,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRRQUVG9,⭐️King⭐️Texas⚡️,6791,3,#P0LLG9RG,QLASH Eclipse,16000077,Bowler,9,9,Electro Giant,9,9,Lightning,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Barbarian Barrel,9,9,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161037.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QYCJR99,只是 \ Ⓜ️a̶a̶a̶a̶,6865,1,#LQ29JQUJ,Bad Meta.,16000144,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Royal Hogs,12,12,Earthquake,12,12,The Log,6,6,Archer Queen,4,4,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JCLGUCP,Lil⚡Koda⚡,6925,2,#LQ898LYC,TW: @KodaClash,16000002,Mega Knight,6,6,Bats,14,14,Musketeer,12,12,Bandit,6,6,Wall Breakers,9,9,Barbarian Barrel,9,9,Miner,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160531.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QYCJR99,只是 \ Ⓜ️a̶a̶a̶a̶,6834,2,#LQ29JQUJ,Bad Meta.,16000144,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Royal Hogs,12,12,Earthquake,12,12,The Log,6,6,Archer Queen,4,4,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YLC8YL8J,⛔⛔Emre⛔⛔WARRİOR,6853,1,#2JG9CJYV,DİRİLİŞ TÜRKİYE,16000030,P.E.K.K.A,9,9,Lumberjack,6,6,Balloon,9,9,Electro Wizard,6,6,Baby Dragon,9,9,Freeze,8,9,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155939.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QYCJR99,只是 \ Ⓜ️a̶a̶a̶a̶,6804,2,#LQ29JQUJ,Bad Meta.,16000144,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Royal Hogs,12,12,Earthquake,12,12,The Log,6,6,Archer Queen,4,4,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8899L8V20,OKAN,6807,1,#LVJPJVV0,instagram,16000146,The Log,6,6,Skeletons,13,14,Knight,14,14,Tesla,14,14,Electro Spirit,14,14,Princess,6,6,Goblin Barrel,9,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155501.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QYCJR99,只是 \ Ⓜ️a̶a̶a̶a̶,6834,1,#LQ29JQUJ,Bad Meta.,16000144,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Royal Hogs,12,12,Earthquake,12,12,The Log,6,6,Archer Queen,4,4,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29C8YJRUP,ayoub Darken,6830,3,#QG9RL,maroc,16000146,Giant,12,12,Giant Snowball,14,14,Skeleton Army,9,9,Minions,14,14,Graveyard,6,6,Musketeer,12,12,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154824.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8QYCJR99,只是 \ Ⓜ️a̶a̶a̶a̶,6806,1,#LQ29JQUJ,Bad Meta.,16000144,Skeletons,14,14,Fire Spirit,14,14,Royal Delivery,14,14,Royal Hogs,12,12,Earthquake,12,12,The Log,6,6,Archer Queen,4,4,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPJ0Q2RQ,MONYK,6788,0,#9RQYJGUY,Furia Nocturna,16000044,Goblin Cage,12,12,Skeletons,14,14,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Royal Giant,14,14,Fisherman,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
