type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T162512.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#8R8Q2URYJ,黑榜戰神太阳子粉丝混子手,6760,2,#PULLC80P,樱花の幻想,16000131,Mirror,6,9,Skeleton Barrel,11,14,Royal Hogs,9,12,Magic Archer,3,6,Knight,11,14,Lumberjack,3,6,Skeleton Army,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LJVJURLQP,matias,5935,1,#QVQGCY29,RAGNAROK,16000012,Mirror,6,9,Skeleton Barrel,11,14,Royal Hogs,9,12,Magic Archer,3,6,Knight,11,14,Lumberjack,3,6,Skeleton Army,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T120722.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#8R8Q2URYJ,黑榜戰神太阳子粉丝混子手,6760,6,#PULLC80P,樱花の幻想,16000131,Royal Ghost,6,6,Electro Wizard,6,6,Magic Archer,6,6,Elite Barbarians,14,14,Barbarian Barrel,8,9,Heal Spirit,11,12,Bandit,6,6,Battle Ram,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YCJ2Q8LV,akusto,5150,3,#2PQ8PRUR,北京,16000142,Lava Hound,6,6,Mega Minion,12,12,Balloon,9,9,Zap,14,14,Goblin Cage,12,12,Skeleton Dragons,14,14,Guards,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T091856.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8R8Q2URYJ,黑榜戰神太阳子粉丝混子手,6729,1,#PULLC80P,樱花の幻想,16000131,P.E.K.K.A,9,9,Magic Archer,6,6,Bandit,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Royal Ghost,6,6,Arrows,14,14,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RGCVRL0V,清歌丨IKONIK,6744,0,#LLU0VJ0U,Trade #1,16000017,P.E.K.K.A,9,9,Royal Ghost,6,6,Bandit,6,6,Battle Ram,12,12,Magic Archer,6,6,Zap,14,14,Fireball,12,12,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T091341.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8R8Q2URYJ,黑榜戰神太阳子粉丝混子手,6698,1,#PULLC80P,樱花の幻想,16000131,P.E.K.K.A,9,9,Magic Archer,6,6,Bandit,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Royal Ghost,6,6,Arrows,14,14,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89LY9LU2Y,Matte™️,6719,0,#Y0QR0Y2U,NoA,16000009,Tornado,8,9,Lightning,9,9,Goblin Cage,12,12,Skeletons,14,14,Dark Prince,9,9,Electro Giant,9,9,Inferno Dragon,6,6,Bomber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T090805.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8R8Q2URYJ,黑榜戰神太阳子粉丝混子手,6672,1,#PULLC80P,樱花の幻想,16000131,P.E.K.K.A,9,9,Magic Archer,6,6,Bandit,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Royal Ghost,6,6,Arrows,14,14,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#998VVJ9G,<c3>ESK ⚡Floxi⚡,6633,0,#QJ29QJGY,Legends Gang™,16000098,Freeze,9,9,Graveyard,6,6,Mega Minion,12,12,Baby Dragon,9,9,Barbarian Barrel,9,9,Dark Prince,9,9,Tornado,8,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T090448.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8R8Q2URYJ,黑榜戰神太阳子粉丝混子手,6705,0,#PULLC80P,樱花の幻想,16000131,P.E.K.K.A,9,9,Magic Archer,6,6,Bandit,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Royal Ghost,6,6,Arrows,14,14,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80UCCUJRL,ルイージ,6670,1,,,,Bandit,6,6,Dark Prince,9,9,Rascals,14,14,Princess,6,6,Guards,9,9,Rocket,12,12,Goblin Barrel,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T090134.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8R8Q2URYJ,黑榜戰神太阳子粉丝混子手,6679,1,#PULLC80P,樱花の幻想,16000131,P.E.K.K.A,9,9,Magic Archer,6,6,Bandit,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Royal Ghost,6,6,Arrows,14,14,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QC2GV02J,alpee36?,6644,0,#P2J8V89L,Zizi Festif,16000078,Goblin Drill,9,9,Fire Spirit,14,14,Skeletons,14,14,Valkyrie,12,12,The Log,6,6,Tesla,14,14,Fireball,12,12,Firecracker,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T072930.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8R8Q2URYJ,黑榜戰神太阳子粉丝混子手,6710,0,#PULLC80P,樱花の幻想,16000131,Elite Barbarians,14,14,Magic Archer,6,6,Bandit,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Royal Ghost,6,6,Arrows,14,14,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VRRYRUJU,HardCounTeRRR,6693,1,#LLULVYRR,Island Boys,16000133,Inferno Tower,12,12,Electro Spirit,14,14,Guards,9,9,Princess,6,6,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T072445.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8R8Q2URYJ,黑榜戰神太阳子粉丝混子手,6738,1,#PULLC80P,樱花の幻想,16000131,Wall Breakers,9,9,Magic Archer,6,6,Bandit,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Royal Ghost,6,6,Arrows,14,14,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2GV0Q9C,Dominican CR☠️,6751,3,#LQ82RJQ2,nerf al minero,16000108,Barbarian Barrel,9,9,Dark Prince,9,9,Royal Hogs,12,12,Bats,14,14,Mega Knight,6,6,Electro Spirit,14,14,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T072136.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8R8Q2URYJ,黑榜戰神太阳子粉丝混子手,6705,1,#PULLC80P,樱花の幻想,16000131,Wall Breakers,9,9,Magic Archer,6,6,Bandit,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Royal Ghost,6,6,Arrows,14,14,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VLQG8R80,Super Aboudi,6747,0,,,,Bowler,9,9,Electro Wizard,6,6,Baby Dragon,9,9,Inferno Dragon,6,6,Graveyard,6,6,Valkyrie,12,12,Tornado,9,9,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
