type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T054409.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RCGQL28,LD_Gupy™,6743,1,#LLJQ8Y2Y,Enemy,16000028,Balloon,9,9,Valkyrie,12,12,Bandit,6,6,Ice Wizard,6,6,Tombstone,12,12,Bats,14,14,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P2GQ8UC,Ghostpsycho,6709,0,#28C9P2V,The Lost Island,16000146,Mortar,14,14,Miner,6,6,Fireball,12,12,Archer Queen,4,4,Bats,14,14,Guards,9,9,The Log,6,6,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T054005.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RCGQL28,LD_Gupy™,6712,3,#LLJQ8Y2Y,Enemy,16000028,Balloon,9,9,Valkyrie,12,12,Bandit,6,6,Ice Wizard,6,6,Tombstone,12,12,Bats,14,14,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,6729,2,#8UL8V0Q0,CLASHwithINDIAN,16000059,Lava Hound,6,6,Mega Minion,12,12,Tombstone,12,12,Barbarians,14,14,Lightning,9,9,Zap,14,14,Skeleton Dragons,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T053342.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RCGQL28,LD_Gupy™,6747,1,#LLJQ8Y2Y,Enemy,16000028,Balloon,9,9,Valkyrie,12,12,Bandit,6,6,Ice Wizard,6,6,Tombstone,12,12,Bats,14,14,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LPPJ2YGP,⭐Rafa⭐,6683,2,#Y2JLVUU0,FAMILIA HN⚡,16000144,P.E.K.K.A,9,9,Bandit,6,6,Royal Ghost,6,6,Fireball,12,12,Magic Archer,6,6,Electro Wizard,6,6,Battle Ram,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T052928.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RCGQL28,LD_Gupy™,6774,0,#LLJQ8Y2Y,Enemy,16000028,Balloon,9,9,Valkyrie,12,12,Bandit,6,6,Ice Wizard,6,6,Tombstone,12,12,Bats,14,14,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PP0UG0CVC,LUCAS,6799,1,,,,Miner,6,6,The Log,6,6,Golden Knight,4,4,Bats,14,14,Wall Breakers,9,9,Spear Goblins,14,14,Bomb Tower,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T052037.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RCGQL28,LD_Gupy™,6745,2,#LLJQ8Y2Y,Enemy,16000028,Balloon,9,9,Valkyrie,12,12,Bandit,6,6,Ice Wizard,6,6,Tombstone,12,12,Bats,14,14,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R2YVUPRU,NOVA I JOKER,6737,1,#99RUQP2J,あつまれ！バーバリアンカフェ,16000044,Bats,14,14,Inferno Tower,12,12,Ice Golem,12,12,Giant Snowball,14,14,Miner,6,6,The Log,6,6,Rascals,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T051524.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RCGQL28,LD_Gupy™,6720,1,#LLJQ8Y2Y,Enemy,16000028,Balloon,9,9,Valkyrie,12,12,Bandit,6,6,Ice Wizard,6,6,Tombstone,12,12,Bats,14,14,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C982GRLR,ELMEROLECK❤️,6662,0,#2CYC8VR2,Sangre nueva,16000028,Electro Giant,9,9,Dark Prince,9,9,Tornado,9,9,Earthquake,12,12,Skeletons,14,14,Archer Queen,4,4,Tombstone,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T051122.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RCGQL28,LD_Gupy™,6750,0,#LLJQ8Y2Y,Enemy,16000028,Balloon,9,9,Valkyrie,12,12,Bandit,6,6,Ice Wizard,6,6,Tombstone,12,12,Bats,14,14,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JC0JRL2,Adrian Piedra✊,6739,1,,,,Mortar,14,14,Knight,14,14,The Log,6,6,Fireball,12,12,Miner,6,6,Bats,14,14,Skeletons,14,14,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T045150.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RCGQL28,LD_Gupy™,6723,1,#LLJQ8Y2Y,Enemy,16000028,Balloon,9,9,Valkyrie,12,12,Bandit,6,6,Ice Wizard,6,6,Tombstone,12,12,Bats,14,14,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9L9Y9L,SAHITYA,6696,0,#9QJ82PPJ,hamro clan,16000044,Ice Spirit,14,14,Skeletons,14,14,The Log,6,6,Ice Golem,12,12,Cannon,14,14,Rocket,12,12,Hog Rider,12,12,Musketeer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T044645.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RCGQL28,LD_Gupy™,6690,1,#LLJQ8Y2Y,Enemy,16000028,Balloon,9,9,Valkyrie,12,12,Bandit,6,6,Ice Wizard,6,6,Tombstone,12,12,Bats,14,14,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QGGQJP8,⚓Steven⚓,6729,0,#QYR09JVY,El Salvador,16000032,Giant,12,12,Fireball,12,12,Dark Prince,9,9,Prince,9,9,Sparky,6,6,Arrows,14,14,Bats,14,14,Electro Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T044323.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RCGQL28,LD_Gupy™,6659,1,#LLJQ8Y2Y,Enemy,16000028,Balloon,9,9,Valkyrie,12,12,Bandit,6,6,Ice Wizard,6,6,Tombstone,12,12,Bats,14,14,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GCUVJYP,David,6676,0,,,,Mega Knight,6,6,Inferno Dragon,6,6,Electro Wizard,6,6,Zap,14,14,Miner,6,6,Bats,14,14,Bandit,6,6,The Log,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
