type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T152159.000Z,,54000017,Master III,72000007,Friendly,,collection,#8RJJL8UY9,THA♥️nei,6847,0,#G9982V0Y,They areクラコロ,16000145,Golem,6,9,Night Witch,3,6,Mini P.E.K.K.A,9,12,Skeleton Army,6,9,Mega Minion,9,12,Bomber,11,14,Tornado,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GLG0JGYR,しっかー,6636,1,#9J2808R2,∽Sword Dance∽,16000028,Ice Spirit,11,14,The Log,3,6,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Musketeer,9,12,Skeletons,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T151634.000Z,,54000017,Master III,72000007,Friendly,,collection,#8RJJL8UY9,THA♥️nei,6847,1,#G9982V0Y,They areクラコロ,16000145,Golem,6,9,Night Witch,3,6,Mini P.E.K.K.A,9,12,Skeleton Army,6,9,Mega Minion,9,12,Bomber,11,14,Tornado,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GLG0JGYR,しっかー,6636,0,#9J2808R2,∽Sword Dance∽,16000028,Ice Spirit,11,14,The Log,3,6,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Musketeer,9,12,Skeletons,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T151212.000Z,,54000017,Master III,72000007,Friendly,,collection,#8RJJL8UY9,THA♥️nei,6847,1,#G9982V0Y,They areクラコロ,16000145,Golem,6,9,Night Witch,3,6,Mini P.E.K.K.A,9,12,Skeleton Army,6,9,Mega Minion,9,12,Bomber,11,14,Tornado,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GLG0JGYR,しっかー,6636,0,#9J2808R2,∽Sword Dance∽,16000028,Ice Spirit,11,14,The Log,3,6,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Musketeer,9,12,Skeletons,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate2v2,20220104T145956.000Z,,54000017,Master III,72000014,TeamVsTeam,,collection,#8RJJL8UY9,THA♥️nei,,1,#G9982V0Y,They areクラコロ,16000145,Skeleton Barrel,11,14,Guards,6,9,Dart Goblin,9,12,The Log,3,6,Goblin Barrel,6,9,Inferno Tower,9,12,Valkyrie,9,12,Rocket,9,12,#82Y9YGJ2,高島ざくろ,,1,#G9982V0Y,They areクラコロ,16000145,Goblin Barrel,6,9,Valkyrie,9,12,Skeleton Barrel,11,14,Skeletons,11,14,Dart Goblin,9,12,Tesla,11,14,Fireball,9,12,Arrows,11,14,#PPLCU0VYJ,MiniPuri,,0,#G9982V0Y,They areクラコロ,16000145,Royal Giant,11,14,Archer Queen,1,4,Arrows,11,14,Fireball,9,12,Lumberjack,3,6,Skeletons,11,14,Mega Minion,9,12,Goblin Cage,9,12,#Y8CRG99QC,橘希実香,,0,#G9982V0Y,They areクラコロ,16000145,Giant Skeleton,6,9,Mother Witch,3,6,Lightning,6,9,Archer Queen,1,4,Royal Giant,11,14,Skeletons,11,14,Electro Spirit,11,14,The Log,3,6
clanMate2v2,20220104T145307.000Z,,54000017,Master III,72000014,TeamVsTeam,,collection,#8RJJL8UY9,THA♥️nei,,1,#G9982V0Y,They areクラコロ,16000145,Lava Hound,3,6,Flying Machine,9,12,Skeleton Dragons,11,14,Inferno Dragon,3,6,Golden Knight,1,4,Miner,3,6,Fisherman,3,6,Arrows,11,14,#82Y9YGJ2,高島ざくろ,,1,#G9982V0Y,They areクラコロ,16000145,Lava Hound,3,6,Flying Machine,9,12,Baby Dragon,6,9,Tombstone,9,12,Miner,3,6,Barbarians,11,14,Mega Minion,9,12,Fireball,9,12,#PPLCU0VYJ,MiniPuri,,0,#G9982V0Y,They areクラコロ,16000145,Flying Machine,9,12,Lava Hound,3,6,Inferno Dragon,3,6,Electro Dragon,6,9,Giant Snowball,11,14,Skeleton Army,6,9,Poison,6,9,Goblin Cage,9,12,#Y8CRG99QC,橘希実香,,0,#G9982V0Y,They areクラコロ,16000145,Lava Hound,3,6,Guards,6,9,Arrows,11,14,Fireball,9,12,Golden Knight,1,4,Miner,3,6,Skeleton Dragons,11,14,Mega Minion,9,12
clanMate,20220104T140734.000Z,,54000017,Master III,72000007,Friendly,,collection,#8RJJL8UY9,THA♥️nei,6847,1,#G9982V0Y,They areクラコロ,16000145,P.E.K.K.A,6,9,Zap,11,14,Battle Ram,9,12,Electro Wizard,3,6,Bandit,3,6,Fireball,9,12,Magic Archer,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9L0P2LJJR,まりも,6600,0,#G9982V0Y,They areクラコロ,16000145,Goblin Drill,6,9,Wall Breakers,6,9,Fireball,9,12,Guards,6,9,Dart Goblin,9,12,Valkyrie,9,12,Inferno Tower,9,12,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T140221.000Z,,54000017,Master III,72000007,Friendly,,collection,#8RJJL8UY9,THA♥️nei,6847,2,#G9982V0Y,They areクラコロ,16000145,Lava Hound,3,6,Balloon,6,9,Arrows,11,14,Mega Minion,9,12,Barbarians,11,14,Fireball,9,12,Inferno Dragon,3,6,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQRY020LQ,まいまいさんぽ,6161,1,#G9982V0Y,They areクラコロ,16000145,Lava Hound,3,6,Balloon,6,9,Fireball,9,12,Tombstone,9,12,Mega Minion,9,12,Skeleton Dragons,11,14,Zap,11,14,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T134307.000Z,,54000017,Master III,72000007,Friendly,,collection,#8RJJL8UY9,THA♥️nei,6847,1,#G9982V0Y,They areクラコロ,16000145,The Log,3,6,Royal Delivery,11,14,Fire Spirit,11,14,Skeletons,11,14,Earthquake,9,12,Royal Hogs,9,12,Bomber,11,14,Hunter,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PC82Y28VP,みどRin,6070,0,#G9982V0Y,They areクラコロ,16000145,Valkyrie,9,12,Fireball,9,12,Dart Goblin,9,12,Guards,6,9,Skeleton Barrel,11,14,Goblin Barrel,6,9,The Log,3,6,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T133259.000Z,,54000017,Master III,72000007,Friendly,,collection,#8RJJL8UY9,THA♥️nei,6847,1,#G9982V0Y,They areクラコロ,16000145,P.E.K.K.A,6,9,Zap,11,14,Battle Ram,9,12,Electro Wizard,3,6,Bandit,3,6,Fireball,9,12,Magic Archer,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2889L0GRG,なめこ,6600,0,#G9982V0Y,They areクラコロ,16000145,Lava Hound,3,6,Flying Machine,9,12,Golden Knight,1,4,Goblin Cage,9,12,Miner,3,6,Skeleton Dragons,11,14,Arrows,11,14,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T131934.000Z,,54000015,Master I,72000007,Friendly,,collection,#8RJJL8UY9,THA♥️nei,6847,1,#G9982V0Y,They areクラコロ,16000145,Knight,11,14,Giant Snowball,11,14,Bats,11,14,The Log,3,6,Fire Spirit,11,14,Wall Breakers,6,9,Skeletons,11,14,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LUGYGJYL,はるひと,6000,0,#G9982V0Y,They areクラコロ,16000145,Mega Knight,3,6,Archer Queen,1,4,Wall Breakers,6,9,Arrows,11,14,Prince,6,9,Royal Ghost,3,6,Zap,11,14,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
