type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220103T205948.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQL0PYG,Trainer Rémi,6706,1,#8VYPCVQ9,Scylla eSports,16000008,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RVR9GQY8,Timy,6701,0,#YJV8LPP2,La Resistencia,16000028,Archer Queen,4,4,Bandit,6,6,Electro Spirit,14,14,Barbarian Barrel,9,9,Lightning,9,9,Mega Knight,6,6,Ram Rider,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T201927.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQL0PYG,Trainer Rémi,6675,1,#8VYPCVQ9,Scylla eSports,16000008,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RU8YCPCQ,こう,6689,0,#YVP82V0Q,実力主義,16000029,Ice Wizard,6,6,Valkyrie,12,12,Tombstone,12,12,Poison,9,9,Baby Dragon,9,9,Tornado,8,9,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T185430.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQL0PYG,Trainer Rémi,6648,1,#8VYPCVQ9,Scylla eSports,16000008,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q9PGVUY8,nito,6617,0,#PV2G9U2L,darkzero,16000109,Goblin Drill,9,9,Wall Breakers,9,9,Fireball,12,12,Skeleton Army,9,9,Dart Goblin,12,12,Valkyrie,12,12,Tesla,14,14,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T185036.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQL0PYG,Trainer Rémi,6618,1,#8VYPCVQ9,Scylla eSports,16000008,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YQ80JLPJ,⭐FB LARRY CR⭐,6625,0,#LGR8UVCY,⚡Team Dibaga⚡,16000164,Hog Rider,12,12,Valkyrie,12,12,Earthquake,12,12,The Log,6,6,Firecracker,14,14,Tesla,14,14,Electro Spirit,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T184547.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQL0PYG,Trainer Rémi,6589,1,#8VYPCVQ9,Scylla eSports,16000008,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QQQCV88GG,Gladiator X-Bow,6582,0,#YUYL8VGL,Divine Assassin,16000004,Archer Queen,4,4,X-Bow,9,9,Valkyrie,12,12,Skeletons,14,14,The Log,6,6,Rocket,12,12,Tesla,14,14,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T184138.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQL0PYG,Trainer Rémi,6618,0,#8VYPCVQ9,Scylla eSports,16000008,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CGYRL29,pedro martineli,6623,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Royal Delivery,14,14,Skeletons,14,14,Earthquake,12,12,Electro Spirit,14,14,The Log,6,6,Knight,14,14,Miner,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T183041.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQL0PYG,Trainer Rémi,6591,1,#8VYPCVQ9,Scylla eSports,16000008,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CUCUVLYU,GIATSI,6563,0,#P8VP98LY,PROMETHEUS GR,16000000,Valkyrie,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Electro Wizard,6,6,P.E.K.K.A,9,9,Zap,14,14,Heal Spirit,12,12,Rage,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T182704.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQL0PYG,Trainer Rémi,6622,0,#8VYPCVQ9,Scylla eSports,16000008,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RVRJPLG2,Ellie is hot,6599,1,#PJY9PP98,Always Baked,16000035,Spear Goblins,14,14,Skeleton Barrel,14,14,Miner,6,6,Bats,14,14,Mega Knight,6,6,Prince,9,9,Zap,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T182319.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQL0PYG,Trainer Rémi,6596,1,#8VYPCVQ9,Scylla eSports,16000008,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0Y82UQ2Q,~XX~ TIGER ~,6555,0,#YP00GY20,اصدقاء العمر™,16000024,Skeleton Barrel,14,14,Valkyrie,12,12,Skeleton Army,9,9,Freeze,9,9,Balloon,9,9,Minion Horde,14,14,Fireball,12,12,Firecracker,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T181716.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQL0PYG,Trainer Rémi,6570,1,#8VYPCVQ9,Scylla eSports,16000008,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,9,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VVQ00GV,ARG︱Artemis달❄,6529,0,#QYG0Y9RQ,One Life,16000096,Graveyard,6,6,Tombstone,12,12,Barbarian Barrel,9,9,Baby Dragon,9,9,Poison,9,9,Archer Queen,4,4,Tornado,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
