type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T185803.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#8RQLJYVQJ,Atlasas,6746,1,#LJYCVYGY,WRLD,16000146,Ram Rider,3,6,Bowler,6,9,Electro Giant,6,9,Goblin Cage,9,12,Electro Dragon,6,9,Tornado,6,9,Electro Spirit,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YPLR890Q2,Ichigo Kurosaki,5325,0,#G0U8C9LY,MXE,16000167,Ram Rider,3,6,Goblin Gang,11,14,Royal Delivery,11,14,Dart Goblin,9,12,Mini P.E.K.K.A,9,12,Bandit,3,6,The Log,3,6,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T185138.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#8RQLJYVQJ,Atlasas,6746,0,#LJYCVYGY,WRLD,16000146,Ram Rider,3,6,Bandit,3,6,Lumberjack,3,6,Archer Queen,1,4,Electro Wizard,3,6,Barbarian Barrel,6,9,Heal Spirit,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J8C8VUY,joachimmelby,5606,1,#28U0L2CP,Clash Loyale DK,16000060,Ram Rider,3,6,Mega Knight,3,6,Lightning,6,9,Archer Queen,1,4,Bandit,3,6,Royal Ghost,3,6,Giant Snowball,11,14,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T184647.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#8RQLJYVQJ,Atlasas,6746,1,#LJYCVYGY,WRLD,16000146,Ram Rider,3,6,Bandit,3,6,Lumberjack,3,6,Archer Queen,1,4,Electro Wizard,3,6,Barbarian Barrel,6,9,Heal Spirit,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U008P9VP,ZePingolino,4856,0,#82C99C8,Implacaveis,16000058,Ram Rider,3,6,Archer Queen,1,4,Electro Giant,6,9,Valkyrie,9,12,Baby Dragon,6,9,Goblin Gang,11,14,Princess,3,6,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T184329.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,2,eventDeck,#8RQLJYVQJ,Atlasas,6746,1,#LJYCVYGY,WRLD,16000146,Ram Rider,3,6,Bandit,3,6,Lumberjack,3,6,Archer Queen,1,4,Electro Wizard,3,6,Barbarian Barrel,6,9,Heal Spirit,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PRCC28YL,topo,5167,0,,,,Ram Rider,3,6,P.E.K.K.A,6,9,Golden Knight,1,4,Zap,11,14,Electro Wizard,3,6,Magic Archer,3,6,Fireball,9,12,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T183856.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,1,eventDeck,#8RQLJYVQJ,Atlasas,6746,1,#LJYCVYGY,WRLD,16000146,Ram Rider,3,6,Bandit,3,6,Lumberjack,3,6,Archer Queen,1,4,Electro Wizard,3,6,Barbarian Barrel,6,9,Heal Spirit,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GU2PCCVU,SAMTEXZ,5214,0,#QUYVVP2R,Shambala,16000136,Ram Rider,3,6,Inferno Dragon,3,6,Electro Wizard,3,6,Golden Knight,1,4,P.E.K.K.A,6,9,Barbarian Barrel,6,9,Fireball,9,12,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T183432.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#8RQLJYVQJ,Atlasas,6746,2,#LJYCVYGY,WRLD,16000146,Ram Rider,3,6,Bandit,3,6,Lumberjack,3,6,Archer Queen,1,4,Electro Wizard,3,6,Barbarian Barrel,6,9,Heal Spirit,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LQVRVJL2,NERDSLAYER:/,5204,1,#QPYYY98Y,log,16000145,Ram Rider,3,6,Skeletons,11,14,Zap,11,14,Skeleton Army,6,9,Firecracker,11,14,Dark Prince,6,9,Fireball,9,12,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165638.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQLJYVQJ,Atlasas,6713,1,#LJYCVYGY,WRLD,16000146,Giant Skeleton,9,9,Cannon Cart,9,9,Skeleton Barrel,14,14,Goblin Hut,12,12,Skeleton Dragons,14,14,Fire Spirit,14,14,Tornado,9,9,Clone,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22PYGQRC,✨Luis YP✨,6754,0,#8R0VRQPU,CR Dream Team,16000004,Rocket,12,12,Bandit,6,6,Dark Prince,9,9,Cannon Cart,9,9,Giant Snowball,14,14,Rascals,14,14,Goblin Barrel,9,9,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165324.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQLJYVQJ,Atlasas,6742,0,#LJYCVYGY,WRLD,16000146,Giant Skeleton,9,9,Cannon Cart,9,9,Skeleton Barrel,14,14,Goblin Hut,12,12,Skeleton Dragons,14,14,Fire Spirit,14,14,Tornado,9,9,Clone,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LG0Y0UCC,FDP⚡Forme,6750,1,#LY2LGR29,QLASH Reality,16000007,Giant,12,12,Mega Minion,12,12,Prince,9,9,Guards,9,9,Golden Knight,4,4,Lightning,9,9,Zap,14,14,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164803.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQLJYVQJ,Atlasas,6710,1,#LJYCVYGY,WRLD,16000146,Giant Skeleton,9,9,Cannon Cart,9,9,Skeleton Barrel,14,14,Goblin Hut,12,12,Skeleton Dragons,14,14,Fire Spirit,14,14,Tornado,9,9,Clone,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQ8UV8JL,ACE MiguelDヅ,6735,0,#LV9RU8J2,Los Toys,16000028,Ram Rider,6,6,Barbarian Barrel,9,9,Fireball,12,12,Bandit,6,6,Dark Prince,9,9,P.E.K.K.A,9,9,Electro Wizard,6,6,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164242.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RQLJYVQJ,Atlasas,6741,0,#LJYCVYGY,WRLD,16000146,Giant Skeleton,9,9,Cannon Cart,9,9,Skeleton Barrel,14,14,Goblin Hut,12,12,Skeleton Dragons,14,14,Fire Spirit,14,14,Tornado,9,9,Clone,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UJPPP9UL,cece,6720,1,#YC0VQCC0,NoBrain NoGame,16000078,Golden Knight,4,4,Furnace,12,12,Mother Witch,6,6,Goblin Hut,12,12,Barbarian Barrel,9,9,Lightning,9,9,Mega Minion,12,12,Goblin Giant,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
