type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T160228.000Z,,54000017,Master III,72000007,Friendly,,collection,#8RU999Q9G,◆mustard◆,6821,1,#QCCJV2C0,アウムー,16000064,Goblin Giant,6,9,Ice Golem,9,12,Sparky,3,6,Goblin Gang,11,14,Fireball,9,12,Barbarian Barrel,6,9,Minion Horde,11,14,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY80UR9UQ,Aquavit,6012,0,#QCCJV2C0,アウムー,16000064,Cannon Cart,6,9,Princess,3,6,Goblin Drill,6,9,Barbarians,11,14,Rocket,9,12,Bandit,3,6,Royal Delivery,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T155237.000Z,,54000015,Master I,72000007,Friendly,,collection,#8RU999Q9G,◆mustard◆,6821,2,#QCCJV2C0,アウムー,16000064,Skeleton Barrel,11,14,Minion Horde,11,14,Furnace,9,12,Lightning,6,9,Graveyard,3,6,Arrows,11,14,Royal Ghost,3,6,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY80UR9UQ,Aquavit,6012,1,#QCCJV2C0,アウムー,16000064,Electro Giant,6,9,Fireball,9,12,Bomber,11,14,Inferno Dragon,3,6,Skeleton Dragons,11,14,Dark Prince,6,9,Tornado,6,9,Fisherman,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T154421.000Z,,54000015,Master I,72000007,Friendly,,collection,#8RU999Q9G,◆mustard◆,6821,2,#QCCJV2C0,アウムー,16000064,Bandit,3,6,Flying Machine,9,12,Tornado,6,9,Skeleton Barrel,11,14,Golem,6,9,Hunter,6,9,Clone,6,9,Spear Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY80UR9UQ,Aquavit,6012,1,#QCCJV2C0,アウムー,16000064,Princess,3,6,Bomber,11,14,Rocket,9,12,Fisherman,3,6,Mini P.E.K.K.A,9,12,The Log,3,6,Wall Breakers,6,9,Skeleton Dragons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T153742.000Z,,54000015,Master I,72000007,Friendly,,collection,#8RU999Q9G,◆mustard◆,6821,1,#QCCJV2C0,アウムー,16000064,Royal Delivery,11,14,Balloon,6,9,Tesla,11,14,Battle Healer,9,12,Earthquake,9,12,Three Musketeers,9,12,Fire Spirit,11,14,Spear Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY80UR9UQ,Aquavit,6012,0,#QCCJV2C0,アウムー,16000064,Giant,9,12,Hunter,6,9,Prince,6,9,Heal Spirit,9,12,Poison,6,9,Lumberjack,3,6,Tornado,6,9,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T153118.000Z,,54000017,Master III,72000007,Friendly,,collection,#8RU999Q9G,◆mustard◆,6821,0,#QCCJV2C0,アウムー,16000064,Skeleton Dragons,11,14,Graveyard,3,6,P.E.K.K.A,6,9,Dark Prince,6,9,Freeze,6,9,Skeleton Barrel,11,14,Giant Snowball,11,14,Golem,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY80UR9UQ,Aquavit,6012,1,#QCCJV2C0,アウムー,16000064,Zappies,9,12,Royal Giant,11,14,Barbarian Barrel,6,9,Witch,6,9,Lightning,6,9,Hunter,6,9,Fisherman,3,6,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T152606.000Z,,54000017,Master III,72000007,Friendly,,collection,#8RU999Q9G,◆mustard◆,6821,0,#QCCJV2C0,アウムー,16000064,Rascals,11,14,Sparky,3,6,Electro Wizard,3,6,Rocket,9,12,Royal Hogs,9,12,Ice Spirit,11,14,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY80UR9UQ,Aquavit,6012,1,#QCCJV2C0,アウムー,16000064,Bomber,11,14,Earthquake,9,12,Fisherman,3,6,The Log,3,6,Goblin Hut,9,12,Mega Knight,3,6,Mega Minion,9,12,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T152024.000Z,,54000015,Master I,72000007,Friendly,,collection,#8RU999Q9G,◆mustard◆,6821,1,#QCCJV2C0,アウムー,16000064,Lightning,6,9,Inferno Tower,9,12,Magic Archer,3,6,Bandit,3,6,Ice Spirit,11,14,Arrows,11,14,Goblin Barrel,6,9,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY80UR9UQ,Aquavit,6012,0,#QCCJV2C0,アウムー,16000064,Tornado,6,9,Hunter,6,9,Freeze,6,9,P.E.K.K.A,6,9,Heal Spirit,9,12,Knight,11,14,Goblin Barrel,6,9,Battle Ram,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T151547.000Z,,54000017,Master III,72000007,Friendly,,collection,#8RU999Q9G,◆mustard◆,6821,0,#QCCJV2C0,アウムー,16000064,Battle Healer,9,12,Skeletons,11,14,X-Bow,6,9,Giant Snowball,11,14,Tesla,11,14,Flying Machine,9,12,Freeze,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY80UR9UQ,Aquavit,6012,1,#QCCJV2C0,アウムー,16000064,Bandit,3,6,Tornado,6,9,Firecracker,11,14,Poison,6,9,Cannon Cart,6,9,Mega Knight,3,6,Bats,11,14,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T150911.000Z,,54000017,Master III,72000007,Friendly,,collection,#8RU999Q9G,◆mustard◆,6821,1,#QCCJV2C0,アウムー,16000064,Barbarian Hut,9,12,Fisherman,3,6,Fireball,9,12,Rascals,11,14,Zap,11,14,Graveyard,3,6,Barbarians,11,14,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY80UR9UQ,Aquavit,6012,0,#QCCJV2C0,アウムー,16000064,Tornado,6,9,Ice Golem,9,12,Inferno Tower,9,12,Hog Rider,9,12,Freeze,6,9,Minions,11,14,Royal Ghost,3,6,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T072956.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8RU999Q9G,◆mustard◆,6793,1,#QCCJV2C0,アウムー,16000064,Rascals,14,14,Dark Prince,9,9,Cannon Cart,9,9,The Log,6,6,Princess,6,6,Spear Goblins,14,14,Goblin Barrel,9,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQQYJ9QYR,NS｜黎明,6777,0,#9JGP2P2R,女✨神✨的✨世✨界,16000111,Lumberjack,6,6,Ram Rider,6,6,Bandit,6,6,Inferno Dragon,6,6,Magic Archer,6,6,Barbarian Barrel,9,9,Ice Golem,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
