type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T135128.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8U9C8JRGJ,梦执✨,6907,1,#9LRRVY,u jump! i jump!,16000013,P.E.K.K.A,9,9,Bandit,6,6,Minions,14,14,Miner,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L9CRPL92C,terter 3,7085,0,#LR0VPRPU,Twitch,16000008,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134713.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8U9C8JRGJ,梦执✨,6879,1,#9LRRVY,u jump! i jump!,16000013,P.E.K.K.A,9,9,Bandit,6,6,Minions,14,14,Miner,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCUJ2ULP,aboo,6864,0,#PPJPQLRP,Ir Wolves☆☆,16000107,Graveyard,6,6,Elite Barbarians,14,14,Archer Queen,4,4,Giant,12,12,Skeleton Army,9,9,Arrows,14,14,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134314.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8U9C8JRGJ,梦执✨,6913,0,#9LRRVY,u jump! i jump!,16000013,P.E.K.K.A,9,9,Bandit,6,6,Minions,14,14,Miner,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJUUV9CV,βⱮƓ I Zorro ♤,6861,1,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133237.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8U9C8JRGJ,梦执✨,6881,3,#9LRRVY,u jump! i jump!,16000013,P.E.K.K.A,9,9,Bandit,6,6,Minions,14,14,Miner,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JGCJG0G,BigSpin❤️Geier,6914,0,#P9VLJRRR,Biggi's Bande,16000158,Dark Prince,9,9,Prince,9,9,Ram Rider,6,6,Bandit,6,6,Golden Knight,4,4,Battle Ram,12,12,Mega Knight,6,6,Rage,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T095100.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#8U9C8JRGJ,梦执✨,6881,3,#9LRRVY,u jump! i jump!,16000013,Ram Rider,3,6,Skeletons,11,14,Zap,11,14,Bats,11,14,Archer Queen,1,4,Mirror,6,9,Mega Knight,3,6,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LJPVPRG8,顎だ。,5624,1,#Y9JQ9QPP,Vip Room,16000038,Ram Rider,3,6,Mother Witch,3,6,Royal Ghost,3,6,Electro Wizard,3,6,P.E.K.K.A,6,9,Golden Knight,1,4,Barbarian Barrel,6,9,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T094607.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#8U9C8JRGJ,梦执✨,6881,2,#9LRRVY,u jump! i jump!,16000013,Ram Rider,3,6,Skeletons,11,14,Zap,11,14,Bats,11,14,Archer Queen,1,4,Mirror,6,9,Mega Knight,3,6,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8209C2PGL,aka,5792,1,#89RVYP2V,Gâteaux Secs,16000078,Ram Rider,3,6,Golden Knight,1,4,Bandit,3,6,Royal Ghost,3,6,Inferno Dragon,3,6,Lumberjack,3,6,Magic Archer,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T094252.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,5,eventDeck,#8U9C8JRGJ,梦执✨,6881,2,#9LRRVY,u jump! i jump!,16000013,Ram Rider,3,6,Skeletons,11,14,Zap,11,14,Bats,11,14,Archer Queen,1,4,Mirror,6,9,Mega Knight,3,6,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLP00JP,DPAIN,5824,1,#Y8RG9GV,HashManiac,16000163,Ram Rider,3,6,Wall Breakers,6,9,Goblin Gang,11,14,Dart Goblin,9,12,Tombstone,9,12,Valkyrie,9,12,Mini P.E.K.K.A,9,12,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T093940.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#8U9C8JRGJ,梦执✨,6881,3,#9LRRVY,u jump! i jump!,16000013,Ram Rider,3,6,Skeletons,11,14,Zap,11,14,Bats,11,14,Archer Queen,1,4,Mirror,6,9,Mega Knight,3,6,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYQV0G9GR,Mici,5197,0,#P99Y0UYR,INDIA,16000165,Ram Rider,3,6,Rocket,9,12,Giant Skeleton,6,9,Bowler,6,9,Skeleton Barrel,11,14,Battle Healer,9,12,Electro Dragon,6,9,Heal Spirit,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T093654.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#8U9C8JRGJ,梦执✨,6881,3,#9LRRVY,u jump! i jump!,16000013,Ram Rider,3,6,Skeletons,11,14,Zap,11,14,Bats,11,14,Archer Queen,1,4,Mirror,6,9,Mega Knight,3,6,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9JQJR0Y,drindrin27,5262,0,#QRV88YCJ,Valhalla,16000026,Ram Rider,3,6,Wizard,9,12,Executioner,6,9,Mother Witch,3,6,Electro Wizard,3,6,Golden Knight,1,4,Zap,11,14,Rage,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T093416.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,2,eventDeck,#8U9C8JRGJ,梦执✨,6881,3,#9LRRVY,u jump! i jump!,16000013,Ram Rider,3,6,Skeletons,11,14,Zap,11,14,Bats,11,14,Archer Queen,1,4,Mirror,6,9,Mega Knight,3,6,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9V9QYRV00,ROCKSPIDER101,5114,1,#2U08GUU,Afrikaans 18+,16000014,Ram Rider,3,6,Tesla,11,14,Electro Wizard,3,6,Golden Knight,1,4,Giant Snowball,11,14,The Log,3,6,Mega Knight,3,6,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
