type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T085859.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#8UR09G8YL,☆PRS☆⭐Cerdillo⭐,6886,1,#PLYJJ0QL,Puercos Reales,16000159,Ram Rider,3,6,Golden Knight,1,4,Lumberjack,3,6,Ice Spirit,11,14,Heal Spirit,9,12,Zap,11,14,Bats,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VYVLJJU,SaVaGe,5504,2,#YRY0VPGU,iranian,16000003,Ram Rider,3,6,Mega Knight,3,6,Firecracker,11,14,Fireball,9,12,Tombstone,9,12,Ice Golem,9,12,Skeleton Army,6,9,Mirror,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T085418.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#8UR09G8YL,☆PRS☆⭐Cerdillo⭐,6886,1,#PLYJJ0QL,Puercos Reales,16000159,Ram Rider,3,6,Golden Knight,1,4,Lumberjack,3,6,Ice Spirit,11,14,Heal Spirit,9,12,Zap,11,14,Bats,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RVQJ0GLV,Makarona,5256,0,,,,Ram Rider,3,6,Bowler,6,9,Valkyrie,9,12,Wizard,9,12,Musketeer,9,12,The Log,3,6,Zap,11,14,Inferno Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T085052.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,2,eventDeck,#8UR09G8YL,☆PRS☆⭐Cerdillo⭐,6886,3,#PLYJJ0QL,Puercos Reales,16000159,Ram Rider,3,6,Golden Knight,1,4,Lumberjack,3,6,Ice Spirit,11,14,Heal Spirit,9,12,Zap,11,14,Bats,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GQRJUC9,wall,5480,2,#8YYR2UR,Guadalajara,16000144,Ram Rider,3,6,Electro Wizard,3,6,Mirror,6,9,Skeleton Army,6,9,Clone,6,9,Giant Skeleton,6,9,Lumberjack,3,6,Wizard,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T084658.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,1,eventDeck,#8UR09G8YL,☆PRS☆⭐Cerdillo⭐,6886,3,#PLYJJ0QL,Puercos Reales,16000159,Ram Rider,3,6,Golden Knight,1,4,Lumberjack,3,6,Ice Spirit,11,14,Heal Spirit,9,12,Zap,11,14,Bats,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PU9ULJ2J0,だんご,5356,0,#UQUYUU,StArKicKers,16000040,Ram Rider,3,6,Ice Spirit,11,14,Electro Spirit,11,14,Bats,11,14,Wall Breakers,6,9,Zap,11,14,Dart Goblin,9,12,Zappies,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T082327.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#8UR09G8YL,☆PRS☆⭐Cerdillo⭐,6886,0,#PLYJJ0QL,Puercos Reales,16000159,Miner,3,6,The Log,3,6,Arrows,11,14,Hunter,6,9,Giant Skeleton,6,9,Fisherman,3,6,Inferno Dragon,3,6,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RVJJVQUL0,what is love!?,5927,1,#YJJY80C9,iran tiger,16000002,Goblin Giant,6,9,Mini P.E.K.K.A,9,12,Sparky,3,6,Zap,11,14,Rage,6,9,Minions,11,14,Heal Spirit,9,12,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T071215.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8UR09G8YL,☆PRS☆⭐Cerdillo⭐,6852,1,#PLYJJ0QL,Puercos Reales,16000159,Miner,6,6,The Log,6,6,Arrows,14,14,Hunter,9,9,Giant Skeleton,9,9,Fisherman,6,6,Inferno Dragon,6,6,Tornado,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L020JLR0,iPhone,6901,0,,,,Freeze,9,9,Valkyrie,12,12,Inferno Dragon,6,6,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Electro Wizard,6,6,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T063951.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8UR09G8YL,☆PRS☆⭐Cerdillo⭐,6820,1,#PLYJJ0QL,Puercos Reales,16000159,Miner,6,6,The Log,6,6,Arrows,14,14,Hunter,9,9,Giant Skeleton,9,9,Fisherman,6,6,Inferno Dragon,6,6,Tornado,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YLC8YL8J,⛔⛔Emre⛔⛔WARRİOR,6846,0,#2JG9CJYV,DİRİLİŞ TÜRKİYE,16000030,P.E.K.K.A,9,9,Electro Wizard,6,6,Bandit,6,6,Elite Barbarians,14,14,Wizard,12,12,Poison,9,9,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T063504.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8UR09G8YL,☆PRS☆⭐Cerdillo⭐,6838,0,#PLYJJ0QL,Puercos Reales,16000159,Miner,6,6,The Log,6,6,Arrows,14,14,Hunter,9,9,Giant Skeleton,9,9,Fisherman,6,6,Inferno Dragon,6,6,Tornado,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JGG2U2V,Officer Ramirez,6981,1,#QC8R0888,Fierce Force,16000002,Royal Giant,14,14,Skeleton King,4,4,Skeleton Army,9,9,Mother Witch,6,6,Fisherman,6,6,Fireball,12,12,Zappies,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T062529.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8UR09G8YL,☆PRS☆⭐Cerdillo⭐,6809,2,#PLYJJ0QL,Puercos Reales,16000159,Miner,6,6,The Log,6,6,Arrows,14,14,Hunter,9,9,Giant Skeleton,9,9,Fisherman,6,6,Inferno Dragon,6,6,Tornado,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYQ8PY90J,chicopercebe,6799,1,#YV2JRC0Q,CRL NOVA I MEX5,16000111,Mega Knight,6,6,Balloon,9,9,Electro Spirit,14,14,Minions,14,14,Ice Golem,12,12,Hunter,9,9,Giant Snowball,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T061849.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8UR09G8YL,☆PRS☆⭐Cerdillo⭐,6779,1,#PLYJJ0QL,Puercos Reales,16000159,Graveyard,6,6,Archers,14,14,Arrows,14,14,Hunter,9,9,Giant Skeleton,9,9,Fisherman,6,6,Inferno Dragon,6,6,Tornado,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9P2GL8,❤Andres❤,6783,0,#9G2PVP0R,Team Legacy,16000012,Mega Minion,12,12,Golem,9,9,Lightning,9,9,Arrows,14,14,Electro Wizard,6,6,Tombstone,12,12,Prince,9,9,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
