type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
riverRacePvP,20220104T100610.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#8VY0C8YQR,大罗天⭐桃桃,6734,3,#88888,大罗天,16000142,Lava Hound,5,6,Arrows,14,14,Balloon,8,9,Guards,8,9,Fireball,12,12,Baby Dragon,8,9,Mega Minion,11,12,Goblin Gang,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CQL2C8V,ナオト,6466,0,#V9GUCL,NINE.familiy,16000014,Golem,8,9,Bomb Tower,11,12,Cannon Cart,8,9,Night Witch,5,6,Giant Snowball,13,14,Lumberjack,5,6,Electro Dragon,8,9,Lightning,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T100340.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#8VY0C8YQR,大罗天⭐桃桃,6734,1,#88888,大罗天,16000142,Giant Skeleton,8,9,Cannon Cart,8,9,Skeleton Army,9,9,Magic Archer,5,6,Flying Machine,11,12,Skeleton Barrel,13,14,Clone,6,9,Dart Goblin,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CU98U08C,小肥羊,6159,3,#PQVQV99,坚果༄部落,16000000,Golem,9,9,P.E.K.K.A,9,9,Baby Dragon,9,9,Zap,13,14,Flying Machine,12,12,Electro Spirit,13,14,Arrows,14,14,Electro Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T095731.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#8VY0C8YQR,大罗天⭐桃桃,6734,3,#88888,大罗天,16000142,Witch,8,9,Electro Giant,8,9,Dark Prince,9,9,Bomber,13,14,Goblin Cage,11,12,Tornado,7,9,Lightning,8,9,Inferno Dragon,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U0GJ8QU9,kannan,5919,0,#PYU202JG,TAMIZH WARRIORS,16000002,Magic Archer,5,6,Ram Rider,6,6,Princess,5,6,Zap,13,14,Goblin Barrel,9,9,Minions,13,14,Bandit,5,6,P.E.K.K.A,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T095453.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#8VY0C8YQR,大罗天⭐桃桃,6734,3,#88888,大罗天,16000142,Mega Knight,6,6,Prince,9,9,Bandit,6,6,Bats,14,14,Wall Breakers,9,9,Zap,14,14,Miner,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GR8LJCV,mesun,5751,0,#YJCCCJ9L,Nepal,16000029,Giant,11,12,Dark Prince,8,9,Miner,5,6,Poison,9,9,Witch,9,9,Baby Dragon,8,9,Inferno Dragon,5,6,The Log,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T094635.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#8VY0C8YQR,大罗天⭐桃桃,6734,0,#88888,大罗天,16000142,P.E.K.K.A,9,9,Ram Rider,6,6,Golden Knight,2,4,Barbarian Barrel,8,9,Fireball,12,12,Magic Archer,5,6,Royal Ghost,4,6,Electro Wizard,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JGGCYQRV,[Z] Gazuz,6316,3,#2GJU9LQR,Zap My Golem,16000011,Royal Recruits,14,14,Goblin Cage,12,12,Fireball,12,12,Zappies,12,12,Royal Hogs,12,12,Golden Knight,4,4,Flying Machine,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T094300.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#8VY0C8YQR,大罗天⭐桃桃,6734,3,#88888,大罗天,16000142,Giant Skeleton,8,9,Cannon Cart,8,9,Skeleton Army,9,9,Mother Witch,5,6,Flying Machine,11,12,Skeleton Barrel,13,14,Clone,6,9,Minions,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C98Y8G8Y,♡McJosesito♡,5875,1,#YU0LL9CQ,abduzcan españa,16000172,Prince,8,9,Giant,11,12,The Log,6,6,Ice Wizard,6,6,Arrows,12,14,Dark Prince,8,9,Electro Dragon,8,9,Executioner,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T093740.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#8VY0C8YQR,大罗天⭐桃桃,6734,1,#88888,大罗天,16000142,Electro Giant,8,9,Dark Prince,9,9,Inferno Dragon,5,6,Bomber,13,14,Goblin Cage,11,12,Tornado,7,9,Lightning,8,9,Baby Dragon,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28J08JU0L,terminator.com,5721,2,#GL9QC9P,Canchita Locos,16000063,Skeleton Army,9,9,Lightning,8,9,Musketeer,12,12,Knight,14,14,Hog Rider,11,12,Firecracker,13,14,Mega Knight,6,6,Arrows,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T093302.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#8VY0C8YQR,大罗天⭐桃桃,6734,3,#88888,大罗天,16000142,Mega Knight,6,6,Prince,9,9,Bandit,6,6,Bats,14,14,Wall Breakers,9,9,Zap,14,14,Miner,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#880LGCU9Y,artking2804,5911,0,#PCC09L28,Manado ReborN,16000027,Balloon,9,9,Skeletons,14,14,Freeze,9,9,Mega Knight,5,6,Mother Witch,6,6,Electro Wizard,6,6,Hunter,9,9,Inferno Dragon,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T092827.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8VY0C8YQR,大罗天⭐桃桃,6765,0,#88888,大罗天,16000142,Mega Knight,6,6,Wall Breakers,9,9,Bats,14,14,Zap,14,14,Archer Queen,4,4,Miner,6,6,Prince,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UJCYVJVL,⭐️清歌;CC⭐️,6744,1,#Q98CPC8Q,大会,16000029,Princess,6,6,Dark Prince,9,9,Rocket,12,12,Goblin Barrel,9,9,Rascals,14,14,Cannon Cart,9,9,Giant Snowball,14,14,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T092344.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8VY0C8YQR,大罗天⭐桃桃,6797,0,#88888,大罗天,16000142,Mega Knight,6,6,Wall Breakers,9,9,Bats,14,14,Zap,14,14,Archer Queen,4,4,Miner,6,6,Prince,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QUUQQ0C2,K.I.N.G boy;),6766,1,#LPJU88VY,GEORGIA,16000015,Goblin Drill,9,9,Fire Spirit,14,14,Guards,9,9,Fireball,12,12,Dart Goblin,12,12,Valkyrie,12,12,Inferno Tower,12,12,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
