type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T185721.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8Y9VPLLYC,UA I Okok,6766,1,#L0QPV,UNAUFHALTSAM,16000002,Archer Queen,4,4,Ram Rider,6,6,Barbarian Barrel,9,9,Poison,9,9,Mega Knight,6,6,Giant Snowball,14,14,Bandit,6,6,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LR2JYY0L,moustafa,6794,0,#P8G8098G,clashing,16000167,Skeleton Army,9,9,Freeze,9,9,Graveyard,6,6,Wizard,12,12,Bats,14,14,Wall Breakers,9,9,Knight,14,14,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184746.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8Y9VPLLYC,UA I Okok,6737,1,#L0QPV,UNAUFHALTSAM,16000002,Archer Queen,4,4,Ram Rider,6,6,Barbarian Barrel,9,9,Poison,9,9,Mega Knight,6,6,Giant Snowball,14,14,Bandit,6,6,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P8Q09R,FXPRO,6735,0,#8LV9PV82,Swiss Allstars,16000038,Skeleton Army,9,9,Witch,9,9,Fireball,12,12,Musketeer,12,12,Hog Rider,12,12,Giant,12,12,Valkyrie,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143246.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8Y9VPLLYC,UA I Okok,6708,1,#L0QPV,UNAUFHALTSAM,16000002,Archer Queen,4,4,Ram Rider,6,6,Barbarian Barrel,9,9,Poison,9,9,Mega Knight,6,6,Giant Snowball,14,14,Bandit,6,6,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RJGQVJJJ,李 信,6697,0,#YPV9RC9U,りらくしん,16000164,Cannon,14,14,Hog Rider,12,12,Ice Golem,12,12,Ice Spirit,14,14,Musketeer,12,12,Skeletons,14,14,Fireball,12,12,The Log,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T064356.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#8Y9VPLLYC,UA I Okok,6708,0,#L0QPV,UNAUFHALTSAM,16000002,Ram Rider,3,6,Electro Spirit,11,14,Archer Queen,1,4,Lightning,6,9,Mega Knight,3,6,Bandit,3,6,Royal Ghost,3,6,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R2VCP89,千歳,5286,1,#QY29GL0J,BABOL A@M 2,16000121,Ram Rider,3,6,The Log,3,6,Electro Wizard,3,6,Mega Knight,3,6,Bowler,6,9,Archer Queen,1,4,Giant Snowball,11,14,Cannon,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T064028.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#8Y9VPLLYC,UA I Okok,6708,3,#L0QPV,UNAUFHALTSAM,16000002,Ram Rider,3,6,Electro Spirit,11,14,Archer Queen,1,4,Lightning,6,9,Mega Knight,3,6,Bandit,3,6,Royal Ghost,3,6,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92YL28VUU,伊蝶朴耀庭,5424,1,#R8CGULV,新營大軍入侵行動,16000101,Ram Rider,3,6,Mega Knight,3,6,Witch,6,9,Balloon,6,9,Rage,6,9,Valkyrie,9,12,Wizard,9,12,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T235449.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8Y9VPLLYC,UA I Okok,6680,1,#L0QPV,UNAUFHALTSAM,16000002,Archer Queen,4,4,Ram Rider,6,6,Barbarian Barrel,9,9,Poison,9,9,Mega Knight,6,6,Giant Snowball,14,14,Bandit,6,6,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QYLRCCC,~Ϋσʊʂẽʄ~,6662,0,#L0C028YQ,Tigers Iraq,16000026,Giant,12,12,Graveyard,6,6,Bowler,9,9,Skeleton Army,9,9,Mega Minion,12,12,Night Witch,6,6,Arrows,14,14,Zap,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T235053.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8Y9VPLLYC,UA I Okok,6710,0,#L0QPV,UNAUFHALTSAM,16000002,Archer Queen,4,4,Ram Rider,6,6,Barbarian Barrel,9,9,Poison,9,9,Mega Knight,6,6,Giant Snowball,14,14,Bandit,6,6,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VYPVRU,Mannuel™,6701,1,#8JGY0JU0,Nova I Brasil,16000058,Archer Queen,4,4,Mega Minion,12,12,Graveyard,6,6,Barbarian Barrel,9,9,Poison,9,9,Skeletons,14,14,Goblin Cage,12,12,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T215539.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8Y9VPLLYC,UA I Okok,6682,1,#L0QPV,UNAUFHALTSAM,16000002,Archer Queen,4,4,Ram Rider,6,6,Barbarian Barrel,9,9,Poison,9,9,Mega Knight,6,6,Giant Snowball,14,14,Bandit,6,6,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U90LQ9JV,Monkey D Luffy,6665,0,#28C82PU,Ad Gloriam,16000040,Fireball,12,12,Skeleton Barrel,14,14,The Log,6,6,Inferno Tower,12,12,Valkyrie,12,12,Goblin Barrel,9,9,Dart Goblin,12,12,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T215135.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8Y9VPLLYC,UA I Okok,6652,3,#L0QPV,UNAUFHALTSAM,16000002,Archer Queen,4,4,Ram Rider,6,6,Barbarian Barrel,9,9,Poison,9,9,Mega Knight,6,6,Giant Snowball,14,14,Bandit,6,6,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PURRUY8Y,Mujo P2W,6655,0,#LVRG0Q88,Outer Rim 74,16000105,Arrows,14,14,Bomber,14,14,Elite Barbarians,14,14,Golem,9,9,Night Witch,6,6,Skeleton Army,9,9,Lumberjack,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T214841.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#8Y9VPLLYC,UA I Okok,6679,0,#L0QPV,UNAUFHALTSAM,16000002,Archer Queen,4,4,Ram Rider,6,6,Barbarian Barrel,9,9,Poison,9,9,Mega Knight,6,6,Giant Snowball,14,14,Bandit,6,6,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VCVGP8J8,kabuki,6703,3,#8RUVGCLJ,Hispania Royale,16000172,Elixir Golem,12,12,Battle Healer,12,12,Arrows,14,14,Bowler,9,9,Rage,9,9,Inferno Dragon,6,6,Electro Dragon,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
