type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
riverRacePvP,20220104T094612.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#9082YULYP,焼き豆腐,6766,3,#PCYL99PQ,King of Knights,16000004,Golem,9,9,Night Witch,6,6,Bomber,14,14,Baby Dragon,9,9,Lightning,9,9,Tornado,9,9,Lumberjack,6,6,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GL8R0VQY,vicky justin,5719,0,#9C0VJCGY,DEADLIEST ONE,16000059,P.E.K.K.A,8,9,Balloon,9,9,Baby Dragon,9,9,Ice Wizard,5,6,Lumberjack,6,6,Tornado,8,9,Zap,14,14,Freeze,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T094334.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#9082YULYP,焼き豆腐,6766,2,#PCYL99PQ,King of Knights,16000004,Lava Hound,5,6,Balloon,8,9,Inferno Dragon,4,6,Skeleton Dragons,13,14,Barbarians,13,14,Miner,5,6,Arrows,13,14,Skeleton Army,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2088GPC0G,Godspeed,5803,1,#PLL0GQP,TAIWAN NO. 1 逮玩,16000092,Graveyard,6,6,Freeze,7,9,Bowler,8,9,Barbarian Barrel,9,9,Inferno Dragon,5,6,Knight,13,14,Poison,9,9,Dart Goblin,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T093933.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#9082YULYP,焼き豆腐,6766,0,#PCYL99PQ,King of Knights,16000004,P.E.K.K.A,8,9,Royal Hogs,11,12,Dark Prince,9,9,Electro Wizard,5,6,Fireball,11,12,Hunter,8,9,Royal Ghost,5,6,Giant Snowball,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPPVR0PP,Hyeok,6029,1,#PLYRYPQ,Marin,16000043,Ice Wizard,6,6,Barbarian Barrel,9,9,Hog Rider,12,12,Knight,14,14,Lightning,9,9,Dart Goblin,12,12,Ice Spirit,13,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T093435.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#9082YULYP,焼き豆腐,6766,1,#PCYL99PQ,King of Knights,16000004,Electro Giant,9,9,Cannon Cart,9,9,Skeletons,13,14,Goblin Cage,12,12,Barbarian Barrel,9,9,Electro Dragon,9,9,Ice Wizard,5,6,Earthquake,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20LGGUGGL,Appleman,6171,0,#YCJ9C,Greek DreamTeam,16000068,Elite Barbarians,14,14,Barbarian Barrel,9,9,Earthquake,12,12,Bandit,6,6,Mega Minion,11,12,Musketeer,11,12,Royal Ghost,6,6,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T093058.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#9082YULYP,焼き豆腐,6766,3,#PCYL99PQ,King of Knights,16000004,Electro Giant,9,9,Cannon Cart,9,9,Skeletons,13,14,Goblin Cage,12,12,Barbarian Barrel,9,9,Electro Dragon,9,9,Ice Wizard,5,6,Earthquake,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29YPY8YPY,dennis,5681,0,#PPVYL029,Oceans,16000126,Arrows,12,14,Fireball,12,12,Goblin Gang,13,14,Archers,13,14,Tesla,13,14,Valkyrie,11,12,Rocket,11,12,Skeletons,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T034150.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9082YULYP,焼き豆腐,6735,3,#PCYL99PQ,King of Knights,16000004,Electro Giant,9,9,Dark Prince,9,9,Baby Dragon,9,9,Mega Minion,12,12,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UPC2UQG0,TD! ABIL,6754,1,#9QQPQRGP,Tendangan Dewa,16000016,Golem,9,9,Night Witch,6,6,Elixir Collector,11,12,Minion Horde,14,14,Golden Knight,4,4,Clone,9,9,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T033129.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9082YULYP,焼き豆腐,6704,1,#PCYL99PQ,King of Knights,16000004,Electro Giant,9,9,Dark Prince,9,9,Baby Dragon,9,9,Mega Minion,12,12,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QUYYV99YR,ケモナー❤Rean,6723,0,#QCV9L8J8,G.O.A.T.,16000014,Ice Golem,12,12,Royal Hogs,12,12,Golden Knight,4,4,Royal Ghost,6,6,Heal Spirit,12,12,Three Musketeers,12,12,Hunter,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T032701.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9082YULYP,焼き豆腐,6671,1,#PCYL99PQ,King of Knights,16000004,Electro Giant,9,9,Dark Prince,9,9,Baby Dragon,9,9,Mega Minion,12,12,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q80CVYYP,kay,6715,0,#PY8UP2V0,ハナバーリキルク❤️,16000160,Mortar,14,14,The Log,6,6,Minion Horde,14,14,Guards,9,9,Cannon Cart,9,9,Miner,6,6,Fireball,12,12,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T032052.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9082YULYP,焼き豆腐,6702,0,#PCYL99PQ,King of Knights,16000004,Electro Giant,9,9,Dark Prince,9,9,Baby Dragon,9,9,Mega Minion,12,12,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#200U8CULL,RoCaT,6683,1,#28V2QQ9C,Rocket's,16000166,Lava Hound,6,6,Arrows,14,14,Electro Dragon,9,9,Flying Machine,12,12,Skeleton Dragons,14,14,Tombstone,12,12,Barbarians,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T031605.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9082YULYP,焼き豆腐,6676,1,#PCYL99PQ,King of Knights,16000004,Electro Giant,9,9,Dark Prince,9,9,Baby Dragon,9,9,Mega Minion,12,12,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P008QQ9UY,J.L.A-J.P,6636,0,#VLRGPPQ,Akadios II,16000147,Freeze,9,9,Wizard,12,12,Lumberjack,6,6,Balloon,9,9,Mega Knight,6,6,Arrows,14,14,Mega Minion,12,12,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
