type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T190143.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#90GC0YY0Y,këńńër,6091,3,#8QG0U9GP,Borgia,16000024,Dark Prince,9,9,Electro Wizard,6,6,Goblin Giant,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Rage,7,9,Sparky,6,6,Zap,14,14,#90Q82L8VP,josue alban :v,,3,#8QG0U9GP,Borgia,16000024,Elite Barbarians,13,14,Cannon Cart,9,9,Dark Prince,9,9,Prince,9,9,Guards,9,9,Archer Queen,4,4,Fireball,12,12,The Log,6,6,#8LQQLQPU9,Agra,5842,0,#9PL2RR00,Agra,16000061,Bandit,6,6,P.E.K.K.A,9,9,Tesla,14,14,Barbarian Barrel,9,9,Dark Prince,9,9,Ram Rider,6,6,Fireball,12,12,Electro Wizard,6,6,#90YLV8U2P,ПАПАРУСИКА,,0,#989GJCQ9,ЦГО,16000002,Bats,14,14,The Log,6,6,Miner,6,6,Electro Wizard,6,6,Valkyrie,12,12,Inferno Tower,12,12,Fireball,12,12,Furnace,12,12
casual2v2,20220104T185904.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#90GC0YY0Y,këńńër,6091,1,#8QG0U9GP,Borgia,16000024,Dark Prince,9,9,Electro Wizard,6,6,Goblin Giant,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Rage,7,9,Sparky,6,6,Zap,14,14,#90Q82L8VP,josue alban :v,,1,#8QG0U9GP,Borgia,16000024,Elite Barbarians,13,14,Cannon Cart,9,9,Dark Prince,9,9,Prince,9,9,Guards,9,9,Archer Queen,4,4,Fireball,12,12,The Log,6,6,#Y8LLC9PG2,你咪痴線啦,5659,0,#9PLLYYV,屯門友,16000032,Mega Knight,5,6,Archer Queen,4,4,Ram Rider,6,6,Mega Minion,12,12,Lightning,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Zap,14,14,#YLQ8GLJ9Q,莉姆露派坦斯特,,0,#9PLLYYV,屯門友,16000032,Barbarian Barrel,9,9,Mega Knight,6,6,Mother Witch,6,6,Princess,6,6,Goblin Barrel,9,9,Fireball,12,12,Skeleton Army,8,9,Electro Wizard,5,6
casual2v2,20220104T185534.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#90Q82L8VP,josue alban :v,6758,3,#8QG0U9GP,Borgia,16000024,Elite Barbarians,13,14,Cannon Cart,9,9,Dark Prince,9,9,Prince,9,9,Guards,9,9,Archer Queen,4,4,Fireball,12,12,The Log,6,6,#90GC0YY0Y,këńńër,,3,#8QG0U9GP,Borgia,16000024,Dark Prince,9,9,Electro Wizard,6,6,Goblin Giant,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Rage,7,9,Sparky,6,6,Zap,14,14,#R9RR092,Punisher,5459,1,#QLVVJYY,Ice Spirits,16000168,Valkyrie,12,12,Fireball,12,12,Wizard,12,12,Rage,9,9,Arrows,14,14,Electro Wizard,6,6,Mega Knight,6,6,Barbarians,14,14,#8LJLL8ULG,LEAFAR,,1,#YV809YJC,El Mundo Latino,16000050,Wizard,12,12,Dark Prince,8,9,Goblin Barrel,9,9,Rage,8,9,Fireball,11,12,Electro Wizard,6,6,Valkyrie,12,12,Balloon,9,9
casual2v2,20220104T185144.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#90GC0YY0Y,këńńër,6091,1,#8QG0U9GP,Borgia,16000024,Dark Prince,9,9,Electro Wizard,6,6,Goblin Giant,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Rage,7,9,Sparky,6,6,Zap,14,14,#90Q82L8VP,josue alban :v,,1,#8QG0U9GP,Borgia,16000024,Elite Barbarians,13,14,Cannon Cart,9,9,Dark Prince,9,9,Prince,9,9,Guards,9,9,Archer Queen,4,4,Fireball,12,12,The Log,6,6,#28L28CJ0G,Manuel•RM,5543,0,#Q8VPPRVG,HinchadaFasista,16000005,Fireball,12,12,Golden Knight,4,4,Mother Witch,6,6,Royal Giant,14,14,Barbarian Barrel,8,9,Mega Minion,11,12,Goblin Cage,11,12,Skeletons,12,14,#RUL2U0CP,flo,,0,#QC00V0C9,LES ZNG,16000145,Mega Knight,6,6,Ice Wizard,6,6,Bandit,6,6,P.E.K.K.A,9,9,Fireball,12,12,Minion Horde,13,14,Minions,13,14,Arrows,13,14
casual2v2,20220104T184743.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#90Q82L8VP,josue alban :v,6758,1,#8QG0U9GP,Borgia,16000024,Elite Barbarians,13,14,Cannon Cart,9,9,Dark Prince,9,9,Prince,9,9,Guards,9,9,Archer Queen,4,4,Fireball,12,12,The Log,6,6,#90GC0YY0Y,këńńër,,1,#8QG0U9GP,Borgia,16000024,Dark Prince,9,9,Electro Wizard,6,6,Goblin Giant,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Rage,7,9,Sparky,6,6,Zap,14,14,#9RJ8GQY0,Greasy_Yams,5355,0,#CPGQ0L0,active,16000010,Golden Knight,4,4,Poison,8,9,Cannon Cart,9,9,Skeleton Barrel,14,14,Zap,13,14,Furnace,12,12,Dart Goblin,12,12,Baby Dragon,9,9,#2R8J8Y892,초코,,0,#2Q8L8V8,미주한인 BMS,16000126,Lumberjack,6,6,Clone,8,9,Balloon,9,9,Giant Skeleton,9,9,Bats,14,14,Wizard,12,12,Arrows,13,14,Tesla,14,14
casual2v2,20220104T184430.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#90Q82L8VP,josue alban :v,6758,3,#8QG0U9GP,Borgia,16000024,Elite Barbarians,13,14,Cannon Cart,9,9,Dark Prince,9,9,Prince,9,9,Guards,9,9,Archer Queen,4,4,Fireball,12,12,The Log,6,6,#90GC0YY0Y,këńńër,,3,#8QG0U9GP,Borgia,16000024,Dark Prince,9,9,Electro Wizard,6,6,Goblin Giant,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Rage,7,9,Sparky,6,6,Zap,14,14,#8P9V9YVV,Ayman,5286,1,#92PU8UQ8,Sphinx™,16000097,The Log,5,6,Electro Wizard,4,6,Poison,9,9,Hog Rider,12,12,Firecracker,14,14,Tornado,8,9,Valkyrie,11,12,P.E.K.K.A,9,9,#8GR98LJ80,Shylent,,1,#YLC9U9Q0,Achilles Wrath,16000144,Bandit,5,6,Royal Ghost,5,6,Magic Archer,6,6,P.E.K.K.A,9,9,Poison,9,9,Battle Ram,12,12,Zap,14,14,Electro Wizard,6,6
casual2v2,20220104T184021.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#90Q82L8VP,josue alban :v,6758,3,#8QG0U9GP,Borgia,16000024,Elite Barbarians,13,14,Cannon Cart,9,9,Dark Prince,9,9,Prince,9,9,Guards,9,9,Archer Queen,4,4,Fireball,12,12,The Log,6,6,#90GC0YY0Y,këńńër,,3,#8QG0U9GP,Borgia,16000024,Dark Prince,9,9,Electro Wizard,6,6,Goblin Giant,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Rage,7,9,Sparky,6,6,Zap,14,14,#22Q8QV0Q,ComeAtMeBrah,5670,0,#QQV0PUR9,:),16000106,Mega Knight,6,6,Musketeer,12,12,Golden Knight,2,4,Electro Wizard,5,6,Ram Rider,6,6,Fireball,12,12,Giant Snowball,13,14,Lumberjack,6,6,#C2299R9Q,anonimous,,0,#YJ0YV2U2,FRANCE,16000078,Goblins,14,14,Elite Barbarians,14,14,Goblin Barrel,9,9,Fire Spirit,14,14,Prince,9,9,Fireball,12,12,Witch,9,9,Zap,14,14
casual2v2,20220104T183729.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#90Q82L8VP,josue alban :v,6758,2,#8QG0U9GP,Borgia,16000024,Elite Barbarians,13,14,Cannon Cart,9,9,Dark Prince,9,9,Prince,9,9,Guards,9,9,Archer Queen,4,4,Fireball,12,12,The Log,6,6,#90GC0YY0Y,këńńër,,2,#8QG0U9GP,Borgia,16000024,Dark Prince,9,9,Electro Wizard,6,6,Goblin Giant,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Rage,7,9,Sparky,6,6,Zap,14,14,#90JU0L208,ahmet,5789,1,#Q9CVL29,DİRİLİŞ TÜRKİYE,16000067,Mega Knight,6,6,Firecracker,14,14,Zap,13,14,Electro Wizard,6,6,Hog Rider,12,12,Goblin Gang,14,14,Bandit,5,6,Dark Prince,9,9,#9900CRRGP,Mihai.07 drn,,1,#22UPUJP9,#Spartanii,16000006,Valkyrie,12,12,Goblin Barrel,9,9,The Log,6,6,Princess,6,6,Ice Spirit,14,14,Goblin Gang,14,14,Rocket,12,12,Inferno Tower,12,12
casual2v2,20220104T183256.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#90Q82L8VP,josue alban :v,6758,1,#8QG0U9GP,Borgia,16000024,Elite Barbarians,13,14,Cannon Cart,9,9,Dark Prince,9,9,Prince,9,9,Guards,9,9,Archer Queen,4,4,Fireball,12,12,The Log,6,6,#90GC0YY0Y,këńńër,,1,#8QG0U9GP,Borgia,16000024,Dark Prince,9,9,Electro Wizard,6,6,Goblin Giant,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Rage,7,9,Sparky,6,6,Zap,14,14,#LCCCY9J8P,1337,5460,0,#JJ0GR9,Die Riesen,16000044,Knight,14,14,Bats,14,14,Mortar,14,14,Inferno Dragon,6,6,Skeleton Army,9,9,Fireball,12,12,Skeleton Barrel,14,14,Bomber,14,14,#8RUQ8CRRJ,WIN,,0,,,,Barbarian Barrel,9,9,Giant Skeleton,9,9,Skeleton Barrel,14,14,Firecracker,14,14,Bats,13,14,Skeleton Army,8,9,Goblin Barrel,8,9,The Log,6,6
casual2v2,20220104T182944.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#90Q82L8VP,josue alban :v,6758,0,#8QG0U9GP,Borgia,16000024,Elite Barbarians,13,14,Cannon Cart,9,9,Dark Prince,9,9,Prince,9,9,Guards,9,9,Archer Queen,4,4,Fireball,12,12,The Log,6,6,#90GC0YY0Y,këńńër,,0,#8QG0U9GP,Borgia,16000024,Dark Prince,9,9,Electro Wizard,6,6,Goblin Giant,9,9,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Rage,7,9,Sparky,6,6,Zap,14,14,#2UJLRJ82J,gmoney,5795,1,#LJGG9JLR,corona trade,16000077,P.E.K.K.A,9,9,Electro Wizard,6,6,Fireball,12,12,Royal Ghost,5,6,Zap,14,14,Bandit,5,6,Magic Archer,6,6,Battle Ram,12,12,#PCRLRGVVJ,❣jeux❣de❣moe❣,,1,#P0PPLLV,54 KEPTON,16000078,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Baby Dragon,9,9,Barbarian Barrel,9,9,Cannon Cart,9,9,Lumberjack,6,6,Mega Minion,12,12
