type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T075811.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#90R9JPJ2R,●Alejandro●,6724,1,#LCGJ8Q0Y,AwQayllis,16000142,Skeleton Barrel,11,14,Fireball,9,12,Giant Snowball,11,14,Electro Giant,6,9,Flying Machine,9,12,Baby Dragon,6,9,Mother Witch,3,6,Barbarians,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JL02L08R,magui,5348,0,#YP8PCQPL,The Big Family,16000029,Goblin Gang,11,14,Poison,6,9,The Log,3,6,Goblin Barrel,6,9,Princess,3,6,Witch,6,9,Cannon Cart,6,9,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T075329.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#90R9JPJ2R,●Alejandro●,6724,1,#LCGJ8Q0Y,AwQayllis,16000142,Poison,6,9,The Log,3,6,Bowler,6,9,Mortar,11,14,Knight,11,14,Mega Minion,9,12,P.E.K.K.A,6,9,Hunter,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JL02L08R,magui,5348,0,#YP8PCQPL,The Big Family,16000029,Earthquake,9,12,Barbarian Barrel,6,9,Bandit,3,6,Royal Hogs,9,12,Prince,6,9,Archers,11,14,Tesla,11,14,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T074906.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#90R9JPJ2R,●Alejandro●,6724,1,#LCGJ8Q0Y,AwQayllis,16000142,Dart Goblin,9,12,Cannon Cart,6,9,Poison,6,9,Barbarian Barrel,6,9,Wizard,9,12,Ram Rider,3,6,Mini P.E.K.K.A,9,12,Skeleton Barrel,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JL02L08R,magui,5348,0,#YP8PCQPL,The Big Family,16000029,Spear Goblins,11,14,Bowler,6,9,Rocket,9,12,The Log,3,6,Inferno Dragon,3,6,Mega Knight,3,6,Barbarians,11,14,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T074427.000Z,,54000017,Master III,72000007,Friendly,,collection,#90R9JPJ2R,●Alejandro●,6724,2,#LCGJ8Q0Y,AwQayllis,16000142,Archers,11,14,Zap,11,14,P.E.K.K.A,6,9,Fireball,9,12,Fire Spirit,11,14,Graveyard,3,6,Firecracker,11,14,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JL02L08R,magui,5348,1,#YP8PCQPL,The Big Family,16000029,Archers,11,14,Zap,11,14,P.E.K.K.A,6,9,Fireball,9,12,Fire Spirit,11,14,Graveyard,3,6,Firecracker,11,14,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T073914.000Z,,54000017,Master III,72000007,Friendly,,collection,#90R9JPJ2R,●Alejandro●,6724,2,#LCGJ8Q0Y,AwQayllis,16000142,Archers,11,14,Zap,11,14,P.E.K.K.A,6,9,Fireball,9,12,Fire Spirit,11,14,Graveyard,3,6,Firecracker,11,14,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JL02L08R,magui,5348,0,#YP8PCQPL,The Big Family,16000029,Firecracker,11,14,Lightning,6,9,Royal Delivery,11,14,Tesla,11,14,Hog Rider,9,12,Electro Spirit,11,14,Skeletons,11,14,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T073442.000Z,,54000017,Master III,72000007,Friendly,,collection,#90R9JPJ2R,●Alejandro●,6724,2,#LCGJ8Q0Y,AwQayllis,16000142,Skeletons,11,14,Hog Rider,9,12,Ice Golem,9,12,Electro Spirit,11,14,Cannon,11,14,Musketeer,9,12,Fireball,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JL02L08R,magui,5348,0,#YP8PCQPL,The Big Family,16000029,Archers,11,14,Zap,11,14,P.E.K.K.A,6,9,Fireball,9,12,Fire Spirit,11,14,Graveyard,3,6,Firecracker,11,14,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T052015.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#90R9JPJ2R,●Alejandro●,6724,0,#LCGJ8Q0Y,AwQayllis,16000142,The Log,3,6,Hog Rider,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,Fireball,9,12,Cannon,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJ0CCP0,Steve Remix,5353,3,#YRYLRJL,Bogota Unidos,16000024,P.E.K.K.A,6,9,Magic Archer,3,6,Bats,11,14,Witch,6,9,The Log,3,6,Clone,6,9,Hog Rider,9,12,Elixir Collector,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T051937.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#90R9JPJ2R,●Alejandro●,6724,0,#LCGJ8Q0Y,AwQayllis,16000142,The Log,3,6,Hog Rider,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,Fireball,9,12,Cannon,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R00JJVUPR,さけ,6090,1,#9UYQ0QL0,ペッカの一撃入らないの会,16000162,Knight,11,14,Ice Spirit,11,14,Goblin Gang,11,14,Rocket,9,12,Inferno Tower,9,12,Princess,3,6,The Log,3,6,Goblin Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T051615.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#90R9JPJ2R,●Alejandro●,6724,0,#LCGJ8Q0Y,AwQayllis,16000142,The Log,3,6,Hog Rider,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,Fireball,9,12,Cannon,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JVJ0P2RG,しぇー,5756,1,#PCUJ0G8J,スルメイカと愉快な仲間達,16000125,Mega Knight,3,6,Bandit,3,6,Zap,11,14,Musketeer,9,12,Prince,6,9,Miner,3,6,Wall Breakers,6,9,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T051130.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#90R9JPJ2R,●Alejandro●,6724,1,#LCGJ8Q0Y,AwQayllis,16000142,The Log,3,6,Hog Rider,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,Fireball,9,12,Cannon,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88RRL2QG2,Nazib,4098,0,,,,Goblins,11,14,Executioner,6,9,Tornado,6,9,Hog Rider,9,12,The Log,3,6,Rocket,9,12,Ice Spirit,11,14,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
