type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T165855.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#92QJVRYP,KiKi,6693,1,#2GJLCVJQ,CRM eSports,16000050,Fisherman,6,6,Miner,6,6,Spear Goblins,14,14,Skeletons,14,14,Wall Breakers,9,9,Knight,14,14,Bats,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VG88V2U0,Reaperエレン♥,6714,0,#QPV9VQG0,Mortar Baiters,16000171,Knight,14,14,Guards,9,9,Archer Queen,4,4,Fireball,12,12,Bats,14,14,Mortar,14,14,Miner,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144839.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#92QJVRYP,KiKi,6723,1,#2GJLCVJQ,CRM eSports,16000050,Fisherman,6,6,The Log,6,6,Fireball,12,12,Musketeer,12,12,Bats,14,14,Skeletons,14,14,Royal Giant,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PUR2R89L,Zamorano,6715,2,#8VUVGPVC,vikings br,16000027,Baby Dragon,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Electro Giant,9,9,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144312.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#92QJVRYP,KiKi,6694,1,#2GJLCVJQ,CRM eSports,16000050,Fisherman,6,6,The Log,6,6,Fireball,12,12,Musketeer,12,12,Bats,14,14,Skeletons,14,14,Royal Giant,14,14,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GJ0R2RL9,Rocket's TK,6684,0,#28V2QQ9C,Rocket's,16000166,Rascals,14,14,Guards,9,9,Fireball,12,12,The Log,6,6,Dart Goblin,12,12,Bats,14,14,Miner,6,6,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143519.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#92QJVRYP,KiKi,6663,1,#2GJLCVJQ,CRM eSports,16000050,Fisherman,6,6,The Log,6,6,Fireball,12,12,Musketeer,12,12,Bats,14,14,Skeletons,14,14,Royal Giant,14,14,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UQPRCYQ,ĐĄŘĶ,6684,0,#YP00GY20,اصدقاء العمر™,16000024,Bats,14,14,Rascals,14,14,Miner,6,6,Inferno Tower,11,12,Balloon,9,9,Barbarian Barrel,9,9,Ice Golem,12,12,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143143.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#92QJVRYP,KiKi,6691,1,#2GJLCVJQ,CRM eSports,16000050,Fisherman,6,6,The Log,6,6,Fireball,12,12,Musketeer,12,12,Bats,14,14,Skeletons,14,14,Royal Giant,14,14,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UJ2UC8CJ,ドルフィンʕ•ᴥ•ʔ,6711,3,,,,Golem,9,9,Night Witch,6,6,Fireball,12,12,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Bomber,13,14,Skeleton Army,8,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T044550.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#92QJVRYP,KiKi,6719,1,#2GJLCVJQ,CRM eSports,16000050,Fisherman,6,6,The Log,6,6,Fireball,12,12,Hunter,9,9,Bats,14,14,Skeletons,14,14,Royal Giant,14,14,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C0PPG0,Rennegade,6733,3,#L0YJ02YL,硬中华,16000014,Electro Giant,9,9,Bomber,14,14,Dark Prince,9,9,Archer Queen,4,4,Barbarian Barrel,9,9,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T044152.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#92QJVRYP,KiKi,6749,0,#2GJLCVJQ,CRM eSports,16000050,Fisherman,6,6,The Log,6,6,Fireball,12,12,Hunter,9,9,Bats,14,14,Skeletons,14,14,Royal Giant,14,14,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C9Y0R0G,Logbait God,6749,1,#LUPQP0YY,Quartz™️ Ace,16000157,Electro Spirit,14,14,Goblin Gang,14,14,Goblin Barrel,9,9,Inferno Tower,12,12,Rocket,12,12,The Log,6,6,Princess,6,6,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T043449.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#92QJVRYP,KiKi,6749,3,#2GJLCVJQ,CRM eSports,16000050,Skeleton Army,6,9,Skeleton King,1,4,Fireball,9,12,Skeletons,11,14,Zap,11,14,Royal Recruits,11,14,Spear Goblins,11,14,Goblin Gang,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GGLGVCJG,Terrorista,5651,0,#YC8PLYCY,BONDE CG MS,16000058,Mother Witch,3,6,Rage,6,9,Tornado,6,9,Elixir Golem,9,12,Battle Healer,9,12,Inferno Dragon,3,6,Electro Dragon,6,9,Goblin Cage,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T043234.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#92QJVRYP,KiKi,6749,1,#2GJLCVJQ,CRM eSports,16000050,Skeleton Army,6,9,Skeleton King,1,4,Fireball,9,12,Skeletons,11,14,Zap,11,14,Royal Recruits,11,14,Spear Goblins,11,14,Goblin Gang,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CL9V9C2G,欧阳奶黄包,5195,0,#9V92V8J,黑龍帝国,16000039,Bandit,3,6,P.E.K.K.A,6,9,Dark Prince,6,9,Electro Wizard,3,6,Poison,6,9,Zap,11,14,Minions,11,14,Battle Ram,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T042820.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#92QJVRYP,KiKi,6749,0,#2GJLCVJQ,CRM eSports,16000050,Skeleton Army,6,9,Skeleton King,1,4,Clone,6,9,Skeletons,11,14,Zap,11,14,Royal Recruits,11,14,Spear Goblins,11,14,Goblin Gang,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LGPPQRPUJ,IGOODS Bv,5231,1,#UGUC809,ChicosQueLloran,16000002,P.E.K.K.A,6,9,Battle Ram,9,12,Fireball,9,12,Barbarian Barrel,6,9,Royal Ghost,3,6,Bandit,3,6,Electro Wizard,3,6,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
