type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T150649.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#988RPUGCV,けー@HIRIAGOD,6775,1,#LQ2RLYV0,今から入れるアチャクイ保険,16000008,X-Bow,9,9,Valkyrie,12,12,Tesla,14,14,Archer Queen,4,4,Skeletons,14,14,The Log,6,6,Tornado,8,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22UCVJCC9,Suriel,6775,0,#9PV2VGVY,Robert's Army™,16000029,Electro Spirit,14,14,Flying Machine,12,12,Fireball,12,12,Royal Recruits,14,14,Zappies,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150007.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#988RPUGCV,けー@HIRIAGOD,6748,1,#LQ2RLYV0,今から入れるアチャクイ保険,16000008,X-Bow,9,9,Valkyrie,12,12,Tesla,14,14,Archer Queen,4,4,Skeletons,14,14,The Log,6,6,Tornado,8,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80PJPGYG9,りく,6722,0,#LJYQ9L2U,枯渇クラン,16000154,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,Valkyrie,12,12,Skeletons,14,14,The Log,6,6,Electro Spirit,14,14,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145438.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#988RPUGCV,けー@HIRIAGOD,6721,1,#LQ2RLYV0,今から入れるアチャクイ保険,16000008,X-Bow,9,9,Valkyrie,12,12,Tesla,14,14,Archer Queen,4,4,Skeletons,14,14,The Log,6,6,Tornado,8,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q92LV2QY,NTG Ctm♡,6694,0,#LPUGVL80,GaminghouseVe,16000146,Tombstone,12,12,Graveyard,6,6,Knight,14,14,Ice Wizard,6,6,Baby Dragon,9,9,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144935.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#988RPUGCV,けー@HIRIAGOD,6693,1,#LQ2RLYV0,今から入れるアチャクイ保険,16000008,X-Bow,9,9,Valkyrie,12,12,Tesla,14,14,Archer Queen,4,4,Skeletons,14,14,The Log,6,6,Tornado,8,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UVGCRPUG,✨Bryze神✨,6681,0,#9J2CCRVG,PEKA,16000162,Electro Giant,9,9,Skeletons,14,14,Tornado,8,9,Lightning,9,9,Goblin Cage,12,12,Inferno Dragon,6,6,Bomber,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144408.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#988RPUGCV,けー@HIRIAGOD,6661,2,#LQ2RLYV0,今から入れるアチャクイ保険,16000008,X-Bow,9,9,Valkyrie,12,12,Tesla,14,14,Archer Queen,4,4,Skeletons,14,14,The Log,6,6,Tornado,8,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80U9JR92Q,Горилла,6694,0,#LUVV2G9P,MEGA CLASH RUS,16000012,Rocket,12,12,Mega Minion,12,12,Fire Spirit,14,14,Poison,9,9,Bomb Tower,12,12,Skeletons,14,14,Royal Delivery,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143935.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#988RPUGCV,けー@HIRIAGOD,6691,0,#LQ2RLYV0,今から入れるアチャクイ保険,16000008,X-Bow,9,9,Valkyrie,12,12,Tesla,14,14,Archer Queen,4,4,Skeletons,14,14,The Log,6,6,Tornado,8,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UL8UU99L,Edgarsinho09,6683,1,#L0YJ02YL,硬中华,16000014,Mega Knight,6,6,Bandit,6,6,Royal Ghost,6,6,Giant Snowball,14,14,Archer Queen,4,4,Electro Spirit,14,14,Lightning,9,9,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143457.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#988RPUGCV,けー@HIRIAGOD,6721,0,#LQ2RLYV0,今から入れるアチャクイ保険,16000008,X-Bow,9,9,Valkyrie,12,12,Tesla,14,14,Archer Queen,4,4,Skeletons,14,14,The Log,6,6,Tornado,8,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#822RQGYP,ZP I RAPHA 974✅,6716,1,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142923.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#988RPUGCV,けー@HIRIAGOD,6695,1,#LQ2RLYV0,今から入れるアチャクイ保険,16000008,X-Bow,9,9,Valkyrie,12,12,Tesla,14,14,Archer Queen,4,4,Skeletons,14,14,The Log,6,6,Tornado,8,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JC8UJPJ9,アーサー⚔️円卓の騎士,6658,0,#YQGVCP8U,アーサー王と円卓の騎士たち,16000151,Knight,14,14,Goblin Barrel,9,9,Tesla,14,14,Rocket,12,12,Princess,6,6,Electro Spirit,14,14,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142538.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#988RPUGCV,けー@HIRIAGOD,6723,0,#LQ2RLYV0,今から入れるアチャクイ保険,16000008,X-Bow,9,9,Valkyrie,12,12,Tesla,14,14,Archer Queen,4,4,Skeletons,14,14,The Log,6,6,Tornado,8,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LGCQVLJ,为什么不能升级？,6744,1,#9QGQQGPU,疯人院,16000028,Ram Rider,6,6,Baby Dragon,9,9,Royal Ghost,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T074757.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#988RPUGCV,けー@HIRIAGOD,6688,1,,,,X-Bow,9,9,Valkyrie,12,12,Tesla,14,14,Archer Queen,4,4,Skeletons,14,14,The Log,6,6,Tornado,8,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PY0YGJRUL,mauboe,6756,0,#G9QP2QC,18's,16000003,Princess,6,6,Valkyrie,12,12,Inferno Tower,12,12,Rocket,12,12,Goblin Barrel,9,9,Dark Prince,9,9,Fire Spirit,14,14,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
