type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T163705.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#98QUJU80C,CHETANA,6723,3,#8PRYPYY0,Imperio Español,16000172,Balloon,9,9,Barbarian Barrel,9,9,Bowler,9,9,Electro Dragon,9,9,Freeze,9,9,Inferno Dragon,6,6,Lumberjack,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22U2C2PP0,wayes❤️,6693,0,,,,Valkyrie,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,Dart Goblin,12,12,Inferno Tower,12,12,Skeleton Army,8,9,Princess,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163432.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#98QUJU80C,CHETANA,6696,1,#8PRYPYY0,Imperio Español,16000172,Balloon,9,9,Barbarian Barrel,9,9,Bowler,9,9,Electro Dragon,9,9,Freeze,9,9,Inferno Dragon,6,6,Lumberjack,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#890CQY9JP,BFPP I Rodrix❤,6669,0,,,,Bowler,9,9,Inferno Dragon,6,6,Tornado,9,9,Lumberjack,6,6,Balloon,9,9,Freeze,9,9,Electro Dragon,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163109.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#98QUJU80C,CHETANA,6724,0,#8PRYPYY0,Imperio Español,16000172,Balloon,9,9,Barbarian Barrel,9,9,Bowler,9,9,Electro Dragon,9,9,Freeze,9,9,Inferno Dragon,6,6,Lumberjack,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0LJRGUP,手游肖恩_Sean Kim,6744,1,#LVQJPVYL,抖音手游肖恩,16000131,Skeleton King,4,4,Fireball,12,12,Skeleton Army,9,9,Dart Goblin,12,12,Minion Horde,14,14,Mortar,14,14,Bats,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162727.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#98QUJU80C,CHETANA,6698,1,#8PRYPYY0,Imperio Español,16000172,Balloon,9,9,Barbarian Barrel,9,9,Bowler,9,9,Electro Dragon,9,9,Freeze,9,9,Inferno Dragon,6,6,Lumberjack,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CVRLVQLR,VictorxD03,6656,0,#9P9GQC0V,Super Warrior’S,16000028,Lumberjack,6,6,Balloon,9,9,Tornado,9,9,Barbarian Barrel,9,9,Inferno Dragon,6,6,Bowler,9,9,Baby Dragon,9,9,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162146.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#98QUJU80C,CHETANA,6667,1,#8PRYPYY0,Imperio Español,16000172,Balloon,9,9,Barbarian Barrel,9,9,Bowler,9,9,Electro Dragon,9,9,Freeze,9,9,Inferno Dragon,6,6,Lumberjack,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P80L2PLJ,小k,6690,0,#9QGQQGPU,疯人院,16000028,Knight,14,14,Hog Rider,12,12,Archer Queen,4,4,Bomb Tower,12,12,Skeletons,14,14,Fire Spirit,14,14,Earthquake,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161721.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#98QUJU80C,CHETANA,6692,1,#8PRYPYY0,Imperio Español,16000172,Balloon,9,9,Barbarian Barrel,9,9,Bowler,9,9,Electro Dragon,9,9,Freeze,9,9,Inferno Dragon,6,6,Lumberjack,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P0URCRV,Hicham❤Snipe,6741,3,,,,Mini P.E.K.K.A,12,12,Sparky,6,6,Minion Horde,14,14,Bats,14,14,Giant,12,12,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161359.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#98QUJU80C,CHETANA,6719,0,#8PRYPYY0,Imperio Español,16000172,Balloon,9,9,Barbarian Barrel,9,9,Bowler,9,9,Electro Dragon,9,9,Freeze,9,9,Inferno Dragon,6,6,Lumberjack,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28QLLL0G9,这货不是渣渣希,6750,1,,,,Mega Knight,6,6,Bandit,6,6,Barbarian Barrel,9,9,Giant Snowball,14,14,Inferno Dragon,6,6,Poison,9,9,Ram Rider,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T134357.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#98QUJU80C,CHETANA,6719,2,#8PRYPYY0,Imperio Español,16000172,Royal Hogs,12,12,Musketeer,12,12,The Log,4,6,Skeletons,13,14,Knight,13,14,Earthquake,11,12,Electro Spirit,13,14,Bomb Tower,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82RRV2R2P,【80.90】Vampire、,5941,3,#GJJRJUR,80.90【集中赢】,16000077,Golem,9,9,Baby Dragon,9,9,Barbarian Barrel,9,9,Lightning,9,9,Mega Minion,12,12,Lumberjack,5,6,Tornado,9,9,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T133956.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#98QUJU80C,CHETANA,6719,2,#8PRYPYY0,Imperio Español,16000172,Giant,11,12,Prince,8,9,Dark Prince,9,9,Electro Dragon,9,9,Mega Minion,11,12,Fireball,12,12,Zap,14,14,Goblin Barrel,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QVJUUR2,Hakunah,5922,1,#VCC2Y2,Irmandade Tuga,16000003,Fireball,12,12,Ram Rider,6,6,Magic Archer,5,6,Mega Knight,5,6,Skeleton Army,8,9,Knight,13,14,Musketeer,11,12,Giant Snowball,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T133444.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#98QUJU80C,CHETANA,6719,6,#8PRYPYY0,Imperio Español,16000172,Inferno Dragon,6,6,Lumberjack,6,6,Baby Dragon,9,9,Balloon,9,9,Bowler,9,9,Barbarian Barrel,9,9,Freeze,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L9J9JRP,Jules,5715,0,#YL0PY2R8,German Seals,16000044,Miner,5,6,Wall Breakers,9,9,Mortar,13,14,The Log,6,6,Minion Horde,13,14,Goblin Gang,14,14,Knight,14,14,Poison,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
