type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T174529.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#98RC2Y9YG,Pawlo,6849,1,#90UUC92Y,FightClub PL,16000004,Valkyrie,12,12,Balloon,9,9,Arrows,14,14,Rage,9,9,P.E.K.K.A,9,9,Prince,9,9,Electro Wizard,6,6,Wizard,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YPRL8V02Y,clem,6860,0,#LVQUJQG2,GOTAGANG,16000097,Ram Rider,6,6,Golden Knight,4,4,Dark Prince,9,9,Arrows,14,14,P.E.K.K.A,9,9,Barbarian Barrel,9,9,Fireball,12,12,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173942.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#98RC2Y9YG,Pawlo,6881,1,#90UUC92Y,FightClub PL,16000004,Valkyrie,12,12,Balloon,9,9,Arrows,14,14,Rage,9,9,P.E.K.K.A,9,9,Prince,9,9,Electro Wizard,6,6,Wizard,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RUVP8PGJ,Derpy__Senpai,6852,3,#YGL9PU80,Troops Of War,16000161,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Fireball,12,12,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171044.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#98RC2Y9YG,Pawlo,6850,3,#90UUC92Y,FightClub PL,16000004,Valkyrie,12,12,Balloon,9,9,Arrows,14,14,Rage,9,9,P.E.K.K.A,9,9,Prince,9,9,Electro Wizard,6,6,Wizard,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLCCQ2GRR,LDN✨Paulo™✌️,6868,2,#PCQPGP9G,B49☆CŘ,16000058,Giant,12,12,Bowler,9,9,Graveyard,6,6,Bats,14,14,Skeleton Army,9,9,Night Witch,6,6,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170347.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#98RC2Y9YG,Pawlo,6880,0,#90UUC92Y,FightClub PL,16000004,Valkyrie,12,12,Balloon,9,9,Arrows,14,14,Rage,9,9,P.E.K.K.A,9,9,Prince,9,9,Electro Wizard,6,6,Wizard,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P88PQJ2UV,<c2>⚡️Manuel⚡️,6880,3,#YP8RYJ0C,clanpeyo4,16000099,Giant,12,12,Graveyard,6,6,Bats,14,14,Witch,9,9,Dark Prince,9,9,Giant Snowball,14,14,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155027.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#98RC2Y9YG,Pawlo,6852,2,#90UUC92Y,FightClub PL,16000004,Valkyrie,12,12,Balloon,9,9,Arrows,14,14,Rage,9,9,P.E.K.K.A,9,9,Prince,9,9,Electro Wizard,6,6,Wizard,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JQRVRP89,まさゆ,6835,1,#PLG29YRJ,Moon Light,16000032,Balloon,9,9,Miner,6,6,Zap,13,14,Arrows,13,14,Inferno Dragon,6,6,Lava Hound,6,6,Minions,14,14,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T154610.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#PQ8CVJVGL,Yt:Zelek Games,6325,3,#9V8JVVVJ,FightClub PL 2,16000004,P.E.K.K.A,9,9,Prince,9,9,Wizard,12,12,Electro Wizard,6,6,Valkyrie,12,12,Arrows,14,14,Balloon,9,9,Rage,9,9,#98RC2Y9YG,Pawlo,,3,#90UUC92Y,FightClub PL,16000004,Valkyrie,12,12,Balloon,9,9,Arrows,14,14,Freeze,6,9,P.E.K.K.A,9,9,Prince,9,9,Electro Wizard,6,6,Wizard,12,12,#YUJGJRLL,Khashab,5309,1,#82JR80,KillerQ,16000097,Princess,6,6,Valkyrie,12,12,Mega Knight,6,6,Bandit,6,6,Baby Dragon,9,9,The Log,6,6,Bats,14,14,Wizard,12,12,#2Y2G9VPUC,viitt,,1,#2G2YV9P,Borci S.R.O,16000008,Valkyrie,11,12,Rage,8,9,Wizard,12,12,Minion Horde,14,14,Fireball,11,12,Skeleton Army,9,9,Elite Barbarians,14,14,Sparky,6,6
casual2v2,20220104T154237.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#PQ8CVJVGL,Yt:Zelek Games,6325,3,#9V8JVVVJ,FightClub PL 2,16000004,P.E.K.K.A,9,9,Prince,9,9,Wizard,12,12,Electro Wizard,6,6,Valkyrie,12,12,Arrows,14,14,Balloon,9,9,Rage,9,9,#98RC2Y9YG,Pawlo,,3,#90UUC92Y,FightClub PL,16000004,Valkyrie,12,12,Balloon,9,9,Arrows,14,14,Freeze,6,9,P.E.K.K.A,9,9,Prince,9,9,Electro Wizard,6,6,Wizard,12,12,#RLYY9YL,sonicG54,5608,0,#LJR2LGPP,gorillas,16000163,Firecracker,14,14,Wall Breakers,9,9,Golden Knight,4,4,Arrows,14,14,Ram Rider,6,6,Ice Wizard,6,6,Mega Knight,6,6,The Log,6,6,#8LYYVVRQ,MrBigOlMoose,,0,#LGQU28,Christ Lives 3,16000063,Goblin Giant,9,9,Sparky,6,6,Mother Witch,6,6,Mega Minion,12,12,Golden Knight,4,4,Mini P.E.K.K.A,12,12,Rage,7,9,Zap,13,14
casual2v2,20220104T153856.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#98RC2Y9YG,Pawlo,6852,2,#90UUC92Y,FightClub PL,16000004,Valkyrie,12,12,Balloon,9,9,Arrows,14,14,Freeze,6,9,P.E.K.K.A,9,9,Prince,9,9,Electro Wizard,6,6,Wizard,12,12,#PQ8CVJVGL,Yt:Zelek Games,,2,#9V8JVVVJ,FightClub PL 2,16000004,P.E.K.K.A,9,9,Prince,9,9,Wizard,12,12,Electro Wizard,6,6,Valkyrie,12,12,Arrows,14,14,Balloon,9,9,Rage,9,9,#2292LY8JG,술고래,5798,1,#QVPYQR,아산30+,16000126,Rage,9,9,Arrows,14,14,Witch,9,9,Electro Dragon,9,9,Hog Rider,12,12,P.E.K.K.A,9,9,Valkyrie,12,12,Tornado,9,9,#2R2Y0QV0J,0rangeTitan,,1,#QL9PQ8,519 Royale,16000076,Mini P.E.K.K.A,11,12,Barbarian Barrel,9,9,Mega Knight,6,6,Goblin Barrel,8,9,Skeleton Barrel,14,14,Fireball,12,12,Ram Rider,6,6,Knight,14,14
casual2v2,20220104T153500.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#PQ8CVJVGL,Yt:Zelek Games,6325,2,#9V8JVVVJ,FightClub PL 2,16000004,P.E.K.K.A,9,9,Prince,9,9,Wizard,12,12,Electro Wizard,6,6,Valkyrie,12,12,Arrows,14,14,Balloon,9,9,Rage,9,9,#98RC2Y9YG,Pawlo,,2,#90UUC92Y,FightClub PL,16000004,Valkyrie,12,12,Balloon,9,9,Arrows,14,14,Freeze,6,9,P.E.K.K.A,9,9,Prince,9,9,Electro Wizard,6,6,Wizard,12,12,#Q2LYUQ,LamYu,5413,0,#9YLJ8JYY,Sacred Field,16000043,Electro Giant,9,9,Lightning,9,9,Furnace,12,12,Prince,9,9,Tornado,9,9,Goblin Barrel,9,9,Inferno Dragon,6,6,Poison,9,9,#U8GP9V0,Coppa D'/)more,,0,#YC9PCLQP,русская лига,16000072,Electro Dragon,9,9,Inferno Tower,12,12,Golden Knight,1,4,Arrows,14,14,Magic Archer,6,6,Skeleton Barrel,14,14,Tornado,9,9,Bowler,9,9
casual2v2,20220104T153101.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#PQ8CVJVGL,Yt:Zelek Games,6325,1,#9V8JVVVJ,FightClub PL 2,16000004,P.E.K.K.A,9,9,Prince,9,9,Wizard,12,12,Electro Wizard,6,6,Valkyrie,12,12,Arrows,14,14,Balloon,9,9,Rage,9,9,#98RC2Y9YG,Pawlo,,1,#90UUC92Y,FightClub PL,16000004,Valkyrie,12,12,Balloon,9,9,Arrows,14,14,Freeze,6,9,P.E.K.K.A,9,9,Prince,9,9,Electro Wizard,6,6,Wizard,12,12,#9UJJ082C2,BMK丨后来居上,5630,3,#YRLYRLVP,Best MegaKnight,16000014,Goblin Barrel,9,9,Royal Giant,14,14,Prince,9,9,Mega Knight,6,6,Bats,14,14,Skeleton Army,6,9,Princess,6,6,Dart Goblin,10,12,#829PRGL8,OPL｜<c5>这货不是暮色,,3,#YRLYRLVP,Best MegaKnight,16000014,Golem,9,9,Lumberjack,6,6,Elite Barbarians,14,14,Tornado,9,9,Baby Dragon,9,9,Mega Minion,12,12,Electro Dragon,9,9,Barbarian Barrel,9,9
casual2v2,20220104T152710.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#PQ8CVJVGL,Yt:Zelek Games,6325,3,#9V8JVVVJ,FightClub PL 2,16000004,P.E.K.K.A,9,9,Prince,9,9,Wizard,12,12,Electro Wizard,6,6,Valkyrie,12,12,Arrows,14,14,Balloon,9,9,Rage,9,9,#98RC2Y9YG,Pawlo,,3,#90UUC92Y,FightClub PL,16000004,Valkyrie,12,12,Balloon,9,9,Arrows,14,14,Freeze,6,9,P.E.K.K.A,9,9,Prince,9,9,Electro Wizard,6,6,Wizard,12,12,#LCU29QGY8,vendetta,5506,2,#Q888PJVP,KaBoom_ITALY,16000017,Electro Wizard,6,6,Rage,9,9,Prince,9,9,Witch,9,9,Mega Knight,6,6,Wizard,12,12,Hog Rider,12,12,Bomber,14,14,#989RGLUGY,guido,,2,,,,Mirror,9,9,Zap,14,14,Firecracker,14,14,Rage,9,9,Hog Rider,12,12,Mini P.E.K.K.A,11,12,Elite Barbarians,14,14,Magic Archer,5,6
casual2v2,20220104T152443.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#98RC2Y9YG,Pawlo,6852,3,#90UUC92Y,FightClub PL,16000004,Valkyrie,12,12,Balloon,9,9,Arrows,14,14,Freeze,6,9,P.E.K.K.A,9,9,Prince,9,9,Electro Wizard,6,6,Wizard,12,12,#PQ8CVJVGL,Yt:Zelek Games,,3,#9V8JVVVJ,FightClub PL 2,16000004,P.E.K.K.A,9,9,Prince,9,9,Wizard,12,12,Electro Wizard,6,6,Valkyrie,12,12,Arrows,14,14,Balloon,9,9,Rage,9,9,#9LLG2QUPR,u mad breh?,5235,0,#PPVGPYRR,ligma,16000046,Minion Horde,14,14,Lightning,9,9,Lumberjack,6,6,Goblin Barrel,9,9,Fireball,12,12,Balloon,9,9,Baby Dragon,9,9,Clone,9,9,#LPRUY2U92,hnach,,0,#2JCR288,Traillar,16000077,Knight,14,14,Bowler,9,9,Rage,9,9,Miner,6,6,Fireball,11,12,Wizard,12,12,Elixir Golem,12,12,Baby Dragon,9,9
