type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T053335.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,11,eventDeck,#99C9PP9L,⚡️mau⚡️,6806,1,#LUVPQRJP,ThunderStorm™️,16000010,Bandit,3,6,Barbarian Barrel,6,9,Cannon Cart,6,9,Electro Wizard,3,6,Heal Spirit,9,12,Golden Knight,1,4,Magic Archer,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VJULVG,S-Bahn,6600,0,#L0QPV,UNAUFHALTSAM,16000002,Mega Knight,3,6,Ram Rider,3,6,Royal Ghost,3,6,Bandit,3,6,Archer Queen,1,4,Electro Spirit,11,14,Lightning,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T052746.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,10,eventDeck,#99C9PP9L,⚡️mau⚡️,6806,1,#LUVPQRJP,ThunderStorm™️,16000010,Bandit,3,6,Barbarian Barrel,6,9,Cannon Cart,6,9,Electro Wizard,3,6,Heal Spirit,9,12,Golden Knight,1,4,Magic Archer,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C9LQCJP82,薔薇,2019,0,#Q9UVC0UQ,ふんころがし,16000128,Electro Spirit,11,14,Mega Minion,9,12,Barbarian Barrel,6,9,Dark Prince,6,9,Mother Witch,3,6,Royal Giant,11,14,Fisherman,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T052358.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,9,eventDeck,#99C9PP9L,⚡️mau⚡️,6806,1,#LUVPQRJP,ThunderStorm™️,16000010,Bandit,3,6,Barbarian Barrel,6,9,Cannon Cart,6,9,Electro Wizard,3,6,Heal Spirit,9,12,Golden Knight,1,4,Magic Archer,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VGG29RJ2,코코,6600,0,#PGPV0GG,잎새,16000170,Bats,11,14,Guards,6,9,Rascals,11,14,Miner,3,6,Mortar,11,14,Dart Goblin,9,12,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T051731.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#99C9PP9L,⚡️mau⚡️,6806,1,#LUVPQRJP,ThunderStorm™️,16000010,Bandit,3,6,Barbarian Barrel,6,9,Cannon Cart,6,9,Electro Wizard,3,6,Heal Spirit,9,12,Golden Knight,1,4,Magic Archer,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RVVVGG89P,❧❀夜櫻餅☪︎☙,1721,0,#LQ0QVRCP,luck luck luck,16000021,Mega Knight,3,6,Ram Rider,3,6,Lightning,6,9,Giant Snowball,11,14,Bandit,3,6,Archer Queen,1,4,Royal Ghost,3,6,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T051305.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#99C9PP9L,⚡️mau⚡️,6806,1,#LUVPQRJP,ThunderStorm™️,16000010,Bandit,3,6,Barbarian Barrel,6,9,Cannon Cart,6,9,Electro Wizard,3,6,Heal Spirit,9,12,Golden Knight,1,4,Magic Archer,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJC9GUL8,공부좀하자,6670,0,#QCYQY9,부산,16000116,Barbarian Barrel,6,9,Graveyard,3,6,Minions,11,14,Archer Queen,1,4,Freeze,6,9,Tombstone,9,12,Knight,11,14,Royal Delivery,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T050803.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#99C9PP9L,⚡️mau⚡️,6806,1,#LUVPQRJP,ThunderStorm™️,16000010,Bandit,3,6,Barbarian Barrel,6,9,Cannon Cart,6,9,Electro Wizard,3,6,Heal Spirit,9,12,Golden Knight,1,4,Magic Archer,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YCPCPJ8,故人,6630,0,#YRJC2JC0,吸猫狂人部落,16000035,Rocket,9,12,Rascals,11,14,Goblin Barrel,6,9,Dark Prince,6,9,Bandit,3,6,Princess,3,6,Cannon Cart,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T050231.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,5,eventDeck,#99C9PP9L,⚡️mau⚡️,6806,1,#LUVPQRJP,ThunderStorm™️,16000010,Bandit,3,6,Barbarian Barrel,6,9,Cannon Cart,6,9,Electro Wizard,3,6,Heal Spirit,9,12,Golden Knight,1,4,Magic Archer,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VLUL298,ɽiɕɧպɑɑɳɳɳ_ʂʋx❦,5794,0,,,,Electro Wizard,3,6,Giant,9,12,Dark Prince,6,9,Zap,11,14,Mega Minion,9,12,Miner,3,6,Prince,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T045847.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#99C9PP9L,⚡️mau⚡️,6806,1,#LUVPQRJP,ThunderStorm™️,16000010,Bandit,3,6,Barbarian Barrel,6,9,Cannon Cart,6,9,Electro Wizard,3,6,Heal Spirit,9,12,Golden Knight,1,4,Magic Archer,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PL9LYY88,龍溪｜小黄,5748,0,#8Y92P0L9,龍溪 CR,16000012,Giant,9,12,Dark Prince,6,9,Mega Minion,9,12,Zap,11,14,Fireball,9,12,Electro Wizard,3,6,Miner,3,6,Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T045517.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#99C9PP9L,⚡️mau⚡️,6806,1,#LUVPQRJP,ThunderStorm™️,16000010,Bandit,3,6,Barbarian Barrel,6,9,Cannon Cart,6,9,Electro Wizard,3,6,Heal Spirit,9,12,Golden Knight,1,4,Magic Archer,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22V00UUU,Erik Benjamin,5163,0,#YGQ0YCLC,los uno,16000139,Mega Minion,9,12,Zap,11,14,Minions,11,14,Ice Wizard,3,6,Mini P.E.K.K.A,9,12,Knight,11,14,Hog Rider,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T044834.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#99C9PP9L,⚡️mau⚡️,6806,2,#LUVPQRJP,ThunderStorm™️,16000010,Bandit,3,6,Barbarian Barrel,6,9,Cannon Cart,6,9,Electro Wizard,3,6,Heal Spirit,9,12,Golden Knight,1,4,Magic Archer,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89C9C09P0,XxCOSTAxX,5219,0,#LP0VL28P,Hammer hart,16000164,Mega Knight,3,6,Ice Wizard,3,6,Tesla,11,14,Poison,6,9,Valkyrie,9,12,Archer Queen,1,4,Mother Witch,3,6,Balloon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
