type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T182611.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#99R0JJ0V,fernanml02,6682,0,#8J0PUUG9,VirtualTeam,16000084,Rocket,12,12,Guards,9,9,Goblin Barrel,9,9,The Log,6,6,Rascals,14,14,Dart Goblin,12,12,Prince,9,9,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CPL90YLQ,epicwinner❤Tilt,6658,1,#L8R8R082,Havoc,16000139,Graveyard,6,6,Inferno Dragon,6,6,Bowler,9,9,Arrows,14,14,Archer Queen,4,4,Cannon Cart,9,9,Valkyrie,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182237.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#99R0JJ0V,fernanml02,6709,0,#8J0PUUG9,VirtualTeam,16000084,Rocket,12,12,Guards,9,9,Goblin Barrel,9,9,The Log,6,6,Rascals,14,14,Dart Goblin,12,12,Prince,9,9,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJVV2RPJ,огненный демон,6736,1,#LLL9PP98,ps 5,16000072,Balloon,9,9,Tornado,9,9,Barbarian Barrel,8,9,Bowler,9,9,Inferno Dragon,6,6,Electro Dragon,9,9,Freeze,8,9,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181904.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#99R0JJ0V,fernanml02,6742,0,#8J0PUUG9,VirtualTeam,16000084,P.E.K.K.A,9,9,Electro Wizard,6,6,Barbarian Barrel,9,9,Fireball,12,12,Archer Queen,4,4,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VQ8UV8JL,ACE MiguelDヅ,6697,1,#LV9RU8J2,Los Toys,16000028,Ram Rider,6,6,Barbarian Barrel,9,9,Fireball,12,12,Bandit,6,6,Dark Prince,9,9,P.E.K.K.A,9,9,Electro Wizard,6,6,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181407.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#99R0JJ0V,fernanml02,6710,1,#8J0PUUG9,VirtualTeam,16000084,P.E.K.K.A,9,9,Electro Wizard,6,6,Barbarian Barrel,9,9,Fireball,12,12,Archer Queen,4,4,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JQJGP8Y,Karrlos rabiA98,6734,0,#QJGCRLGL,@_carlosaibar_,16000172,Skeleton Dragons,14,14,Balloon,9,9,Zap,14,14,Inferno Dragon,6,6,Miner,6,6,Skeleton Army,9,9,Arrows,14,14,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181052.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#99R0JJ0V,fernanml02,6680,3,#8J0PUUG9,VirtualTeam,16000084,P.E.K.K.A,9,9,Electro Wizard,6,6,Barbarian Barrel,9,9,Fireball,12,12,Archer Queen,4,4,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UQ8C0CQY,Adam,6689,1,#8VUVGPVC,vikings br,16000027,Elixir Golem,12,12,Night Witch,6,6,Fireball,12,12,Electro Dragon,9,9,Rage,9,9,Inferno Dragon,6,6,Arrows,14,14,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180914.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#99R0JJ0V,fernanml02,6707,0,#8J0PUUG9,VirtualTeam,16000084,P.E.K.K.A,9,9,Electro Wizard,6,6,Barbarian Barrel,9,9,Fireball,12,12,Archer Queen,4,4,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UJYRYCU9,鬼柱 鬼舞辻無惨,6740,1,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Archer Queen,4,4,Magic Archer,6,6,Battle Ram,12,12,Barbarian Barrel,9,9,Heal Spirit,12,12,Elite Barbarians,14,14,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180602.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#99R0JJ0V,fernanml02,6736,0,#8J0PUUG9,VirtualTeam,16000084,P.E.K.K.A,9,9,Electro Wizard,6,6,Barbarian Barrel,9,9,Fireball,12,12,Archer Queen,4,4,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#298JQJGRY,Brazilian storm,6737,1,#PVYCCQGY,ButecoClash,16000136,Royal Giant,14,14,The Log,6,6,Ice Wizard,6,6,Mega Minion,12,12,Poison,9,9,Skeletons,14,14,Tornado,9,9,Cannon,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180051.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#99R0JJ0V,fernanml02,6765,0,#8J0PUUG9,VirtualTeam,16000084,P.E.K.K.A,9,9,Electro Wizard,6,6,Barbarian Barrel,9,9,Fireball,12,12,Archer Queen,4,4,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q289YQR0,Alechek,6768,1,#29QR2Q,MOSCOW,16000072,Fire Spirit,14,14,Skeletons,14,14,The Log,6,6,Royal Delivery,14,14,Earthquake,12,12,Goblin Cage,12,12,Archer Queen,4,4,Royal Hogs,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175722.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#99R0JJ0V,fernanml02,6729,1,#8J0PUUG9,VirtualTeam,16000084,P.E.K.K.A,9,9,Electro Wizard,6,6,Barbarian Barrel,9,9,Fireball,12,12,Archer Queen,4,4,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29LGY2JGJ,carka,6805,0,#8GVGG2CC,R.I.P Angels,16000044,Sparky,6,6,Inferno Dragon,6,6,Bandit,6,6,Magic Archer,6,6,Mega Knight,6,6,Arrows,14,14,Mirror,9,9,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175238.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#99R0JJ0V,fernanml02,6761,0,#8J0PUUG9,VirtualTeam,16000084,P.E.K.K.A,9,9,Electro Wizard,6,6,Barbarian Barrel,9,9,Fireball,12,12,Archer Queen,4,4,Ram Rider,6,6,Bandit,6,6,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GUQJCGY,DartnDave,6735,1,#29GYYJYG,Fat Nug,16000076,Arrows,14,14,Tesla,14,14,Mirror,9,9,Valkyrie,12,12,Hog Rider,12,12,Freeze,9,9,Hunter,9,9,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
