type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T182354.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9C8RPQ8G8,奧特☠amine,6987,0,#LGQG2GJC,★TBT eSports★,16000024,Mega Knight,6,6,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Barbarian Barrel,9,9,Lightning,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UL0JU92V,Bat Ivko,7016,1,#LLQYYRCY,InTheStorm,16000020,Zap,14,14,Bandit,6,6,Archer Queen,4,4,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181723.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9C8RPQ8G8,奧特☠amine,6949,1,#LGQG2GJC,★TBT eSports★,16000024,Mega Knight,6,6,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Barbarian Barrel,9,9,Lightning,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJ09Y2JL,TRB Miniminter,7051,0,,,,Electro Giant,9,9,Goblin Cage,12,12,Lightning,9,9,Archer Queen,4,4,Dark Prince,9,9,Mega Minion,12,12,Tornado,8,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181059.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9C8RPQ8G8,奧特☠amine,6978,0,#LGQG2GJC,★TBT eSports★,16000024,Mega Knight,6,6,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Barbarian Barrel,9,9,Lightning,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9YV9GR8R,Mohamed Light,6988,1,,,,Archer Queen,4,4,Electro Wizard,6,6,Battle Ram,12,12,Barbarian Barrel,9,9,Heal Spirit,12,12,Elite Barbarians,14,14,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180340.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9C8RPQ8G8,奧特☠amine,6949,3,#LGQG2GJC,★TBT eSports★,16000024,Mega Knight,6,6,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Barbarian Barrel,9,9,Lightning,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYQ8PY90J,chicopercebe,6941,1,#YV2JRC0Q,CRL NOVA I MEX5,16000111,Mega Knight,6,6,Balloon,9,9,Electro Spirit,14,14,Minions,14,14,Ice Golem,12,12,Hunter,9,9,Giant Snowball,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T175721.000Z,,54000008,Arena 7,72000087,ClassicDecks_Friendly,,predefined,#9C8RPQ8G8,奧特☠amine,6949,3,#LGQG2GJC,★TBT eSports★,16000024,Princess,3,6,Goblin Gang,11,14,Goblin Barrel,6,9,Knight,11,14,Ice Spirit,11,14,The Log,3,6,Inferno Tower,9,12,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J8GJR9PJ8,lill flopy,3060,0,#L9PL0QR,BouMaShyn,16000108,Mega Knight,3,6,Inferno Dragon,3,6,Goblin Gang,11,14,Spear Goblins,11,14,Skeleton Barrel,11,14,Miner,3,6,Bats,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T174858.000Z,,54000007,Arena 10,72000007,Friendly,,collection,#9C8RPQ8G8,奧特☠amine,6949,2,#LGQG2GJC,★TBT eSports★,16000024,Valkyrie,9,12,Ice Wizard,3,6,Baby Dragon,6,9,Tombstone,9,12,Graveyard,3,6,Poison,6,9,Tornado,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J8GJR9PJ8,lill flopy,3060,0,#L9PL0QR,BouMaShyn,16000108,Ice Golem,9,12,Musketeer,9,12,Skeletons,11,14,Hog Rider,9,12,Cannon,11,14,Minions,11,14,Ice Spirit,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T174537.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#9C8RPQ8G8,奧特☠amine,6949,2,#LGQG2GJC,★TBT eSports★,16000024,Bandit,3,6,Princess,3,6,Hunter,6,9,The Log,3,6,Inferno Tower,9,12,Rocket,9,12,Ice Golem,9,12,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J8GJR9PJ8,lill flopy,3060,0,#L9PL0QR,BouMaShyn,16000108,Sparky,3,6,Firecracker,11,14,Electro Dragon,6,9,Arrows,11,14,Lumberjack,3,6,Poison,6,9,Royal Ghost,3,6,Battle Ram,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T174153.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#9C8RPQ8G8,奧特☠amine,6949,3,#LGQG2GJC,★TBT eSports★,16000024,Electro Dragon,6,9,Dart Goblin,9,12,Prince,6,9,Poison,6,9,Cannon Cart,6,9,Fire Spirit,11,14,Electro Giant,6,9,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J8GJR9PJ8,lill flopy,3060,0,#L9PL0QR,BouMaShyn,16000108,Executioner,6,9,Firecracker,11,14,Royal Ghost,3,6,Fireball,9,12,Bandit,3,6,Guards,6,9,Balloon,6,9,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173835.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9C8RPQ8G8,奧特☠amine,6921,1,#LGQG2GJC,★TBT eSports★,16000024,Mega Knight,6,6,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Barbarian Barrel,9,9,Poison,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29C8YJRUP,ayoub Darken,6900,0,#QG9RL,maroc,16000146,Giant,12,12,Giant Snowball,14,14,Skeleton Army,9,9,Bats,14,14,Graveyard,6,6,Musketeer,12,12,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173435.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9C8RPQ8G8,奧特☠amine,6941,2,#LGQG2GJC,★TBT eSports★,16000024,Mega Knight,6,6,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Barbarian Barrel,9,9,Lightning,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,7052,3,#8UL8V0Q0,CLASHwithINDIAN,16000059,Lava Hound,6,6,Mega Minion,12,12,Tombstone,12,12,Barbarians,14,14,Lightning,9,9,Zap,14,14,Skeleton Dragons,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
