type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T192352.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6841,0,#JQPCJY,Spratci,16000087,Golden Knight,4,4,Skeletons,14,14,Poison,9,9,Royal Delivery,14,14,Dart Goblin,12,12,The Log,6,6,Miner,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPU22G9Q,くろくも,6769,1,#LV88UQ09,ピー助様の絶対王政,16000013,Royal Giant,14,14,Giant Skeleton,9,9,The Log,6,6,Archer Queen,4,4,Electro Spirit,14,14,Zappies,12,12,Earthquake,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T191807.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6810,1,#LQ29RGCU,YouTube,16000012,Golden Knight,4,4,Skeletons,14,14,Poison,9,9,Royal Delivery,14,14,Dart Goblin,12,12,The Log,6,6,Miner,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PVV28U8,Trainer跟Vigo跟,6825,0,#G0CV0URU,Virtus Tryout,16000016,Elixir Golem,12,12,Inferno Dragon,6,6,Arrows,14,14,Elite Barbarians,14,14,Electro Dragon,9,9,Heal Spirit,12,12,Rage,9,9,Battle Healer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T191430.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6841,0,#LQ29RGCU,YouTube,16000012,Golden Knight,4,4,Skeletons,14,14,Poison,9,9,Royal Delivery,14,14,Dart Goblin,12,12,The Log,6,6,Miner,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22VLYRVYC,金●MAURI●金,6824,1,#9GLGP29L,mx royale™,16000123,Giant,12,12,Prince,9,9,Fireball,12,12,Dark Prince,9,9,Mega Minion,12,12,Electro Wizard,6,6,Zap,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T191005.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6868,1,#LQ29RGCU,YouTube,16000012,Golden Knight,4,4,Skeletons,14,14,Poison,9,9,Royal Delivery,14,14,Dart Goblin,12,12,The Log,6,6,Miner,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90QCVRRGR,Snow⛄️ ™️,6897,2,#LPURR99V,Sentinels,16000044,Lava Hound,6,6,Balloon,9,9,Tombstone,12,12,Skeleton Dragons,14,14,Mega Minion,12,12,Fireball,12,12,Barbarians,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T190455.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6842,1,#LQ29RGCU,YouTube,16000012,Golden Knight,4,4,Skeletons,14,14,Poison,9,9,Royal Delivery,14,14,Dart Goblin,12,12,The Log,6,6,Miner,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V8YPU0VJ,Armando❤Daniela,6801,0,#Y2JLVUU0,FAMILIA HN⚡,16000144,Giant,12,12,Minions,14,14,Giant Snowball,14,14,Graveyard,6,6,Archer Queen,4,4,Arrows,14,14,Dark Prince,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185912.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6815,1,#LQ29RGCU,YouTube,16000012,Golden Knight,4,4,Fire Spirit,14,14,Poison,9,9,Royal Delivery,14,14,Dart Goblin,12,12,The Log,6,6,Miner,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P2CCV2GY,Dario_6,6784,0,#JVJLU,ZARAGOZA 1,16000063,Bandit,6,6,Magic Archer,6,6,Heal Spirit,12,12,Mother Witch,6,6,Royal Ghost,6,6,Elite Barbarians,14,14,Barbarian Barrel,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T185321.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6786,1,#LQ29RGCU,YouTube,16000012,Golden Knight,4,4,Fire Spirit,14,14,Poison,9,9,Giant Snowball,14,14,Dart Goblin,12,12,Skeletons,14,14,Miner,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U8QC00V0,Magic Jannik,6776,0,#PU0R0PQC,Gin & Juice,16000141,Tornado,9,9,Wall Breakers,9,9,Magic Archer,6,6,Fireball,12,12,Spear Goblins,14,14,Miner,6,6,Valkyrie,12,12,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184911.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6813,0,#LQ29RGCU,YouTube,16000012,Golden Knight,4,4,Fire Spirit,14,14,Poison,9,9,Giant Snowball,14,14,Dart Goblin,12,12,Skeletons,14,14,Miner,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QJPL89GU,ポーネグリフ,6841,1,#9YY8J9L2,大阪まったりクラン,16000054,Archer Queen,4,4,Earthquake,12,12,The Log,6,6,Royal Hogs,12,12,Fire Spirit,14,14,Goblin Cage,12,12,Skeletons,14,14,Royal Delivery,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184454.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6786,1,#LQ29RGCU,YouTube,16000012,Golden Knight,4,4,Fire Spirit,14,14,Poison,9,9,Giant Snowball,14,14,Dart Goblin,12,12,Skeletons,14,14,Miner,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#202C2CU0U,⚡Manoel⚡,6758,0,#L0U88RPP,AdultosdoROCK,16000010,Giant,12,12,Bowler,9,9,Night Witch,6,6,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184035.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6815,0,#LQ29RGCU,YouTube,16000012,Golden Knight,4,4,Bandit,6,6,Magic Archer,6,6,Barbarian Barrel,9,9,Royal Ghost,6,6,Cannon Cart,9,9,Fireball,12,12,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#822RQGYP,ZP I RAPHA 974✅,6820,1,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
