type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T093312.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#9GCCJJCG9,DP l Car❤️26™,6854,3,#Y0GC9GV8,Dark Phamton ⚽⚡,16000044,Ram Rider,3,6,Archer Queen,1,4,Mega Knight,3,6,Electro Spirit,11,14,Bats,11,14,Bandit,3,6,Royal Ghost,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L2CQRYRL,Lustian,5369,0,#8898U8CP,black_dragons,16000009,Ram Rider,3,6,Guards,6,9,Clone,6,9,Goblin Gang,11,14,P.E.K.K.A,6,9,Battle Healer,9,12,Inferno Dragon,3,6,Balloon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T092957.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#9GCCJJCG9,DP l Car❤️26™,6854,3,#Y0GC9GV8,Dark Phamton ⚽⚡,16000044,Ram Rider,3,6,Archer Queen,1,4,Mega Knight,3,6,Electro Spirit,11,14,Bats,11,14,Bandit,3,6,Royal Ghost,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G9PV2G9P,Stefan,5526,0,#98VC2PP9,#ClashArena,16000163,Ram Rider,3,6,Lumberjack,3,6,Guards,6,9,Baby Dragon,6,9,Mega Knight,3,6,Electro Wizard,3,6,Valkyrie,9,12,Dart Goblin,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T092241.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#9GCCJJCG9,DP l Car❤️26™,6854,1,#Y0GC9GV8,Dark Phamton ⚽⚡,16000044,Elite Barbarians,14,14,Mother Witch,6,6,The Log,6,6,Heal Spirit,12,12,Electro Wizard,6,6,Bandit,6,6,Golden Knight,2,4,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#222URLVR,MadKing Pro,6250,0,#9JP8GQLQ,Alta gama,16000044,Royal Giant,14,14,Dark Prince,9,9,Inferno Dragon,6,6,Fireball,12,12,Fisherman,6,6,Mega Minion,12,12,Barbarian Barrel,9,9,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T084240.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9GCCJJCG9,DP l Car❤️26™,6827,1,,,,Bandit,6,6,Cannon Cart,9,9,Dark Prince,9,9,Fireball,12,12,Mother Witch,6,6,Goblin Drill,9,9,Electro Wizard,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#299VP2C98,TL IVAN,6803,0,#Q0Q2J8V9,Anti-Massas,16000014,Tesla,14,14,Goblin Drill,9,9,Magic Archer,6,6,Earthquake,12,12,Valkyrie,12,12,Tornado,9,9,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T081909.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9GCCJJCG9,DP l Car❤️26™,6796,1,,,,Bandit,6,6,Cannon Cart,9,9,Dark Prince,9,9,Fireball,12,12,Mother Witch,6,6,Goblin Drill,9,9,Electro Wizard,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80LVLRVQ,Davorin,6811,0,,,,Skeleton Army,9,9,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Dart Goblin,12,12,The Log,6,6,Princess,6,6,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T081456.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9GCCJJCG9,DP l Car❤️26™,6766,1,,,,Bandit,6,6,Cannon Cart,9,9,Dark Prince,9,9,Fireball,12,12,Mother Witch,6,6,Goblin Drill,9,9,Electro Wizard,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UV0PRR9R,Shaba,6775,0,,,,Electro Giant,9,9,Archer Queen,4,4,Skeletons,14,14,Lightning,9,9,Tornado,9,9,Goblin Cage,12,12,Bomber,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T080259.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9GCCJJCG9,DP l Car❤️26™,6737,2,,,,Bandit,6,6,Cannon Cart,9,9,Dark Prince,9,9,Fireball,12,12,Mother Witch,6,6,Goblin Drill,9,9,Electro Wizard,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P9GU0C2C,⚡SCORPION⚡,6732,1,#92LGR2LG,mashhad,16000044,Lava Hound,6,6,Inferno Dragon,6,6,Miner,6,6,Arrows,14,14,Balloon,9,9,Skeleton Dragons,14,14,Barbarians,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T075835.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9GCCJJCG9,DP l Car❤️26™,6767,1,,,,Bandit,6,6,Cannon Cart,9,9,Dark Prince,9,9,Fireball,12,12,Mother Witch,6,6,Goblin Drill,9,9,Electro Wizard,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2GV0Q9C,Dominican CR☠️,6760,2,#LQ82RJQ2,nerf al minero,16000108,Barbarian Barrel,9,9,Dark Prince,9,9,Royal Hogs,12,12,Bats,14,14,Mega Knight,6,6,Electro Spirit,14,14,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T075355.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9GCCJJCG9,DP l Car❤️26™,6738,1,,,,Elite Barbarians,14,14,Mother Witch,6,6,The Log,6,6,Heal Spirit,12,12,Electro Wizard,6,6,Bandit,6,6,Golden Knight,2,4,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPP88C0,りんご坊や@Rikuth™️,6735,0,#QPY0UUGG,バームクーヘン,16000107,Goblin Drill,9,9,Giant Snowball,14,14,Magic Archer,6,6,Electro Wizard,6,6,Cannon Cart,9,9,Golden Knight,4,4,Royal Ghost,6,6,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T020744.000Z,,54000017,Master III,72000007,Friendly,,collection,#9GCCJJCG9,DP l Car❤️26™,6738,0,#LQ2QRC2Y,entreno,16000118,Fireball,9,12,Musketeer,9,12,Ice Spirit,11,14,Ice Golem,9,12,Hog Rider,9,12,The Log,3,6,Skeletons,11,14,Cannon,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22RJQ8GJL,Camilo,6140,1,#LQ2QRC2Y,entreno,16000118,Fireball,9,12,Musketeer,9,12,Ice Spirit,11,14,Ice Golem,9,12,Hog Rider,9,12,The Log,3,6,Skeletons,11,14,Cannon,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
