type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T052537.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9LVVRL0JC,❖Z҉hini҉g҉am҉I҉,6899,2,#8PUGVQLJ,ECU r0mp3tU@n0,16000073,Skeleton Army,9,9,Minion Horde,14,14,Hog Rider,12,12,The Log,6,6,Zap,14,14,Princess,6,6,Goblin Gang,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#200U8CULL,RoCaT,6876,1,#LR0UL202,Twitter@RoCaT20,16000179,Lava Hound,6,6,Arrows,14,14,Electro Dragon,9,9,Flying Machine,12,12,Skeleton Dragons,14,14,Tombstone,12,12,Barbarians,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T052104.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9LVVRL0JC,❖Z҉hini҉g҉am҉I҉,6923,0,#8PUGVQLJ,ECU r0mp3tU@n0,16000073,Skeleton Army,9,9,Minion Horde,14,14,Hog Rider,12,12,The Log,6,6,Zap,14,14,Princess,6,6,Goblin Gang,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPR2LQ02,Colin✨,6986,1,#PYRVG0YU,Harbor Kingdom,16000013,Electro Giant,9,9,Earthquake,12,12,Tombstone,12,12,Archer Queen,4,4,Skeletons,14,14,Bomber,14,14,Tornado,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T045825.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9LVVRL0JC,❖Z҉hini҉g҉am҉I҉,6896,3,#8PUGVQLJ,ECU r0mp3tU@n0,16000073,Skeleton Army,9,9,Minion Horde,14,14,Hog Rider,12,12,The Log,6,6,Zap,14,14,Princess,6,6,Goblin Gang,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JP9UG8GL,Rakan❤️Jehad,6869,1,#LQGQUJRU,Friends❤️,16000168,Lava Hound,6,6,Arrows,14,14,Zap,14,14,Barbarians,14,14,Inferno Dragon,6,6,Skeleton Dragons,14,14,Balloon,9,9,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T042136.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9LVVRL0JC,❖Z҉hini҉g҉am҉I҉,6859,1,#8PUGVQLJ,ECU r0mp3tU@n0,16000073,Skeleton Army,9,9,Minion Horde,14,14,Hog Rider,12,12,The Log,6,6,Zap,14,14,Princess,6,6,Goblin Gang,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GYU99CCL,Eclipse,6942,0,,,,Giant Snowball,14,14,Magic Archer,6,6,Bandit,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Royal Ghost,6,6,Skeletons,14,14,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T041731.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9LVVRL0JC,❖Z҉hini҉g҉am҉I҉,6898,0,#8PUGVQLJ,ECU r0mp3tU@n0,16000073,Skeleton Army,9,9,Minion Horde,14,14,Hog Rider,12,12,The Log,6,6,Zap,14,14,Princess,6,6,Goblin Gang,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L29R29V8,A҉s҉o҉s҉1҉1҉❤️,6779,1,#LQGQUJRU,Friends❤️,16000168,Goblin Cage,12,12,Barbarian Barrel,9,9,Zappies,12,12,Fireball,12,12,Royal Recruits,14,14,Royal Hogs,12,12,Flying Machine,12,12,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T041151.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9LVVRL0JC,❖Z҉hini҉g҉am҉I҉,6878,1,#8PUGVQLJ,ECU r0mp3tU@n0,16000073,Skeleton Army,9,9,Minion Horde,14,14,Hog Rider,12,12,The Log,6,6,Zap,14,14,Princess,6,6,Goblin Gang,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VJ2UCYVC,DylanBj777Noob,6769,0,#LUVLQ92U,StrayKatz,16000008,Tombstone,12,12,Valkyrie,12,12,Fireball,12,12,Ice Wizard,6,6,Tornado,9,9,Barbarian Barrel,9,9,Graveyard,6,6,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T040436.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9LVVRL0JC,❖Z҉hini҉g҉am҉I҉,6848,1,#8PUGVQLJ,ECU r0mp3tU@n0,16000073,Skeleton Army,9,9,Minion Horde,14,14,Hog Rider,12,12,The Log,6,6,Zap,14,14,Princess,6,6,Goblin Gang,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20LULJVCJ,Nobody™,6850,0,#LR0GVCJQ,NICARAGUA,16000114,Fireball,12,12,Bats,14,14,Dart Goblin,12,12,Skeleton Barrel,14,14,Mega Knight,6,6,Skeleton Army,9,9,Electro Wizard,6,6,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T040035.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9LVVRL0JC,❖Z҉hini҉g҉am҉I҉,6876,0,#8PUGVQLJ,ECU r0mp3tU@n0,16000073,Skeleton Army,9,9,Minion Horde,14,14,Hog Rider,12,12,The Log,6,6,Zap,14,14,Princess,6,6,Goblin Gang,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2989Y20R8,♥️Kaori✨宮園♥️,6892,1,#YV9C9GVP,eXiledKings,16000029,Tesla,14,14,Skeletons,14,14,Earthquake,12,12,The Log,6,6,Hog Rider,12,12,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T035257.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9LVVRL0JC,❖Z҉hini҉g҉am҉I҉,6847,1,#8PUGVQLJ,ECU r0mp3tU@n0,16000073,Skeleton Army,9,9,Minion Horde,14,14,Hog Rider,12,12,The Log,6,6,Zap,14,14,Princess,6,6,Goblin Gang,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YRJULRCR,Kauã ♥️X-Bow,6846,0,#YPL0CYUP,ELZ1 eSports,16000122,Giant,12,12,Prince,9,9,Mega Minion,12,12,Fireball,12,12,Miner,6,6,Dark Prince,9,9,Electro Wizard,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T032524.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9LVVRL0JC,❖Z҉hini҉g҉am҉I҉,6825,3,#8PUGVQLJ,ECU r0mp3tU@n0,16000073,Skeleton Army,9,9,Minion Horde,14,14,Hog Rider,12,12,The Log,6,6,Zap,14,14,Princess,6,6,Goblin Gang,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VLJCR2C,Skyzer,6741,0,#9CPV098R,Titan Warfare,16000156,Royal Giant,14,14,Skeleton King,4,4,Skeleton Army,9,9,Mother Witch,6,6,Fisherman,6,6,Fireball,12,12,Zappies,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
