type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20220104T183120.000Z,,54000017,Master III,72000007,Friendly,,collection,#9PQ22829R,404- Not Found,6786,1,#LR2YPQQG,Allı,16000128,Royal Giant,11,14,Archer Queen,1,4,The Log,3,6,Fisherman,3,6,Royal Ghost,3,6,Fireball,9,12,Skeletons,11,14,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YVLYQ98UC,✨GAMZELİ KIZ✨,6321,2,#LR2YPQQG,Allı,16000128,Magic Archer,3,6,Ram Rider,3,6,Goblin Barrel,6,9,Hunter,6,9,Skeleton Army,6,9,Valkyrie,9,12,Giant Skeleton,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T182718.000Z,,54000017,Master III,72000007,Friendly,,collection,#9PQ22829R,404- Not Found,6786,0,#LR2YPQQG,Allı,16000128,Giant,9,12,Bowler,6,9,Graveyard,3,6,Bats,11,14,Skeleton Army,6,9,Night Witch,3,6,Arrows,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YVLYQ98UC,✨GAMZELİ KIZ✨,6321,1,#LR2YPQQG,Allı,16000128,Magic Archer,3,6,Ram Rider,3,6,Goblin Barrel,6,9,Hunter,6,9,Skeleton Army,6,9,Valkyrie,9,12,Giant Skeleton,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T182201.000Z,,54000017,Master III,72000007,Friendly,,collection,#9PQ22829R,404- Not Found,6786,0,#LR2YPQQG,Allı,16000128,Cannon Cart,6,9,Princess,3,6,Archer Queen,1,4,Goblin Barrel,6,9,Giant Snowball,11,14,Rocket,9,12,Bandit,3,6,Rascals,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YVLYQ98UC,✨GAMZELİ KIZ✨,6321,1,#LR2YPQQG,Allı,16000128,Magic Archer,3,6,Ram Rider,3,6,Goblin Barrel,6,9,Hunter,6,9,Skeleton Army,6,9,Valkyrie,9,12,Giant Skeleton,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T180730.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#9PQ22829R,404- Not Found,6786,0,#LR2YPQQG,Allı,16000128,The Log,5,6,Goblin Cage,8,12,Royal Hogs,8,12,Fire Spirit,11,14,Magic Archer,3,6,Royal Delivery,10,14,Skeletons,10,14,Earthquake,8,12,#YVLYQ98UC,✨GAMZELİ KIZ✨,,0,#LR2YPQQG,Allı,16000128,Magic Archer,6,6,Ram Rider,6,6,Goblin Barrel,9,9,Hunter,9,9,Skeleton Army,9,9,Valkyrie,12,12,Giant Skeleton,9,9,Fireball,12,12,#2LPGV0G80,Gr8 Chelsea fan,5122,3,#LQG0QLVC,TeRRoR SQuaD,16000122,Zap,13,14,Mini P.E.K.K.A,11,12,Magic Archer,4,6,Prince,8,9,P.E.K.K.A,8,9,Poison,8,9,Bandit,4,6,Electro Wizard,4,6,#9JCVRP0J0,Ajay,,3,#PU2L8CC,AKATSUKI☁,16000007,Fire Spirit,12,14,Valkyrie,11,12,Bats,12,14,Firecracker,13,14,Executioner,7,9,The Log,3,6,Ram Rider,5,6,Fireball,11,12
PvP,20220104T174512.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9PQ22829R,404- Not Found,6755,3,#Q8GJCVCJ,youtube,16000030,Electro Dragon,9,9,Baby Dragon,9,9,Elite Barbarians,14,14,Night Witch,6,6,Tornado,9,9,Golem,9,9,Mini P.E.K.K.A,12,12,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PVG0C9CR,すぷらっしゅ☪️おぉかみ❤️,6770,1,#YJQPRRQV,Splash moon,16000032,Ice Wizard,6,6,Tesla,14,14,Rocket,12,12,Skeletons,14,14,X-Bow,9,9,Valkyrie,12,12,The Log,6,6,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T172431.000Z,,54000017,Master III,72000007,Friendly,,collection,#9PQ22829R,404- Not Found,6755,1,#Q8GJCVCJ,youtube,16000030,Golem,6,9,Night Witch,3,6,Lumberjack,3,6,Baby Dragon,6,9,Skeleton Dragons,11,14,Giant Skeleton,6,9,Clone,6,9,Skeleton Barrel,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYJRVLCVJ,imparator orhan,6624,3,#Q8GJCVCJ,youtube,16000030,Inferno Dragon,3,6,Barbarian Barrel,6,9,Fireball,9,12,Lumberjack,3,6,Bandit,3,6,Magic Archer,3,6,Ram Rider,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T172013.000Z,,54000017,Master III,72000007,Friendly,,collection,#9PQ22829R,404- Not Found,6755,1,#Q8GJCVCJ,youtube,16000030,Tornado,6,9,Freeze,6,9,Inferno Dragon,3,6,Royal Ghost,3,6,Prince,6,9,Baby Dragon,6,9,Golem,6,9,Night Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYJRVLCVJ,imparator orhan,6624,2,#Q8GJCVCJ,youtube,16000030,Lava Hound,3,6,Lumberjack,3,6,Baby Dragon,6,9,Skeleton Army,6,9,Fireball,9,12,Flying Machine,9,12,Bats,11,14,Clone,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T171555.000Z,,54000017,Master III,72000007,Friendly,,collection,#9PQ22829R,404- Not Found,6755,0,#Q8GJCVCJ,youtube,16000030,Cannon Cart,6,9,Princess,3,6,Archer Queen,1,4,Goblin Barrel,6,9,Giant Snowball,11,14,Rocket,9,12,Bandit,3,6,Rascals,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYJRVLCVJ,imparator orhan,6624,1,#Q8GJCVCJ,youtube,16000030,Royal Hogs,9,12,Goblin Cage,9,12,Mother Witch,3,6,Barbarian Barrel,6,9,Royal Recruits,11,14,Zappies,9,12,Electro Spirit,11,14,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T170935.000Z,,54000017,Master III,72000007,Friendly,,collection,#9PQ22829R,404- Not Found,6755,2,#Q8GJCVCJ,youtube,16000030,Giant,9,12,Bowler,6,9,Graveyard,3,6,Bats,11,14,Skeleton Army,6,9,Night Witch,3,6,Arrows,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYJRVLCVJ,imparator orhan,6624,3,#Q8GJCVCJ,youtube,16000030,Electro Giant,6,9,Baby Dragon,6,9,Lightning,6,9,Skeletons,11,14,Goblin Cage,9,12,Archer Queen,1,4,Tornado,6,9,Dark Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T170525.000Z,,54000017,Master III,72000007,Friendly,,collection,#9PQ22829R,404- Not Found,6755,1,#Q8GJCVCJ,youtube,16000030,Royal Giant,11,14,Archer Queen,1,4,The Log,3,6,Fisherman,3,6,Royal Ghost,3,6,Fireball,9,12,Skeletons,11,14,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYJRVLCVJ,imparator orhan,6624,2,#Q8GJCVCJ,youtube,16000030,Mega Knight,3,6,Inferno Dragon,3,6,Ram Rider,3,6,Barbarian Barrel,6,9,Archer Queen,1,4,Arrows,11,14,Bandit,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
