type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T175039.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9PVG0C9CR,すぷらっしゅ☪️おぉかみ❤️,6710,0,#YJQPRRQV,Splash moon,16000032,Ice Wizard,6,6,Tesla,14,14,Rocket,12,12,Skeletons,14,14,X-Bow,9,9,Valkyrie,12,12,The Log,6,6,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QLU0CQLL,<c4>Mr <c2>Oops,6681,3,#QVVQRP29,PhArAoHs CuRse,16000025,Mega Knight,6,6,Ram Rider,6,6,Archer Queen,4,4,Barbarian Barrel,9,9,Bandit,6,6,Royal Ghost,6,6,Lightning,9,9,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174742.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9PVG0C9CR,すぷらっしゅ☪️おぉかみ❤️,6739,0,#YJQPRRQV,Splash moon,16000032,Ice Wizard,6,6,Tesla,14,14,Rocket,12,12,Skeletons,14,14,X-Bow,9,9,Valkyrie,12,12,The Log,6,6,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6747,3,#LQ29RGCU,YouTube,16000012,Royal Giant,14,14,Golden Knight,4,4,Fireball,12,12,The Log,6,6,Electro Wizard,6,6,Mega Minion,12,12,Fisherman,6,6,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174512.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9PVG0C9CR,すぷらっしゅ☪️おぉかみ❤️,6770,1,#YJQPRRQV,Splash moon,16000032,Ice Wizard,6,6,Tesla,14,14,Rocket,12,12,Skeletons,14,14,X-Bow,9,9,Valkyrie,12,12,The Log,6,6,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PQ22829R,404- Not Found,6755,3,#Q8GJCVCJ,youtube,16000030,Electro Dragon,9,9,Baby Dragon,9,9,Elite Barbarians,14,14,Night Witch,6,6,Tornado,9,9,Golem,9,9,Mini P.E.K.K.A,12,12,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173837.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9PVG0C9CR,すぷらっしゅ☪️おぉかみ❤️,6743,2,#YJQPRRQV,Splash moon,16000032,Ice Wizard,6,6,Tesla,14,14,Rocket,12,12,Skeletons,14,14,X-Bow,9,9,Valkyrie,12,12,The Log,6,6,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U9P9VYQV,✫ I mk,6712,1,#9JCLGG9G,SHURIKEN ✫,16000039,Lava Hound,6,6,Inferno Dragon,6,6,Zap,14,14,Miner,6,6,Skeleton Dragons,14,14,Arrows,14,14,Barbarians,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165939.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9PVG0C9CR,すぷらっしゅ☪️おぉかみ❤️,6714,1,#YJQPRRQV,Splash moon,16000032,Ice Wizard,6,6,Tesla,14,14,Rocket,12,12,Skeletons,14,14,X-Bow,9,9,Valkyrie,12,12,The Log,6,6,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QL9JUC,Albin_xD,6712,0,#29Y2UL82,Woodland,16000034,Goblin Cage,12,12,Arrows,14,14,Valkyrie,12,12,Barbarian Barrel,9,9,Inferno Dragon,6,6,Freeze,9,9,Ice Wizard,6,6,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T165518.000Z,,54000036,Legendary Arena,72000232,7xElixir_Friendly,,collection,#9PVG0C9CR,すぷらっしゅ☪️おぉかみ❤️,6714,0,#YJQPRRQV,Splash moon,16000032,Ice Wizard,3,6,Tesla,11,14,Rocket,9,12,Skeletons,11,14,X-Bow,6,9,Valkyrie,9,12,The Log,3,6,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PR080URLR,your-father,5765,1,#QU9GCJ0L,MY FIRST STORY,16000002,Giant,9,12,Graveyard,3,6,Dark Prince,6,9,Inferno Dragon,3,6,Fireball,9,12,Skeleton Army,6,9,Witch,6,9,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165008.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9PVG0C9CR,すぷらっしゅ☪️おぉかみ❤️,6746,0,#YJQPRRQV,Splash moon,16000032,Ice Wizard,6,6,Tesla,14,14,Rocket,12,12,Skeletons,14,14,X-Bow,9,9,Valkyrie,12,12,The Log,6,6,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JRU88899,✨Snipezzz✨,6717,3,#QUY2UGRL,ELITE ARMY,16000157,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164647.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9PVG0C9CR,すぷらっしゅ☪️おぉかみ❤️,6717,1,#YJQPRRQV,Splash moon,16000032,Ice Wizard,6,6,Tesla,14,14,Rocket,12,12,Skeletons,14,14,X-Bow,9,9,Valkyrie,12,12,The Log,6,6,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y08JQYLYV,春天的女巫ᴳˢ,6709,0,#PQV0VP0,天地炎黄,16000000,Knight,14,14,Ice Spirit,14,14,Skeletons,14,14,Archers,14,14,The Log,6,6,Tornado,8,9,Mortar,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164015.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9PVG0C9CR,すぷらっしゅ☪️おぉかみ❤️,6691,1,#YJQPRRQV,Splash moon,16000032,Ice Wizard,6,6,Tesla,14,14,Rocket,12,12,Skeletons,14,14,X-Bow,9,9,Valkyrie,12,12,The Log,6,6,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L2899URQ,CHN I Itachi,6653,0,,,,Elite Barbarians,14,14,Barbarian Barrel,9,9,Golden Knight,4,4,Magic Archer,6,6,Electro Wizard,6,6,Heal Spirit,12,12,Royal Ghost,6,6,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T123146.000Z,,54000040,Legendary Arena,72000054,Friendly_FixedDeckOrder,,collection,#9PVG0C9CR,すぷらっしゅ☪️おぉかみ❤️,6691,3,#YJQPRRQV,Splash moon,16000032,Guards,6,9,Tombstone,9,12,Balloon,6,9,Fireball,9,12,Skeleton Dragons,11,14,Lava Hound,3,6,Mega Minion,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0V9JVG8U,Evenfall Suzu™,6370,1,#9CL9LJGP,Nova I stones,16000044,Lava Hound,3,6,Skeletons,11,14,Giant Snowball,11,14,Electro Spirit,11,14,Ice Spirit,11,14,Fire Spirit,11,14,Heal Spirit,9,12,Bomber,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
