type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20220104T180148.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#9Q2G82Y0,AW l Nazgûl,6743,0,#JPY0QV,Alpha Warriors,16000004,Dart Goblin,9,12,Tesla,11,14,Fireball,9,12,Hunter,6,9,Golem,6,9,Battle Healer,9,12,Ice Spirit,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QL9VLLV,MyTXx Future,5807,1,#JPY0QV,Alpha Warriors,16000004,Mega Minion,9,12,Inferno Tower,9,12,Lightning,6,9,Minion Horde,11,14,Electro Giant,6,9,Miner,3,6,Guards,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T175606.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#9Q2G82Y0,AW l Nazgûl,6743,0,#JPY0QV,Alpha Warriors,16000004,Archer Queen,4,4,Miner,6,6,Cannon Cart,9,9,Mortar,14,14,Guards,9,9,Spear Goblins,14,14,Fireball,12,12,The Log,6,6,#2QL9VLLV,MyTXx Future,,0,#JPY0QV,Alpha Warriors,16000004,Lightning,6,9,P.E.K.K.A,8,9,Golden Knight,4,4,Ram Rider,6,6,Electro Wizard,5,6,Barbarian Barrel,7,9,Electro Spirit,13,14,Royal Ghost,5,6,#PLCJJYRC0,ゆーし,5800,1,#2LY9JVGY,よごれの一味,16000155,The Log,6,6,Hog Rider,11,12,Fireball,11,12,Ice Golem,11,12,Musketeer,10,12,Ice Spirit,14,14,Cannon,12,14,Skeletons,13,14,#8UJRLRR2,natertots,,1,#Q828RU,Magick 904,16000000,Goblin Barrel,9,9,Dart Goblin,12,12,Fireball,12,12,Skeleton Army,9,9,Inferno Tower,11,12,Skeleton Barrel,14,14,The Log,5,6,Valkyrie,12,12
clanMate,20220103T232200.000Z,,54000017,Master III,72000007,Friendly,,collection,#9Q2G82Y0,AW l Nazgûl,6743,1,#JPY0QV,Alpha Warriors,16000004,Royal Ghost,3,6,Mother Witch,3,6,Fisherman,3,6,Ram Rider,3,6,Barbarian Barrel,6,9,Fireball,9,12,P.E.K.K.A,6,9,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QCYJPJC,Joren,6630,0,#JPY0QV,Alpha Warriors,16000004,Mega Knight,3,6,Golden Knight,1,4,Lightning,6,9,Electro Spirit,11,14,Ram Rider,3,6,Inferno Dragon,3,6,Barbarian Barrel,6,9,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220103T200942.000Z,,54000016,Master II,72000007,Friendly,,collection,#9Q2G82Y0,AW l Nazgûl,6743,0,#G0CULGLP,Low Lands Cup,16000074,Mega Knight,3,6,Royal Ghost,3,6,Fisherman,3,6,Archer Queen,1,4,Mother Witch,3,6,Ram Rider,3,6,Fireball,9,12,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#800CQYL,nielshero,6450,1,#G0CULGLP,Low Lands Cup,16000074,Goblin Cage,9,12,Barbarian Barrel,6,9,Royal Recruits,11,14,Balloon,6,9,Flying Machine,9,12,Fireball,9,12,Zappies,9,12,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220103T200456.000Z,,54000015,Master I,72000007,Friendly,,collection,#9Q2G82Y0,AW l Nazgûl,6743,1,#G0CULGLP,Low Lands Cup,16000074,Archer Queen,1,4,Miner,3,6,Cannon Cart,6,9,Mortar,11,14,Guards,6,9,Spear Goblins,11,14,Fireball,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UY0JR20,Casper,6071,0,#G0CULGLP,Low Lands Cup,16000074,Mortar,11,14,Graveyard,3,6,Arrows,11,14,Valkyrie,9,12,Mega Minion,9,12,Electro Wizard,3,6,Cannon Cart,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220103T174451.000Z,,54000011,Arena 12,72000254,MirrorDeck_Friendly,,predefined,#9Q2G82Y0,AW l Nazgûl,6743,1,#JPY0QV,Alpha Warriors,16000004,Mirror,6,9,Skeleton Barrel,11,14,Royal Hogs,9,12,Wizard,9,12,Prince,6,9,Royal Ghost,3,6,Skeletons,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YYUC2GQ,Dril Pudding,5968,2,#JPY0QV,Alpha Warriors,16000004,Mirror,6,9,Skeleton Barrel,11,14,Royal Hogs,9,12,Wizard,9,12,Prince,6,9,Royal Ghost,3,6,Skeletons,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220103T162903.000Z,,54000015,Master I,72000007,Friendly,,collection,#9Q2G82Y0,AW l Nazgûl,6743,0,#JPY0QV,Alpha Warriors,16000004,Bandit,3,6,Mega Knight,3,6,Royal Ghost,3,6,Barbarian Barrel,6,9,Electro Spirit,11,14,Ram Rider,3,6,Lightning,6,9,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88P9Y0PQ,✨ＳＨ Λ ＲＫＭＩＮＤ✨,6048,1,#JPY0QV,Alpha Warriors,16000004,Graveyard,3,6,Valkyrie,9,12,Mega Minion,9,12,Musketeer,9,12,Bomber,11,14,Goblin Hut,9,12,Royal Delivery,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T134737.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9Q2G82Y0,AW l Nazgûl,6714,1,#JPY0QV,Alpha Warriors,16000004,Bandit,6,6,Mega Knight,6,6,Royal Ghost,6,6,Barbarian Barrel,8,9,Electro Spirit,14,14,Ram Rider,6,6,Lightning,9,9,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JCJ0L9R,Ken Kaneki,6703,0,#QQRPU092,Sandstorm FR,16000097,Ice Golem,12,12,Hog Rider,12,12,Musketeer,12,12,Skeletons,14,14,Ice Spirit,14,14,Cannon,14,14,The Log,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T134101.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9Q2G82Y0,AW l Nazgûl,6684,1,#JPY0QV,Alpha Warriors,16000004,Bandit,6,6,Mega Knight,6,6,Royal Ghost,6,6,Barbarian Barrel,8,9,Electro Spirit,14,14,Ram Rider,6,6,Lightning,9,9,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9UG92LR,こめっこ,6685,0,#LGPC22QY,年始チームKOH大会,16000170,Royal Giant,14,14,Mega Minion,12,12,Golden Knight,4,4,Electro Spirit,14,14,Mother Witch,6,6,Fisherman,6,6,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T133629.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9Q2G82Y0,AW l Nazgûl,6654,1,#JPY0QV,Alpha Warriors,16000004,Bandit,6,6,Mega Knight,6,6,Royal Ghost,6,6,Barbarian Barrel,8,9,Electro Spirit,14,14,Ram Rider,6,6,Lightning,9,9,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VV0RUCUQ,∫siesta♱,6657,0,#Y0098Y8G,Angely Diva,16000175,Three Musketeers,12,12,Royal Ghost,6,6,Elite Barbarians,14,14,Bandit,6,6,Ice Golem,12,12,Barbarian Barrel,9,9,Heal Spirit,12,12,Elixir Collector,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
